id,oriented,tetrahedra
fLLQccceddehwhwjw,1,5
gLLPQcdcfeffhsrdqvf,1,6
gLLAQccedfeftnhkhww,1,6
gLALQbcbeeffxhnrvqn,1,6
gLLAQcbdeefftnbmtbj,1,6
gLALQbcceefflugncpj,-1,6
hLLMAkbddeffggtvkumvqj,1,7
hLALPkbccegfggeikbairc,-1,7
hLALPkbccegfggeikbuibo,-1,7
hLLMAkbdedffgglnarxolj,-1,7
hLALPkcbbegfgghhrodxwn,-1,7
hLvPQkccefggfghrxhxbcs,-1,7
hLLAAkbcdeefggpfreeshr,1,7
hLLAAkccdeefggakveikqj,-1,7
hLLAAkccdeefggawvhqcxn,-1,7
hLLAAkcdecffgghsarhrtr,-1,7
hLLAAkbddeefggxvrxlbqj,-1,7
hLLMAkccdefeggtjvmdnqj,1,7
hLALAkbcceefgglugsrthw,-1,7
hLALAkbcceefggluggsthw,-1,7
hLLMAkccdefegganvmdnqj,-1,7
hLALAkbcbeefggxanofhqj,-1,7
hLLPAkcdcfeegghcrhasxn,1,7
hLLAPkaceegggfjktxlakn,-1,7
hLAwAkbccdffggeikischn,-1,7
hLALPkbcbefggghxwndabv,1,7
hLLAAkcbdeefggannmdvhr,-1,7
hLAwAkbcbdffgghxwagbqj,-1,7
hLALPkbcbefgfghxwsaxjr,1,7
hLLLQkacedgfggjkkjfkos,1,7
hLvPQkaefegffgjhhjsfcj,-1,7
hLLPMkacefdfggjkxgjkmn,1,7
hLLLQkbceggfgftbxatgwj,-1,7
hLLAPkbdedffggtvagfnrs,-1,7
hLLLQkcddfeggglgfawjov,0,7
hLLAAkbedcefgglanjdkxk,-1,7
hLLLQkaeefdgggnaxgnrkn,-1,7
hLLMPkacdffgfgjkxcnqnk,-1,7
hLLPPkcdefefggtwaplskr,-1,7
hLLPMkcdefffgguwuxxsoj,-1,7
hLAwAkbccdffggapkmrwhj,-1,7
hLLAMkcceeffggqfahqjjk,-1,7
hLLAMkbdcdffggdwnfjols,-1,7
hLLLQkbdedffggxnirkkok,-1,7
hLLAPkccddffggqfrfsjqn,-1,7
