target,source,label
gLLPQcdcfeffhsrdqgf,fLLQccceddehwhwww,Face: 10
gLLAQccedfeftnhkhsw,fLLQccceddehwhwww,Face: 9
gLALQbcbeeffxhnrvqj,fLLQccceddehwhwww,Face: 8
gLLAQcbdeefftjbmtbj,fLLQccceddehwhwww,Face: 7
gLALQbcceefflugncpw,fLLQccceddehwhwww,Face: 5
hLLMAkbddeffgglvkumvqj,gLLPQcdcfeffhsrdqgf,Face: 12
hLALPkbccegfggeikbairs,gLLPQcdcfeffhsrdqgf,Face: 11
hLALPkbccegfggeikbuivo,gLLPQcdcfeffhsrdqgf,Face: 10
hLLMAkbdedffggtnarxolj,gLLPQcdcfeffhsrdqgf,Face: 9
hLALPkcbbegfgghhrodxwf,gLLPQcdcfeffhsrdqgf,Face: 8
hLvPQkccefggfghrxhxbck,gLLPQcdcfeffhsrdqgf,Face: 7
hLLAAkbcdeefgghfreeshr,gLLPQcdcfeffhsrdqgf,Face: 6
hLLAAkccdeefggawveikqj,gLLPQcdcfeffhsrdqgf,Face: 4
hLLAAkccdeefggakvhqcxn,gLLPQcdcfeffhsrdqgf,Face: 3
hLLAAkcdecffgghsarhrtk,gLLPQcdcfeffhsrdqgf,Face: 2
hLLAAkbddeefgghgcuekqj,gLLPQcdcfeffhsrdqgf,Face: 1
hLLMAkccdefeggtjvmdnqn,gLLAQccedfeftnhkhsw,Face: 12
hLALAkbcceefgglugsrths,gLLAQccedfeftnhkhsw,Face: 11
hLALAkbcceefggtuggsthw,gLLAQccedfeftnhkhsw,Face: 7
hLLMAkccdefegganvmdjqj,gLLAQccedfeftnhkhsw,Face: 4
hLALAkbcbeefggxajofhqj,gLLAQccedfeftnhkhsw,Face: 3
hLLPAkcdcfeegghcrhasxj,gLLAQccedfeftnhkhsw,Face: 2
hLLAPkaceegggfjktxlakj,gLALQbcbeeffxhnrvqj,Face: 12
hLAwAkbccdffggeikischr,gLALQbcbeeffxhnrvqj,Face: 11
hLALPkbcbefggghxwndaov,gLALQbcbeeffxhnrvqj,Face: 7
hLLAAkcbdeefggajnmdvhr,gLALQbcbeeffxhnrvqj,Face: 4
hLAwAkbcbdffgghxwagbqw,gLALQbcbeeffxhnrvqj,Face: 2
hLALPkbcbefgfghxwsaxnr,gLALQbcbeeffxhnrvqj,Face: 1
hLLMAkbddeffgglvkumvqj,gLLAQcbdeefftjbmtbj,Face: 12
hLLLQkacedgfggjkknfkos,gLLAQcbdeefftjbmtbj,Face: 11
hLvPQkaefegffgnhhjsfcj,gLLAQcbdeefftjbmtbj,Face: 10
hLLPMkacefdfggjkxgnkmn,gLLAQcbdeefftjbmtbj,Face: 9
hLLLQkbceggfgftbxalgwj,gLLAQcbdeefftjbmtbj,Face: 7
hLLAPkbdedffggtvagfnrw,gLLAQcbdeefftjbmtbj,Face: 5
hLLLQkcddfeggglgfasjov,gLLAQcbdeefftjbmtbj,Face: 4
hLLAAkbedcefgglanndkxk,gLLAQcbdeefftjbmtbj,Face: 3
hLLLQkaeefdgggnaxgjrkn,gLLAQcbdeefftjbmtbj,Face: 2
hLLMPkacdffgfgnkxcnqnk,gLLAQcbdeefftjbmtbj,Face: 1
hLALPkbccegfggeikbairs,gLALQbcceefflugncpw,Face: 12
hLALAkbcceefgglugsrths,gLALQbcceefflugncpw,Face: 11
hLAwAkbccdffggeikischr,gLALQbcceefflugncpw,Face: 10
hLLPPkcdefefggtwaplskn,gLALQbcceefflugncpw,Face: 9
hLALPkbccegfggeikbuivo,gLALQbcceefflugncpw,Face: 8
hLLPMkcdefffgguwuxxsok,gLALQbcceefflugncpw,Face: 7
hLAwAkbccdffggapkmrwhw,gLALQbcceefflugncpw,Face: 5
hLLAMkcceeffggqfahqjjj,gLALQbcceefflugncpw,Face: 4
hLLAMkbdcdffggdwnfjolw,gLALQbcceefflugncpw,Face: 3
hLLLQkbdedffggxninkkok,gLALQbcceefflugncpw,Face: 2
hLLAPkccddffggqfrfsjqj,gLALQbcceefflugncpw,Face: 1
gLLAQcbdeefftjbmtbj,hLLMAkbddeffgglvkumvqj,Edge: 11
gLALQbcceefflugncpw,hLALPkbccegfggeikbairs,Edge: 10
gLALQbcceefflugncpw,hLALPkbccegfggeikbuivo,Edge: 10
gLALQbcbefffxxnnhah,hLALPkcbbegfgghhrodxwf,Edge: 9
gLALQbcbefffxxnnhah,hLLAAkbddeefgghgcuekqj,Edge: 10
gLALQbcceefflugncpw,hLALAkbcceefgglugsrths,Edge: 11
gLALQbcceefflugncpw,hLAwAkbccdffggeikischr,Edge: 11
hLALAkcbceffggqqgolxow,gLALQbcbefffxxnnhah,Face: 12
hLAwMkbccdfggglugpwxxa,gLALQbcbefffxxnnhah,Face: 11
hLLAAkbddeefgghgcuekqj,gLALQbcbefffxxnnhah,Face: 7
hLLAAkbddeefgghgcuekqj,gLALQbcbefffxxnnhah,Face: 6
hLALPkbcbffgggxxnpttls,gLALQbcbefffxxnnhah,Face: 4
hLAMzkbccdefggmejmqhhw,gLALQbcbefffxxnnhah,Face: 3
