id,oriented,tetrahedra
fLLQccceddehwxwjn,1,5
gLLPQcdcfeffqsjdqvf,1,6
gLLAQccedfeftnhkxwn,1,6
gLALQbcbeeffhhwrvqn,1,6
gLLAQcbdeefftnbmtwr,1,6
gLALQbcceeffdmgsfuk,-1,6
hLLMAkbddeffggtvkumvhr,1,7
hLAvQkbccefgggtpksuxcj,-1,7
hLAvQkbccefgggtpksuigf,-1,7
hLLMAkbdedffgglnarxodn,-1,7
hLALPkcbbegfgghqjodxwn,-1,7
hLvPQkccefggfgqjxhxbcs,-1,7
hLLAAkbcdeefggpfreesqj,1,7
hLLAAkccdeefggakveikhr,-1,7
hLLAAkccdeefggawvhqchw,-1,7
hLLAAkcdecffggqsajhrtr,-1,7
hLLAAkbddeefggxvrxlbhr,-1,7
hLLMAkaceeefggjktjkkxk,1,7
hLALAkbcceefggdmgnwmhr,-1,7
hLALAkbcceefggluggstxn,-1,7
hLLMAkccdefegganvmdnhr,-1,7
hLALAkbcbeefggxanofhhr,-1,7
hLLPAkcdcfeeggqcjhasxn,1,7
hLLAPkacddffggjkamapkk,-1,7
hLAwAkbccdffggeikekohj,-1,7
hLALPkbcbefgggxxnndabv,1,7
hLLAAkcbdeefggannmdvqj,-1,7
hLAwAkbcbdffggxxnagbqj,-1,7
hLALPkbcbefgfgxxnsaxjr,1,7
hLLLQkacdegfggjkrngkcv,1,7
hLvAQkadfefgfgjaqwnbbr,-1,7
hLLMPkacdefgfgjkanjirk,1,7
hLLLQkbceggfgftbxatrwr,-1,7
hLLAPkadedgfggjmllunhl,-1,7
hLLLQkadfegfggnuivgnnb,-1,7
hLLAAkbedcefgglanjdkqs,-1,7
hLLLQkaegdfgfgjaxrwkrn,-1,7
hLLAPkaedeffggjaaqrwhk,-1,7
hLLLQkcdffggeguwxxujnf,-1,7
hLLzQkcdegeggftwaaljow,-1,7
hLAwAkbccdffggaurirwhj,-1,7
hLLMAkccddffgganvwknxr,-1,7
hLLAAkccddffggqfrfwrhn,-1,7
hLLAPkcceeffggqfahhrrn,-1,7
hLLAPkbdcdffggdwnfwguj,-1,7
