target,source,label
gLLPQcdcfeffqsndqgf,fLLQccceddehwxwwj,Face: 10
gLLAQccedfeftnhkxsj,fLLQccceddehwxwwj,Face: 9
gLALQbcbeeffhhjrvqj,fLLQccceddehwxwwj,Face: 8
gLLAQcbdeefftjbmtwn,fLLQccceddehwxwwj,Face: 7
gLALQbcceeffdigsfur,fLLQccceddehwxwwj,Face: 5
hLLMAkbddeffgglvkumvhn,gLLPQcdcfeffqsndqgf,Face: 12
hLAvQkbccegfggtugcdpwj,gLLPQcdcfeffqsndqgf,Face: 11
hLLMAkbdedffggtnarxodr,gLLPQcdcfeffqsndqgf,Face: 9
hLALPkcbbegfgghqnodxwf,gLLPQcdcfeffqsndqgf,Face: 8
hLvPQkccefggfgqnxhxbck,gLLPQcdcfeffqsndqgf,Face: 7
hLLAAkbcdeefgghfreesqn,gLLPQcdcfeffqsndqgf,Face: 6
hLLAAkccdeefggawveikhk,gLLPQcdcfeffqsndqgf,Face: 4
hLLAAkccdeefggakvhqchj,gLLPQcdcfeffqsndqgf,Face: 3
hLLAAkcdecffggqsanhrtk,gLLPQcdcfeffqsndqgf,Face: 2
hLLAAkbddeefgghgcuekhn,gLLPQcdcfeffqsndqgf,Face: 1
hLLMAkaceeefggnktjkkxr,gLLAQccedfeftnhkxsj,Face: 12
hLALAkbcceefggdignwmhn,gLLAQccedfeftnhkxsj,Face: 11
hLALAkbcceefggtuggstxj,gLLAQccedfeftnhkxsj,Face: 7
hLLMAkccdefegganvmdjhn,gLLAQccedfeftnhkxsj,Face: 4
hLALAkbcbeefggxajofhhk,gLLAQccedfeftnhkxsj,Face: 3
hLLPAkcdcfeeggqcnhasxj,gLLAQccedfeftnhkxsj,Face: 2
hLLAPkacddffggnkamapkr,gLALQbcbeeffhhjrvqj,Face: 12
hLAwAkcbcdffgglegegnqj,gLALQbcbeeffhhjrvqj,Face: 11
hLALPkbcbefgggxxjndaov,gLALQbcbeeffhhjrvqj,Face: 7
hLLAAkcbdeefggajnmdvqn,gLALQbcbeeffhhjrvqj,Face: 4
hLAwAkbcbdffggxxjagbqw,gLALQbcbeeffhhjrvqj,Face: 2
hLALPkbcbefgfgxxjsaxnr,gLALQbcbeeffhhjrvqj,Face: 1
hLLMAkbddeffgglvkumvhn,gLLAQcbdeefftjbmtwn,Face: 12
hLLLQkacdegfggnknngkcv,gLLAQcbdeefftjbmtwn,Face: 11
hLvAQkadfefgfgnaqwnbbn,gLLAQcbdeefftjbmtwn,Face: 10
hLLMPkacdefgfgnkanjink,gLLAQcbdeefftjbmtwn,Face: 9
hLLLQkbceggfgftbxalrwk,gLLAQcbdeefftjbmtwn,Face: 7
hLLAPkadedgfggnmllunil,gLLAQcbdeefftjbmtwn,Face: 5
hLLLQkadfeggfgnmdbsssc,gLLAQcbdeefftjbmtwn,Face: 4
hLLAAkbedcefgglanndkqw,gLLAQcbdeefftjbmtwn,Face: 3
hLLLQkaegdfgfgjaqsrswj,gLLAQcbdeefftjbmtwn,Face: 2
hLLAPkaedeffggnaaqrwhr,gLLAQcbdeefftjbmtwn,Face: 1
hLAvQkbccegfggtugcdpwj,gLALQbcceeffdigsfur,Face: 12
hLALAkbcceefggdignwmhn,gLALQbcceeffdigsfur,Face: 11
hLAwAkcbcdffgglegegnqj,gLALQbcceeffdigsfur,Face: 10
hLLzQkcdegeggflwaaljoj,gLALQbcceeffdigsfur,Face: 9
hLAvQkbccegfggtugcdpwj,gLALQbcceeffdigsfur,Face: 8
hLAwAkbccdffggaasxrwhw,gLALQbcceeffdigsfur,Face: 5
hLLMAkccddffgganvjknxn,gLALQbcceeffdigsfur,Face: 4
hLLAMkbdddffggxvrrnvds,gLALQbcceeffdigsfur,Face: 3
gLLAQcbdeefftjbmtwn,hLLMAkbddeffgglvkumvhn,Edge: 11
gLALQbcceeffdigsfur,hLAvQkbccegfggtugcdpwj,Edge: 10
gLALQbcbefffhxjnhah,hLALPkcbbegfgghqnodxwf,Edge: 9
gLALQbcbefffhxjnhah,hLLAAkbddeefgghgcuekhn,Edge: 10
gLALQbcceeffdigsfur,hLALAkbcceefggdignwmhn,Edge: 11
gLALQbcceeffdigsfur,hLAwAkcbcdffgglegegnqj,Edge: 11
hLALAkcbceffggqqgolxfj,gLALQbcbefffhxjnhah,Face: 12
hLAwMkbccdfgggdigurqaq,gLALQbcbefffhxjnhah,Face: 11
hLLAAkbddeefgghgcuekhn,gLALQbcbefffhxjnhah,Face: 7
hLLAAkbddeefgghgcuekhn,gLALQbcbefffhxjnhah,Face: 6
hLALPkbcbffggghxjpttls,gLALQbcbefffhxjnhah,Face: 4
hLAMzkbccdefggmejmqhxj,gLALQbcbefffhxjnhah,Face: 3
