target,source,label
gLLPQcdcfeffqsjdqgf,fLLQccceddehwxwwn,Face: 10
gLLAQccedfeftnhkxsn,fLLQccceddehwxwwn,Face: 9
gLALQbcbeeffhhwrvqj,fLLQccceddehwxwwn,Face: 8
gLLAQcbdeefftjbmtwr,fLLQccceddehwxwwn,Face: 7
gLALQbcceeffdmgsfur,fLLQccceddehwxwwn,Face: 5
hLLMAkbddeffgglvkumvhr,gLLPQcdcfeffqsjdqgf,Face: 12
hLAvQkbccefgggtpksuxwj,gLLPQcdcfeffqsjdqgf,Face: 11
hLAvQkbccefgggtpksuigv,gLLPQcdcfeffqsjdqgf,Face: 10
hLLMAkbdedffggtnarxodn,gLLPQcdcfeffqsjdqgf,Face: 9
hLALPkcbbegfgghqjodxwf,gLLPQcdcfeffqsjdqgf,Face: 8
hLvPQkccefggfgqjxhxbck,gLLPQcdcfeffqsjdqgf,Face: 7
hLLAAkbcdeefgghfreesqj,gLLPQcdcfeffqsjdqgf,Face: 6
hLLAAkccdeefggawveikhr,gLLPQcdcfeffqsjdqgf,Face: 4
hLLAAkccdeefggakvhqchw,gLLPQcdcfeffqsjdqgf,Face: 3
hLLAAkcdecffggqsajhrtk,gLLPQcdcfeffqsjdqgf,Face: 2
hLLAAkbddeefgghgcuekhr,gLLPQcdcfeffqsjdqgf,Face: 1
hLLMAkaceeefggjktjkkxr,gLLAQccedfeftnhkxsn,Face: 12
hLALAkbcceefggdmgnwmhn,gLLAQccedfeftnhkxsn,Face: 11
hLALAkbcceefggtuggstxn,gLLAQccedfeftnhkxsn,Face: 7
hLLMAkccdefegganvmdjhr,gLLAQccedfeftnhkxsn,Face: 4
hLALAkbcbeefggxajofhhr,gLLAQccedfeftnhkxsn,Face: 3
hLLPAkcdcfeeggqcjhasxj,gLLAQccedfeftnhkxsn,Face: 2
hLLAPkacddffggjkamapkr,gLALQbcbeeffhhwrvqj,Face: 12
hLAwAkbccdffggeikekohw,gLALQbcbeeffhhwrvqj,Face: 11
hLALPkbcbefgggxxnndaov,gLALQbcbeeffhhwrvqj,Face: 7
hLLAAkcbdeefggajnmdvqj,gLALQbcbeeffhhwrvqj,Face: 4
hLAwAkbcbdffggxxnagbqw,gLALQbcbeeffhhwrvqj,Face: 2
hLALPkbcbefgfgxxnsaxnr,gLALQbcbeeffhhwrvqj,Face: 1
hLLMAkbddeffgglvkumvhr,gLLAQcbdeefftjbmtwr,Face: 12
hLLLQkacdegfggnkrngkcv,gLLAQcbdeefftjbmtwr,Face: 11
hLvAQkadfefgfgjaqwnbbn,gLLAQcbdeefftjbmtwr,Face: 10
hLLMPkacdefgfgjkanjink,gLLAQcbdeefftjbmtwr,Face: 9
hLLLQkbceggfgftbxalrwr,gLLAQcbdeefftjbmtwr,Face: 7
hLLAPkadedgfggnmllunhl,gLLAQcbdeefftjbmtwr,Face: 5
hLLLQkadfegfggjuivgnnb,gLLAQcbdeefftjbmtwr,Face: 4
hLLAAkbedcefgglanndkqs,gLLAQcbdeefftjbmtwr,Face: 3
hLLLQkaegdfgfgjaqwrswj,gLLAQcbdeefftjbmtwr,Face: 2
hLLAPkaedeffggjaaqrwhr,gLLAQcbdeefftjbmtwr,Face: 1
hLAvQkbccefgggtpksuxwj,gLALQbcceeffdmgsfur,Face: 12
hLALAkbcceefggdmgnwmhn,gLALQbcceeffdmgsfur,Face: 11
hLAwAkbccdffggeikekohw,gLALQbcceeffdmgsfur,Face: 10
hLLLQkcdffggeguwxxujjf,gLALQbcceeffdmgsfur,Face: 9
hLAvQkbccefgggtpksuigv,gLALQbcceeffdmgsfur,Face: 8
hLLzQkcdegeggftwaaljoj,gLALQbcceeffdmgsfur,Face: 7
hLAwAkbccdffggaurirwhw,gLALQbcceeffdmgsfur,Face: 5
hLLMAkccddffgganvwknxn,gLALQbcceeffdmgsfur,Face: 4
hLLAAkccddffggqfrfwrhr,gLALQbcceeffdmgsfur,Face: 3
hLLAPkcceeffggqfahhrrr,gLALQbcceeffdmgsfur,Face: 2
hLLAPkbdcdffggdwnfwgun,gLALQbcceeffdmgsfur,Face: 1
gLLAQcbdeefftjbmtwr,hLLMAkbddeffgglvkumvhr,Edge: 11
gLALQbcceeffdmgsfur,hLAvQkbccefgggtpksuxwj,Edge: 10
gLALQbcceeffdmgsfur,hLAvQkbccefgggtpksuigv,Edge: 10
gLALQbcbefffhxwnhah,hLALPkcbbegfgghqjodxwf,Edge: 9
gLALQbcbefffhxwnhah,hLLAAkbddeefgghgcuekhr,Edge: 10
gLALQbcceeffdmgsfur,hLALAkbcceefggdmgnwmhn,Edge: 11
gLALQbcceeffdmgsfur,hLAwAkbccdffggeikekohw,Edge: 11
hLALAkcbceffggqqgolxfk,gLALQbcbefffhxwnhah,Face: 12
hLAwMkbccdfgggdmgurqaq,gLALQbcbefffhxwnhah,Face: 11
hLLAAkbddeefgghgcuekhr,gLALQbcbefffhxwnhah,Face: 7
hLLAAkbddeefgghgcuekhr,gLALQbcbefffhxwnhah,Face: 6
hLALPkbcbffggghxwpttls,gLALQbcbefffhxwnhah,Face: 4
hLAMzkbccdefggmejmqhxn,gLALQbcbefffhxwnhah,Face: 3
