target,source,label
gLLPQcdcfeffhsneqvf,fLLQccceddepwhwjs,Face: 10
gLLPQcdcfeefhcnqawj,fLLQccceddepwhwjs,Face: 9
gLALQbcbeeffxhjcvqn,fLLQccceddepwhwjs,Face: 8
gLLAQcbdeefflnbmtbn,fLLQccceddepwhwjs,Face: 7
gLALQbcceefftugscpj,fLLQccceddepwhwjs,Face: 5
hLLAAkbdedffggtvprxblk,gLLPQcdcfeffhsneqvf,Face: 12
hLALPkcbcefgggudbsqmbo,gLLPQcdcfeffhsneqvf,Face: 11
hLLMAkbcdfefggekkmejin,gLLPQcdcfeffhsneqvf,Face: 9
hLALPkcbbegfgghhkomxrs,gLLPQcdcfeffhsneqvf,Face: 8
hLLAAkcedeefgghlvaexqn,gLLPQcdcfeffhsneqvf,Face: 7
hLLAAkbcdeefggxbraawhn,gLLPQcdcfeffhsneqvf,Face: 6
hLLAAkccdeefggakveukqn,gLLPQcdcfeffhsneqvf,Face: 4
hLLAAkbddeefgganrlukhj,gLLPQcdcfeffhsneqvf,Face: 3
hLLAAkcdecffgghsantjxr,gLLPQcdcfeffhsneqvf,Face: 2
hLLAAkbddeefggxvrdtnqn,gLLPQcdcfeffhsneqvf,Face: 1
hLLMPkacdefgfgjkecfpww,gLLPQcdcfeefhcnqawj,Face: 12
hLALPkcbcefgfgudbgaqns,gLLPQcdcfeefhcnqawj,Face: 11
hLLAAkaeddefggjiadcoqw,gLLPQcdcfeefhcnqawj,Face: 7
hLLAMkacdefgfgjbxaxajn,gLLPQcdcfeefhcnqawj,Face: 4
hLLAAkaeddefggnmddcjhj,gLLPQcdcfeefhcnqawj,Face: 3
hLLAPkaceegggfnktxxakn,gLALQbcbeeffxhjcvqn,Face: 12
hLAwAkbccdffggtugegbqw,gLALQbcbeeffxhjcvqn,Face: 11
hLALPkbcbefggghxjniabv,gLALQbcbeeffxhjcvqn,Face: 7
hLLMMkccdefgfgajvdmqnn,gLALQbcbeeffxhjcvqn,Face: 4
hLAwAkbcbdffgghxjagnqj,gLALQbcbeeffxhjcvqn,Face: 2
hLALAkbcbeefggxhjrjhxj,gLALQbcbeeffxhjcvqn,Face: 1
hLLAAkbdedffggtvprxblk,gLLAQcbdeefflnbmtbn,Face: 12
hLLAAkbdceffgghgsqpgxw,gLLAQcbdeefflnbmtbn,Face: 11
hLvPQkaefegffgjhhjsffn,gLLAQcbdeefflnbmtbn,Face: 10
hLLPMkacefdfggnkxgjkmr,gLLAQcbdeefflnbmtbn,Face: 9
hLLLQkbceggfgflbxatgwn,gLLAQcbdeefflnbmtbn,Face: 7
hLLAPkbdedffgglvagfwrs,gLLAQcbdeefflnbmtbn,Face: 5
hLLLQkcddfegggtgfawjbv,gLLAQcbdeefflnbmtbn,Face: 4
hLLAAkbedcefggtanjdkxr,gLLAQcbdeefflnbmtbn,Face: 3
hLLAPkceddfgfglavkcnws,gLLAQcbdeefflnbmtbn,Face: 2
hLLMPkacdffgfgjbxcnqnj,gLLAQcbdeefflnbmtbn,Face: 1
hLALPkcbcefgggudbsqmbo,gLALQbcceefftugscpj,Face: 12
hLALPkcbcefgfgudbgaqns,gLALQbcceefftugscpj,Face: 11
hLAwAkbccdffggtugegbqw,gLALQbcceefftugscpj,Face: 10
hLLPPkcdefefgglwaplkkr,gLALQbcceefftugscpj,Face: 9
hLALPkcbcefgggudbsqmbo,gLALQbcceefftugscpj,Face: 8
hLAwAkbccdffggaajhrkhj,gLALQbcceefftugscpj,Face: 5
hLLAAkbdddffgghgkkkgin,gLALQbcceefftugscpj,Face: 4
hLLLQkbdedggfgdrunwwko,gLALQbcceefftugscpj,Face: 3
gLLAQcbdeefflnbmtbn,hLLAAkbdedffggtvprxblk,Edge: 11
gLALQbcceefftugscpj,hLALPkcbcefgggudbsqmbo,Edge: 10
gLALQbcceefftugscpj,hLALPkcbcefgfgudbgaqns,Edge: 11
gLALQbcceefftugscpj,hLAwAkbccdffggtugegbqw,Edge: 11
