target,source,label
gLLPQcdcfeffqsneivf,fLLQccceddeufxjjj,Face: 10
gLLPQcdcfeefqcnqasj,fLLQccceddeufxjjj,Face: 9
gLLAQccedfefhwxgqjw,fLLQccceddeufxjjj,Face: 8
gLLAQbdceeffessulkw,fLLQccceddeufxjjj,Face: 7
gLALQbcceeffdignwuk,fLLQccceddeufxjjj,Face: 5
hLLAMkbdedffggtvurxoxj,gLLPQcdcfeffqsneivf,Face: 12
hLAvQkbccegfggtugcqxnj,gLLPQcdcfeffqsneivf,Face: 11
hLLMAkbcdfefggeskmejpk,gLLPQcdcfeffqsneivf,Face: 9
hLALPkcbbegfgghqnomenf,gLLPQcdcfeffqsneivf,Face: 8
hLvPQkccefggfgqnxhxbrb,gLLPQcdcfeffqsneivf,Face: 7
hLLAAkcedeefgghtvaexhk,gLLPQcdcfeffqsneivf,Face: 6
hLLAAkccdeefggakvhukhk,gLLPQcdcfeffqsneivf,Face: 4
hLLAAkbddeefgganrtukxj,gLLPQcdcfeffqsneivf,Face: 3
hLLAAkcdecffggqsanljxr,gLLPQcdcfeffqsneivf,Face: 2
hLLAAkbddeefggxvrdhnhn,gLLPQcdcfeffqsneivf,Face: 1
hLLMAkacedffggnktnkbqn,gLLPQcdcfeefqcnqasj,Face: 12
hLAvQkbccegffgtugrptrw,gLLPQcdcfeefqcnqasj,Face: 11
hLLAAkaeddefggniadcoxr,gLLPQcdcfeefqcnqasj,Face: 7
hLLAMkacdefgfgjbxahajj,gLLPQcdcfeefqcnqasj,Face: 4
hLLAAkaeddefggniddcjxj,gLLPQcdcfeefqcnqasj,Face: 3
hLLMAkaceefeggnktfonhn,gLLAQccedfefhwxgqjw,Face: 12
hLALAkbcceefggdigsfdxr,gLLAQccedfefhwxgqjw,Face: 11
hLALAkbcceefggtuggrexr,gLLAQccedfefhwxgqjw,Face: 7
hLLMAkccdefeggajvmljhs,gLLAQccedfefhwxgqjw,Face: 4
hLALAkbcbeefggxajowahj,gLLAQccedfefhwxgqjw,Face: 3
hLALAkbcbeefgghhjrvhxj,gLLAQccedfefhwxgqjw,Face: 2
hLLwQkacdefgfgnkpgjlrw,gLLAQbdceeffessulkw,Face: 12
hLLAMkbdedffggtvurxoxj,gLLAQbdceeffessulkw,Face: 11
hLLLQkacdggffgnksvkvkv,gLLAQbdceeffessulkw,Face: 10
hLLAAkbdceffgghgsqugqr,gLLAQbdceeffessulkw,Face: 9
hLLLQkbceggfgflkxatrwk,gLLAQbdceeffessulkw,Face: 7
hLLAPkadedfgggjitljqil,gLLAQbdceeffessulkw,Face: 5
hLLLQkadfegfggjidksrrc,gLLAQbdceeffessulkw,Face: 4
hLLAAkbecdefggeassichs,gLLAQbdceeffessulkw,Face: 3
hLLAPkceddfgfgtavkccwj,gLLAQbdceeffessulkw,Face: 2
hLLAMkaedeffggnapqcwij,gLLAQbdceeffessulkw,Face: 1
hLAvQkbccegfggtugcqxnj,gLALQbcceeffdignwuk,Face: 12
hLAvQkbccegffgtugrptrw,gLALQbcceeffdignwuk,Face: 11
hLALAkbcceefggdigsfdxr,gLALQbcceeffdignwuk,Face: 10
hLLzQkcdegeggflwaplrow,gLALQbcceeffdignwuk,Face: 9
hLAvQkbccegfggtugcqxnj,gLALQbcceeffdignwuk,Face: 7
hLAwAkbccdffggaasxfkhj,gLALQbcceeffdignwuk,Face: 5
hLLMAkbccfefgglonatsiw,gLALQbcceeffdignwuk,Face: 4
hLLAMkbdddffggxvrrordw,gLALQbcceeffdignwuk,Face: 3
gLLAQbdceeffessulkw,hLLAMkbdedffggtvurxoxj,Edge: 11
gLALQbcceeffdignwuk,hLAvQkbccegfggtugcqxnj,Edge: 10
gLALQbcbefffxhjrxxa,hLALPkcbbegfgghqnomenf,Edge: 9
gLALQbcbefffxhjrxxa,hLLAAkbddeefggxvrdhnhn,Edge: 10
gLALQbcceeffdignwuk,hLAvQkbccegffgtugrptrw,Edge: 11
gLALQbcceeffdignwuk,hLALAkbcceefggdigsfdxr,Edge: 11
hLALAkbccfefgghhsdbukr,gLALQbcbefffxhjrxxa,Face: 12
hLAwMkbccdfgggxxfxwteq,gLALQbcbefffxhjrxxa,Face: 11
hLLAAkbddeefggxvrdhnhn,gLALQbcbefffxhjrxxa,Face: 7
hLALPkbcbefggghxjsxxnk,gLALQbcbefffxhjrxxa,Face: 5
hLALPkbcbfgfgghxjdlptj,gLALQbcbefffxhjrxxa,Face: 4
hLLAAkbddeefggxvrdhnhn,gLALQbcbefffxhjrxxa,Face: 3
