target,source,label
gLLQPccddeffpfnouhj,fLLQccecddelhccjn,Face: 10
gLLAQccedfefqfhjhwn,fLLQccecddelhccjn,Face: 9
gLvQQcdcfeefhrnqhrk,fLLQccecddelhccjn,Face: 8
gLLAQacedeffnktxrqj,fLLQccecddelhccjn,Face: 7
gLAPPcbceeffudbgnaj,fLLQccecddelhccjn,Face: 6
fLLQcacdeeenkedwo,gLLQPccddeffpfnouhj,Edge: 9
hLALPkbccegfggdigghqcs,gLLQPccddeffpfnouhj,Face: 12
hLLLQkbdeggfgftvpmmron,gLLQPccddeffpfnouhj,Face: 11
hLLMMkcddeffggacsuhotk,gLLQPccddeffpfnouhj,Face: 9
hLvPQkccgeffgghnaxxffk,gLLQPccddeffpfnouhj,Face: 8
hLLAAkcedeefgghtvaqhxr,gLLQPccddeffpfnouhj,Face: 7
hLALPkbcbegfgghajodpwn,gLLQPccddeffpfnouhj,Face: 6
hLLAAkbddeefggajkthcqn,gLLQPccddeffpfnouhj,Face: 4
hLLAAkccdeefggawvhuvxr,gLLQPccddeffpfnouhj,Face: 3
hLLAAkcedcffgghavnprdw,gLLQPccddeffpfnouhj,Face: 2
hLLAAkbddeefggxvrxqrqw,gLLQPccddeffpfnouhj,Face: 1
hLAPzkcbceefggudbjsxxn,gLLAQccedfefqfhjhwn,Face: 12
hLLPAkcdcfefgghsradrps,gLLAQccedfefqfhjhwn,Face: 11
hLALAkbcceefggluggrphn,gLLAQccedfefqfhjhwn,Face: 7
hLLMAkccdefeggajvmmnqw,gLLAQccedfefqfhjhwn,Face: 4
hLALAkbcbeefggxanowxqw,gLLAQccedfefqfhjhwn,Face: 3
hLALAkbcbeefggxxjsbqhr,gLLAQccedfefqfhjhwn,Face: 2
hLALPkbccegffgdignudjn,gLvQQcdcfeefhrnqhrk,Face: 12
hLLMAkcbedffggpnaruodr,gLvQQcdcfeefhrnqhrk,Face: 11
hLLAAkaeddefggnmadcfhn,gLvQQcdcfeefhrnqhrk,Face: 7
hLLAMkacdefgfgnbaaqawj,gLvQQcdcfeefhrnqhrk,Face: 4
hLLAAkaeddefggjiddcfqn,gLvQQcdcfeefhrnqhrk,Face: 3
fLLQcacdeeenkedwo,gLLAQacedeffnktxrqj,Edge: 9
hLLMAkacdeffggjkackkaj,gLLAQacedeffnktxrqj,Face: 12
hLLAAkacdeefggnkedouan,gLLAQacedeffnktxrqj,Face: 11
