id,oriented,tetrahedra
dLQacccjsnb,1,3
eLPkbcddddjwjk,1,4
eLAkaccddjgbqw,1,4
eLAkaccddjgbxn,1,4
eLAkaccddjgbaj,1,4
fLLQcbcdeeehkkhhd,0,5
fLLQcbcedeedvdfmd,1,5
fLLQcbededeelohfh,-1,5
fLLQccdcdeeugkwmw,-1,5
fLLQcbcedeetsqfdd,-1,5
fLLQcbcedeetjhkdd,-1,5
fLLQcbecdeeainfmq,-1,5
fLLQcbcedeedvujxq,1,5
fLLQcacdeeejkadnj,0,5
fLLQccceddetnacwr,-1,5
fLLQcadedeejatlxk,-1,5
fLAMcaccdeejsnxhj,-1,5
fLLQcaddeeejuahdj,1,5
fLLQcaddeeenapmxw,-1,5
fLAMcaccdeennbaaj,-1,5
fLAMcaccdeejsnxxn,-1,5
fLLQcaddeeejiappc,-1,5
fLAMcaccdeejsnxar,-1,5
gLLAQbcdeeffhfreejn,-1,6
gvLQQcdeffefjrbtlbh,-1,6
gLLPQccdfeffhvkaaof,-1,6
gLLAQbcedffftsafhvn,-1,6
gLLMQbcdefffdfbmufw,0,6
gLLMQbcdfefflsrmefc,-1,6
gLLAQbdedfffdwxvacf,-1,6
gLLAQbcedfffdwufasc,-1,6
gLLAQbcedffftsxfakn,0,6
gLLPQcdefeffakuetxk,-1,6
gvLQQcdeffeffwjeubd,-1,6
gLLPQccdfefflbnaqor,-1,6
gLLPQcdeffeftfduaif,-1,6
gLLAQbdeefffevdhaln,-1,6
gLLAQcddeefftgwamvj,1,6
gLLMQbdedfffhcqklfo,-1,6
gLLPQcdeffefhretaaf,-1,6
gLLPQcdeffefaredqhk,-1,6
gLLAQbcdeffflkcmlww,-1,6
gLLAQbcedfffdwlnhkk,-1,6
gLLAQbddeeffxvkxprj,-1,6
gLLMQbddefffhgkiiso,-1,6
gLLMQccdefffajvidnw,-1,6
gLLMQbcdefffekkxqoo,-1,6
gLLAQccedffflnmnasv,-1,6
gLLAQccdeeffufveivn,-1,6
gLwAQacdeeffjgetrdw,-1,6
gLvQQadefeffjahdskc,-1,6
gLLAQccedeffqfmnqfr,-1,6
gLLAQccdeeffhwvlqvj,-1,6
gLLAQbddeeffxwrqxgj,-1,6
gLLMQbdeefffdsuhxxb,-1,6
gLLMQbdeeffferuxmmr,-1,6
gLLQPccddeffujnvuar,-1,6
gLLAQbddeeffawrhagj,-1,6
gLLPQccdfeffawwaaof,-1,6
gLLAQbcedffftsafxbb,-1,6
gLLAQccedefflnxblsv,-2,6
