target,source,label
eLPkbcddddkwrc,dLQacccjsnk,Face: 5
eLAkaccddjgnqw,dLQacccjsnk,Face: 3
eLAkbbcdddhgxk,dLQacccjsnk,Face: 2
eLAkaccddjgbak,dLQacccjsnk,Face: 1
fLLQcbcdeeepfrede,eLPkbcddddkwrc,Face: 8
fvPQccdedeejkvjbn,eLPkbcddddkwrc,Face: 7
fLLQcbedededuotft,eLPkbcddddkwrc,Face: 6
fLLQcccddeelnnrur,eLPkbcddddkwrc,Face: 5
fLLQcbcedeetstfqq,eLPkbcddddkwrc,Face: 4
fLLQcbcedeeljhkdd,eLPkbcddddkwrc,Face: 3
fLLQcbecdeeainfmu,eLPkbcddddkwrc,Face: 2
fLLQcbcedeedvpjmd,eLPkbcddddkwrc,Face: 1
fLLQcacdeeejkaiow,eLAkaccddjgnqw,Face: 7
fLLQccceddeqfajwr,eLAkaccddjgnqw,Face: 5
fLLQcadedeejaalds,eLAkaccddjgnqw,Face: 4
fLLQcacdedejsxarj,eLAkaccddjgnqw,Face: 3
fLAPcbcceeedmgsgw,eLAkbbcdddhgxk,Face: 7
fLLQcacedeejkamss,eLAkbbcdddhgxk,Face: 5
fLAMcbbcdeedhgaqj,eLAkbbcdddhgxk,Face: 3
fLAMcaccdeejgnxxn,eLAkbbcdddhgxk,Face: 2
fLAMcaccdeengbqhr,eLAkbbcdddhgxk,Face: 1
dLQacccjnbs,eLAkaccddjgbak,Edge: 6
fLLQcaddeeeniappc,eLAkaccddjgbak,Face: 7
fLAMcaccdeejsnxak,eLAkaccddjgbak,Face: 5
fLLQcaddeeejmappc,eLAkaccddjgbak,Face: 4
fLAMcaccdeensnxar,eLAkaccddjgbak,Face: 3
gLLAQbcdeeffmbraagn,fLLQcbcdeeepfrede,Face: 10
gvLQQcdfeeffkolffqi,fLLQcbcdeeepfrede,Face: 9
gLLPQccdfeffdvkaaof,fLLQcbcdeeepfrede,Face: 8
gLLAQbcedffftsafhgn,fLLQcbcdeeepfrede,Face: 7
gLLMQbcdefffdfbtufw,fLLQcbcdeeepfrede,Face: 6
