target,source,label
eLPkbcddddgors,dLQbcccdxwb,Face: 6
eLAkbccddmejmj,dLQbcccdxwb,Face: 5
eLPkbcddddgkcs,dLQbcccdxwb,Face: 4
eLPkbcdddhggsj,dLQbcccdxwb,Face: 3
fLLQccdcdeetgrfmw,eLPkbcddddgors,Face: 8
fLLQcbcedeetsafmd,eLPkbcddddgors,Face: 7
fLLQcbcedeetjhfdt,eLPkbcddddgors,Face: 6
fLLQcbededeeioifi,eLPkbcddddgors,Face: 5
fLLQcbcedeeajhfat,eLPkbcddddgors,Face: 4
fLLQcbcedeeajhbpt,eLPkbcddddgors,Face: 3
fLLQcbededeaioqfm,eLPkbcddddgors,Face: 2
fLLQccdcdeelgrfms,eLPkbcddddgors,Face: 1
fLLQcacdeeejcaekg,eLAkbccddmejmj,Face: 8
fLLQcacdeeejkamcj,eLAkbccddmejmj,Face: 7
fLLQcbeddeemabfxu,eLAkbccddmejmj,Face: 4
fLAMcbccdeehhnqaj,eLAkbccddmejmj,Face: 1
fLLQcbdeedehwapfl,eLPkbcddddgkcs,Face: 8
fLLQcbedededloifu,eLPkbcddddgkcs,Face: 7
fLLQcccddeeunnvur,eLPkbcddddgkcs,Face: 6
fvPQccdedeejkjjfk,eLPkbcddddgkcs,Face: 5
fLLQcbeddeedakvpu,eLPkbcddddgkcs,Face: 4
fLLQcbcedeeajhfea,eLPkbcddddgkcs,Face: 3
fLLQcccddeepgnoun,eLPkbcddddgkcs,Face: 2
fLLQcbcedeeajhvxq,eLPkbcddddgkcs,Face: 1
fLLQcbcdeeelsohxh,eLPkbcdddhggsj,Face: 8
fLLQcbcdeeeakcmml,eLPkbcdddhggsj,Face: 7
fLLQcbededeaxnhfq,eLPkbcdddhggsj,Face: 2
eLPkaccddjjsan,fLLQccdcdeetgrfmw,Edge: 8
gLvQQadefeffjahhsfc,fLLQccdcdeetgrfmw,Face: 10
gLLAQbddeeffhgcuevk,fLLQccdcdeetgrfmw,Face: 9
gLLAQccdeeffawveivn,fLLQccdcdeetgrfmw,Face: 8
gLLMQcededffahvejwj,fLLQccdcdeetgrfmw,Face: 7
gLLAQccdeeffakvhqvj,fLLQccdcdeetgrfmw,Face: 6
gLLAQbcdeeffhfreeok,fLLQccdcdeetgrfmw,Face: 5
gLLMQbdeeffflvtummv,fLLQccdcdeetgrfmw,Face: 4
gLLMQbdeeffflkamllo,fLLQccdcdeetgrfmw,Face: 3
gLLQPccddefftnnruar,fLLQccdcdeetgrfmw,Face: 1
gLLAQccdeeffhkvaqks,fLLQcbcedeetsafmd,Face: 10
gvLQQcdeffefjjcthbq,fLLQcbcedeetsafmd,Face: 9
gLLAQbcedffftsafhrb,fLLQcbcedeetsafmd,Face: 8
gLLPQccdfeffhkcqqof,fLLQcbcedeetsafmd,Face: 7
gLLMQbcdefffdfbeukf,fLLQcbcedeetsafmd,Face: 6
gLLPQccdeffftnjpmbk,fLLQcbcedeetsafmd,Face: 5
gLLAQbdeefffdwmqalj,fLLQcbcedeetsafmd,Face: 4
gLLAQbcedffftsxfawr,fLLQcbcedeetsafmd,Face: 3
gLLPQcdfefefakeaalr,fLLQcbcedeetsafmd,Face: 2
gLLAQbcdeffftkjmevv,fLLQcbcedeetsafmd,Face: 1
gLvQQbefdeffadifptf,fLLQcbcedeetjhfdt,Face: 10
gLLPQccdfeffdwgaxof,fLLQcbcedeetjhfdt,Face: 9
gLLAQbcdeffflrwiinn,fLLQcbcedeetjhfdt,Face: 8
gLLMQbddeeffpgbhhgk,fLLQcbcedeetjhfdt,Face: 7
gLLPQccdfeffdwraanf,fLLQcbcedeetjhfdt,Face: 6
gLLAQbcdeffftrwilww,fLLQcbcedeetjhfdt,Face: 5
gLLPQccdfeffdwgaxrn,fLLQcbcedeetjhfdt,Face: 4
gLLMQbdedfffhgafxof,fLLQcbededeeioifi,Face: 10
gLLAQbddeeffxvrxlrj,fLLQcbededeeioifi,Face: 8
gLLMQbcdeffflskuqgg,fLLQcbededeeioifi,Face: 6
gLLMQccdefffajvidgk,fLLQcbededeeioifi,Face: 5
gLLAQccedffflnmnanj,fLLQcbededeeioifi,Face: 2
gLLAQbcedffftsafann,fLLQcbcedeeajhfat,Face: 10
gLLAQbcdeeffasreejn,fLLQcbcedeeajhfat,Face: 9
gLvQQbefdeffadifptf,fLLQcbcedeeajhfat,Face: 8
gLLPQccdfeffankaaof,fLLQcbcedeeajhfat,Face: 7
gLLAQbcdeefftsreejb,fLLQcbcedeeajhfat,Face: 6
gLLPQbddeeffdwveewc,fLLQcbcedeeajhfat,Face: 5
gLLAQbcedffflsafanw,fLLQcbcedeeajhfat,Face: 4
gLvQQbefdeffadifptf,fLLQcbcedeeajhfat,Face: 3
gLLAQbdeefffevhhalf,fLLQcbcedeeajhbpt,Face: 10
gvLQQcdeffefjjcthbq,fLLQcbcedeeajhbpt,Face: 9
gLLPQccdfeffabnainf,fLLQcbcedeeajhbpt,Face: 8
gLLPQcdeffefagqhaej,fLLQcbcedeeajhbpt,Face: 7
gLLAQbddeeffxwcpmog,fLLQcbcedeeajhbpt,Face: 6
gLLMQbddeeffxjrqqwg,fLLQcbcedeeajhbpt,Face: 5
gLLAQbcedffflsafmvc,fLLQcbcedeeajhbpt,Face: 4
gLLAQbcedffflstfawr,fLLQcbcedeeajhbpt,Face: 3
gLLAQbcdeffflkjmajj,fLLQcbcedeeajhbpt,Face: 2
gLLPQcdeffefaoedidk,fLLQcbcedeeajhbpt,Face: 1
gLLAQbddeeffhgcuevk,fLLQcbededeaioqfm,Face: 10
gLLMQbdedfffanmktkr,fLLQcbededeaioqfm,Face: 9
gLLMQbcdefffaskuqkg,fLLQcbededeaioqfm,Face: 8
gLLMQbdedfffhgafxof,fLLQcbededeaioqfm,Face: 7
gLLAQbddeeffxrrxlrg,fLLQcbededeaioqfm,Face: 6
gLLAQbddeeffxsjxurg,fLLQcbededeaioqfm,Face: 5
gLLMQbcefefftsxlilc,fLLQcbededeaioqfm,Face: 4
gLLAQccedfffljmnann,fLLQcbededeaioqfm,Face: 3
gLLAQccedffflnandws,fLLQcbededeaioqfm,Face: 2
gLLMQccdefffajvlakj,fLLQcbededeaioqfm,Face: 1
eLPkaccddjjsan,fLLQccdcdeelgrfms,Edge: 9
gLLMQcededffahvejwj,fLLQccdcdeelgrfms,Face: 10
gLvQQadefeffjahhcwf,fLLQccdcdeelgrfms,Face: 9
gLLAQccdeeffakveivj,fLLQccdcdeelgrfms,Face: 8
gLLAQbddeeffxvrxlrj,fLLQccdcdeelgrfms,Face: 7
gLLAQccdeeffawvhqvn,fLLQccdcdeelgrfms,Face: 6
gLLAQbcdeeffpfreeor,fLLQccdcdeelgrfms,Face: 5
gLLQPccddefflnnruak,fLLQccdcdeelgrfms,Face: 4
gLLMQbdeeffflnamxxo,fLLQccdcdeelgrfms,Face: 3
gLLMQbdeeffflvtummv,fLLQccdcdeelgrfms,Face: 2
gLLMQbcdefffebklqjb,fLLQcacdeeejcaekg,Face: 10
gLLMQbcdfeffdfrddow,fLLQcacdeeejcaekg,Face: 9
gLLAQbddeeffxrrxqrk,fLLQcacdeeejcaekg,Face: 7
gLvQQaedfeffjllxvfo,fLLQcacdeeejcaekg,Face: 6
gLLAQbcdeeffpjgplrk,fLLQcacdeeejcaekg,Face: 5
gLLAQbcedeffabtfqfr,fLLQcacdeeejcaekg,Face: 4
gLLAQccedeffdwakuoj,fLLQcacdeeejcaekg,Face: 3
gLLAQccedeffdwxvdcj,fLLQcacdeeejcaekg,Face: 2
gLLMQbceeeffagtexhj,fLLQcacdeeejcaekg,Face: 1
gLLMQbcdefffdfbduow,fLLQcacdeeejkamcj,Face: 10
gLLMQbcdefffdfbeukf,fLLQcacdeeejkamcj,Face: 9
gLLAQccdeeffhkvaqks,fLLQcacdeeejkamcj,Face: 7
gLLQPccddeffijbwehw,fLLQcacdeeejkamcj,Face: 6
gLvQQaefdeffjeqiscc,fLLQcacdeeejkamcj,Face: 5
gLLAQcedeeffiavhttj,fLLQcacdeeejkamcj,Face: 4
gLLAQbcedeffabmfubk,fLLQcacdeeejkamcj,Face: 3
gLLAQccedeffdwavdvj,fLLQcacdeeejkamcj,Face: 2
