target,source,label
fLLQcadedeejpltpo,eLAkaccddjnbqj,Face: 7
fLAMcaccdeejsjxhw,eLAkaccddjnbqj,Face: 5
fLLQcacdeeejkepco,eLAkaccddjnbqj,Face: 4
fLLQcacdedejbxark,eLAkaccddjnbqj,Face: 3
gLLAQbddeeffxwrxxbj,fLLQcadedeejpltpo,Face: 10
gLLAQbdedffflvurxro,fLLQcadedeejpltpo,Face: 9
gLLAQbdcefffhgwqugo,fLLQcadedeejpltpo,Face: 8
gLLAQaddeeffjpupsok,fLLQcadedeejpltpo,Face: 7
gLLMQbcdeffflrohtcr,fLLQcadedeejpltpo,Face: 5
gLLAQceddefftavkdcj,fLLQcadedeejpltpo,Face: 4
gLLMQacdfeffnbxcjjj,fLLQcadedeejpltpo,Face: 3
gLLAQbecdeffairfqsn,fLLQcadedeejpltpo,Face: 2
gLLMQbcedfffdwukqvn,fLLQcadedeejpltpo,Face: 1
gLLAQbceeeffdfaiihw,fLAMcaccdeejsjxhw,Face: 9
gLALQaccefffjsjslqt,fLAMcaccdeejsjxhw,Face: 7
gLLMQacedfffjktsvbb,fLAMcaccdeejsjxhw,Face: 4
gLALQbcbeeffxanowan,fLAMcaccdeejsjxhw,Face: 3
gLLAQccedfeflnhnxwr,fLAMcaccdeejsjxhw,Face: 2
gLLAQbdedffflvurxro,fLLQcacdeeejkepco,Face: 9
gLLMQbcdefffdfbmifn,fLLQcacdeeejkepco,Face: 8
gLLQPccddefflnnouhw,fLLQcacdeeejkepco,Face: 7
gLvQQaefdeffjhqhffk,fLLQcacdeeejkepco,Face: 6
gLLAQadedfffjxxhgkg,fLLQcacdeeejkepco,Face: 5
gLLAQbddeeffajkthkr,fLLQcacdeeejkepco,Face: 4
gLLAQccdeeffawvhuks,fLLQcacdeeejkepco,Face: 3
gLLAQcededfflavxjkr,fLLQcacdeeejkepco,Face: 2
gLLAQbddeeffxvrxqgn,fLLQcacdeeejkepco,Face: 1
gLLAQaddeeffjmapcfw,fLLQcacdedejbxark,Face: 9
gLLAQaeddeffnmadcoj,fLLQcacdedejbxark,Face: 7
gLLAQaeddeffjiddcjr,fLLQcacdedejbxark,Face: 4
gLLQPacdedffnbxanaj,fLLQcacdedejbxark,Face: 3
hLLAPkbdedfgggtveggvof,gLLAQbddeeffxwrxxbj,Face: 12
hLLLQkbddffgggxjfmrvjc,gLLAQbddeeffxwrxxbj,Face: 10
hLLAPkacedfgggjktxtmro,gLLAQbddeeffxwrxxbj,Face: 9
hLvPQkafeegfggjqdvrfsf,gLLAQbddeeffxwrxxbj,Face: 8
hLLLQkacegfgfgjkfscswg,gLLAQbddeeffxwrxxbj,Face: 7
hLLAMkcddeffggtrvalwhs,gLLAQbddeeffxwrxxbj,Face: 6
hLLAAkcddeefgglgwamvqj,gLLAQbddeeffxwrxxbj,Face: 5
hLLAMkbedeffggxxbdacwk,gLLAQbddeeffxwrxxbj,Face: 4
hLLPPkcdefffggakedtkor,gLLAQbddeeffxwrxxbj,Face: 3
hLLAAkccdeffggpkvqaodn,gLLAQbddeeffxwrxxbj,Face: 2
hLLLQkbeefgffgxadmlxsk,gLLAQbddeeffxwrxxbj,Face: 1
fLLQcacdeeejkepco,gLLAQbdedffflvurxro,Edge: 12
hLLAPkccdegfggawvhjovw,gLLAQbdedffflvurxro,Face: 12
hLLLQkbddfgfggajfpvfws,gLLAQbdedffflvurxro,Face: 11
hLLLQkcdfeggfgukdqujkj,gLLAQbdedffflvurxro,Face: 10
hLLAMkbdedfgggdwpslmpu,gLLAQbdedffflvurxro,Face: 9
hLLAAkccdeffggubwuanik,gLLAQbdedffflvurxro,Face: 8
hLvAQkbeffegggdpdeqijc,gLLAQbdedffflvurxro,Face: 7
hLLAPkbddefgggxvrxfowo,gLLAQbdedffflvurxro,Face: 6
hvLPQkcdefgfggksfetptr,gLLAQbdedffflvurxro,Face: 5
hLLLQkbdeegfggasuxukoc,gLLAQbdedffflvurxro,Face: 4
hLLAPkcddefgggugvlnjww,gLLAQbdedffflvurxro,Face: 3
hLLAAkbcdeffggdfbxaouk,gLLAQbdedffflvurxro,Face: 2
hLLLQkcddfgfgghsgeggoc,gLLAQbdedffflvurxro,Face: 1
hLLAMkbeedfggglmagdgfk,gLLAQbdcefffhgwqugo,Face: 12
hLLAPkceddgfggupjvoofo,gLLAQbdcefffhgwqugo,Face: 10
hLLAAkbddeffggtvkhqrej,gLLAQbdcefffhgwqugo,Face: 9
hLLLQkadeeggfgnxxcnoko,gLLAQbdcefffhgwqugo,Face: 8
hLLLQkadfeggfgnxhcnfwg,gLLAQbdcefffhgwqugo,Face: 7
hLLAMkadedffggnxuhggaj,gLLAQbdcefffhgwqugo,Face: 6
hLLAPkbddeggfgxvkqkvrv,gLLAQbdcefffhgwqugo,Face: 5
hLLLQkcddeffggtwfljjfk,gLLAQbdcefffhgwqugo,Face: 4
hLLAMkbdcefgggevwuapuh,gLLAQbdcefffhgwqugo,Face: 3
hLLAPkbecdgfggtussjoko,gLLAQbdcefffhgwqugo,Face: 2
hLLLQkcefdgfggpaenerkg,gLLAQbdcefffhgwqugo,Face: 1
hLLAPkbdecfggglvajnrsr,gLLAQaddeeffjpupsok,Face: 12
hLLLQkbdeeffgglvhepgor,gLLAQaddeeffjpupsok,Face: 10
hLLAPkbcedfgfgljhfssjw,gLLAQaddeeffjpupsok,Face: 9
hLvAQkaefdefggjuqscrwk,gLLAQaddeeffjpupsok,Face: 8
hLLAAkbdceffggxvsxlcxw,gLLAQaddeeffjpupsok,Face: 7
hLLMMkacdeffggnsacvbqj,gLLAQaddeeffjpupsok,Face: 6
hLvAQkadeeffggnahckccj,gLLAQaddeeffjpupsok,Face: 5
hLLAPkaeddgfggjaeducht,gLLAQaddeeffjpupsok,Face: 4
hLLLQkadfefgggjpmsnwwo,gLLAQaddeeffjpupsok,Face: 3
hLLAAkadedefggjpltofaw,gLLAQaddeeffjpupsok,Face: 1
hLLLQkbddffgggxjfmrvjc,gLLMQbcdeffflrohtcr,Face: 12
hLvAQkbeffgeggdddepdwc,gLLMQbcdeffflrohtcr,Face: 11
hLLAPkceddgfggupjvoofo,gLLMQbcdeffflrohtcr,Face: 10
hLLLQkbdeeffgglvhepgor,gLLMQbcdeffflrohtcr,Face: 9
hLLAPkbcedgfggtjdfkrog,gLLMQbcdeffflrohtcr,Face: 8
hvLAQkcedfggfgfwvdmipf,gLLMQbcdeffflrohtcr,Face: 7
hLLLQkceffeggguledqujf,gLLMQbcdeffflrohtcr,Face: 6
hLLPPkcdefegggtcaeakvb,gLLMQbcdeffflrohtcr,Face: 5
