target,source,label
fLLQcaddeeejpumxj,eLAkaccddjnbxr,Face: 7
fLAMcaccdeejsjxxj,eLAkaccddjnbxr,Face: 5
fLLQcaddeeejpupdw,eLAkaccddjnbxr,Face: 4
fLLQcacdedejbaanj,eLAkaccddjnbxr,Face: 3
gLLAQbddeeffxwrxxgr,fLLQcaddeeejpumxj,Face: 10
gLLMQbdefefflvqmemf,fLLQcaddeeejpumxj,Face: 9
gLLAQaeddfffjmahgjg,fLLQcaddeeejpumxj,Face: 8
gLLAQbdceeffejnlebw,fLLQcaddeeejpumxj,Face: 7
gLLPQccdeffflkfpajr,fLLQcaddeeejpumxj,Face: 5
gLLAQceddefftavkdkr,fLLQcaddeeejpumxj,Face: 4
gLLMQbddeeffajkphnk,fLLQcaddeeejpumxj,Face: 3
gLLAQbecdeffairfqjj,fLLQcaddeeejpumxj,Face: 2
gLLMQadeffefjpaxrnc,fLLQcaddeeejpumxj,Face: 1
gLLAQbceeeffdfaiixj,fLAMcaccdeejsjxxj,Face: 9
gLALQaccefffjsjsdxd,fLAMcaccdeejsjxxj,Face: 7
gLLMQaceeeffnktkkvw,fLAMcaccdeejsjxxj,Face: 4
gLALQbcbeeffhajowan,fLAMcaccdeejsjxxj,Face: 3
gLLAQccedfeflnxnxjr,fLAMcaccdeejsjxxj,Face: 2
gLLMQbdefefflvqmemf,fLLQcaddeeejpupdw,Face: 9
gLLPQccdeffflkfpmbk,fLLQcaddeeejpupdw,Face: 8
gLLAQbdceeffevnlebw,fLLQcaddeeejpupdw,Face: 7
gLvQQaefdeffjhahffj,fLLQcaddeeejpupdw,Face: 6
gLLAQaeddfffjmahgkg,fLLQcaddeeejpupdw,Face: 5
gLLAQbecdeffairfujj,fLLQcaddeeejpupdw,Face: 4
gLLMQbdedeffaspfxfk,fLLQcaddeeejpupdw,Face: 3
gLLMQadeffefjplxros,fLLQcaddeeejpupdw,Face: 2
gLLAQceddefflavkdkr,fLLQcaddeeejpupdw,Face: 1
gLLAQaddeeffjmapcoj,fLLQcacdedejbaanj,Face: 9
gLLAQaddeeffnmapcoj,fLLQcacdedejbaanj,Face: 7
gLLMQccedeffpvajlww,fLLQcacdedejbaanj,Face: 4
gLvQQcdcfeefavsqhrj,fLLQcacdedejbaanj,Face: 3
hLLLQkcddfgfgghsoiggcc,gLLAQbddeeffxwrxxgr,Face: 12
hLLAPkbdedfggglvpgbkfo,gLLAQbddeeffxwrxxgr,Face: 10
hLLAPkacedfgggnkampmow,gLLAQbddeeffxwrxxgr,Face: 9
hLvAQkadfeggfgndqcffbw,gLLAQbddeeffxwrxxgr,Face: 8
hLLLQkacefgfggnkbbfbvf,gLLAQbddeeffxwrxxgr,Face: 7
hLLAMkcddeffggtrvalwar,gLLAQbddeeffxwrxxgr,Face: 6
hLLAAkcddeefgglgwamvhn,gLLAQbddeeffxwrxxgr,Face: 5
hLLAMkbedeffggxxbdacgs,gLLAQbddeeffxwrxxgr,Face: 4
hLLPPkcdefffggakedtkjn,gLLAQbddeeffxwrxxgr,Face: 3
hLLAAkccdeffggpkvqaolw,gLLAQbddeeffxwrxxgr,Face: 2
hLLAPkaedegfggnldmqkee,gLLAQbddeeffxwrxxgr,Face: 1
fLLQcaddeeejpupdw,gLLMQbdefefflvqmemf,Edge: 12
hLLLQkbdeegfggtvmhqjrr,gLLMQbdefefflvqmemf,Face: 12
hLLAPkcddefgggugvuvonn,gLLMQbdefefflvqmemf,Face: 11
hLLwQkcdegfgfgpwmppfff,gLLMQbdefefflvqmemf,Face: 10
hLLPPkcdfefgggpcealsww,gLLMQbdefefflvqmemf,Face: 9
hLLAMkbcedffggdfawanik,gLLMQbdefefflvqmemf,Face: 8
hLLzQkcdegefggloaxlfbc,gLLMQbdefefflvqmemf,Face: 7
hLLLQkbdeegfgglvpedrof,gLLMQbdefefflvqmemf,Face: 6
hvLAQkcdfgefgggrqxbxab,gLLMQbdefefflvqmemf,Face: 5
hLLAAkbcedffggdfpwaglj,gLLMQbdefefflvqmemf,Face: 4
hLLAPkcddefgggugvuvvww,gLLMQbdefefflvqmemf,Face: 3
hLLLQkbdeegfggxvamhrvo,gLLMQbdefefflvqmemf,Face: 2
hLLAPkbdedfggglvxrcnss,gLLMQbdefefflvqmemf,Face: 1
hLLAMkbdedfgggtvasllle,gLLAQaeddfffjmahgjg,Face: 12
hLLAPkccedfgggqfmfjcog,gLLAQaeddfffjmahgjg,Face: 10
hLLAAkbddeffggtvkhqrtk,gLLAQaeddfffjmahgjg,Face: 9
hLLLQkadefefggjhxggfor,gLLAQaeddfffjmahgjg,Face: 8
hLLLQkadgfefggjhxggovc,gLLAQaeddfffjmahgjg,Face: 7
hLLAMkaddeffggjhaevkqj,gLLAQaeddfffjmahgjg,Face: 6
hLLAPkbddeggfgxvkqkvkc,gLLAQaeddfffjmahgjg,Face: 5
hLLLQkaegfegfgjatgkrjg,gLLAQaeddfffjmahgjg,Face: 4
hLLAMkaeddfgggjmedwexx,gLLAQaeddfffjmahgjg,Face: 3
hLLAPkbecdfgggemnfjfow,gLLAQaeddfffjmahgjg,Face: 2
hLLLQkaeefggfgjmxgnnfo,gLLAQaeddfffjmahgjg,Face: 1
hLLLQkbcegfffgebtahgjr,gLLAQbdceeffejnlebw,Face: 12
hLLPAkccdeffggpgoxicmk,gLLAQbdceeffejnlebw,Face: 10
hLLAPkbcedfgfgljhfosrw,gLLAQbdceeffejnlebw,Face: 9
hLvAQkaefdfgfgnlqnffbw,gLLAQbdceeffejnlebw,Face: 8
hLLAAkbdceffggxvrqlcxw,gLLAQbdceeffejnlebw,Face: 7
hLLMMkacdeffggnsacvbxr,gLLAQbdceeffejnlebw,Face: 6
