target,source,label
fLLQcadedeejpllpo,eLAkaccddjnjqj,Face: 7
fLLQccceddeqfxjwj,eLAkaccddjnjqj,Face: 5
fLLQcacdeeejkexco,eLAkaccddjnjqj,Face: 4
fLLQcacdedejbxarj,eLAkaccddjnjqj,Face: 3
gLvQQadefeffnqhhjff,fLLQcadedeejpllpo,Face: 10
gLLAQbdedffflvprxbk,fLLQcadedeejpllpo,Face: 9
gLLAQbdcefffhgwqpgo,fLLQcadedeejpllpo,Face: 8
gLLAQaddeeffjpupcok,fLLQcadedeejpllpo,Face: 7
gLLMQbcdeffflcbhqsc,fLLQcadedeejpllpo,Face: 5
gLLAQceddefflavkdcj,fLLQcadedeejpllpo,Face: 4
gLLMQacdfeffnbxccnn,fLLQcadedeejpllpo,Face: 3
gLLAQbecdeffairfusn,fLLQcadedeejpllpo,Face: 2
gLLMQbdcefffxvsmpvj,fLLQcadedeejpllpo,Face: 1
gLALQbcceeffdiggwur,fLLQccceddeqfxjwj,Face: 9
gLLPQcdcfeffqsnadrc,fLLQccceddeqfxjwj,Face: 7
gLLMQaceeeffnktkknn,fLLQccceddeqfxjwj,Face: 4
gLALQbcbeeffhajowxj,fLLQccceddeqfxjwj,Face: 2
gLLAQccedfeflnxnqjj,fLLQccceddeqfxjwj,Face: 1
gLLAQbdedffflvprxbk,fLLQcacdeeejkexco,Face: 9
gLLMQbcdefffdfbhifn,fLLQcacdeeejkexco,Face: 8
gLLQPcdcdeffpgjcmqj,fLLQcacdeeejkexco,Face: 7
gLLAQbcdeeffmbraaww,fLLQcacdeeejkexco,Face: 6
gLLAQadedfffjxxhgjg,fLLQcacdeeejkexco,Face: 5
gLLAQbddeeffajklhkr,fLLQcacdeeejkexco,Face: 4
gLLAQccdeeffawveuks,fLLQcacdeeejkexco,Face: 3
gLLAQcededfflanxrcj,fLLQcacdeeejkexco,Face: 2
gLLAQbddeeffhgfuekj,fLLQcacdeeejkexco,Face: 1
gLLAQaddeeffnmapcfw,fLLQcacdedejbxarj,Face: 9
gLLAQaeddeffjmadcoj,fLLQcacdedejbxarj,Face: 7
gLLAQaeddeffjmddcjr,fLLQcacdedejbxarj,Face: 4
gLLQPacdedffnbxanan,fLLQcacdedejbxarj,Face: 3
hLLLQkbcegffggebaaecjk,gLvQQadefeffnqhhjff,Face: 12
hLLzQkcdegeggflwaplvoj,gLvQQadefeffnqhhjff,Face: 9
hLvAQkcdeegggfaveltwjr,gLvQQadefeffnqhhjff,Face: 8
hLvAQkadfeggfgjxqfsswg,gLvQQadefeffnqhhjff,Face: 7
hLLAAkcedeffgglavuaumj,gLvQQadefeffnqhhjff,Face: 6
hLLPPkcdefffggaceemosr,gLvQQadefeffnqhhjff,Face: 4
fLLQcacdeeejkexco,gLLAQbdedffflvprxbk,Edge: 12
hLLAPkccdegfggawvhcogj,gLLAQbdedffflvprxbk,Face: 12
hLLLQkbddfggfgajfpjbks,gLLAQbdedffflvprxbk,Face: 11
hLLLQkcdefgfggpwhtpjfs,gLLAQbdedffflvprxbk,Face: 10
hLLAMkbdedfgggdwaslttm,gLLAQbdedffflvprxbk,Face: 9
hLLAAkbcedffggebiravaw,gLLAQbdedffflvprxbk,Face: 8
hLvAQkbefegfggdpdtmujc,gLLAQbdedffflvprxbk,Face: 7
hLLAPkbddefgggxvrxfbnb,gLLAQbdedffflvprxbk,Face: 6
hvLAQkcdegfgfggrkxihiw,gLLAQbdedffflvprxbk,Face: 5
hLLLQkbdeegfggasuxujoc,gLLAQbdedffflvprxbk,Face: 4
hLLAPkcddefgggugvlngnn,gLLAQbdedffflvprxbk,Face: 3
hLLAAkbcdeffggdfbmabpr,gLLAQbdedffflvprxbk,Face: 2
hLLLQkbdfegfggxvimeoco,gLLAQbdedffflvprxbk,Face: 1
hLLAMkbeedfgggliagdgfk,gLLAQbdcefffhgwqpgo,Face: 12
hLLAPkceddgfgguujvvvfo,gLLAQbdcefffhgwqpgo,Face: 10
hLLAAkbddeffgglvkhqrej,gLLAQbdcefffhgwqpgo,Face: 9
hLLLQkadeeggfgnxlcnoko,gLLAQbdcefffhgwqpgo,Face: 8
hLLLQkadfeggfgnxhcnbwg,gLLAQbdcefffhgwqpgo,Face: 7
hLLAMkadedffggnxuhggan,gLLAQbdcefffhgwqpgo,Face: 6
hLLLQkbddffgfgxvnxnkcj,gLLAQbdcefffhgwqpgo,Face: 5
hLLMPkbdcefgggtvshonrr,gLLAQbdcefffhgwqpgo,Face: 4
hLLAMkbdcefgggevwuapue,gLLAQbdcefffhgwqpgo,Face: 3
hLLAPkbecdfgggtpssbwko,gLLAQbdcefffhgwqpgo,Face: 2
hLLLQkcdfgeggfpwedlwwr,gLLAQbdcefffhgwqpgo,Face: 1
fLLQcadddeejhahak,gLLAQaddeeffjpupcok,Edge: 8
hLLAPkbdecfggglvajbrsr,gLLAQaddeeffjpupcok,Face: 12
hLLLQkbdeeffgglveepgor,gLLAQaddeeffjpupcok,Face: 10
hLLAPkbcedfgfgajhfssjw,gLLAQaddeeffjpupcok,Face: 9
hLvAQkaefdefggjulscknk,gLLAQaddeeffjpupcok,Face: 8
hLLAAkbdceffggxvsxacxw,gLLAQaddeeffjpupcok,Face: 7
hLLMMkacdeffggnbacvbqj,gLLAQaddeeffjpupcok,Face: 6
hLLAPkceddfgfgahvkkkrk,gLLAQaddeeffjpupcok,Face: 5
hLLAAkbdeeffgglvadxxek,gLLAQaddeeffjpupcok,Face: 4
hLLLQkadfefgggjpmcnwwo,gLLAQaddeeffjpupcok,Face: 3
hLLAAkadedefggjpllofaw,gLLAQaddeeffjpupcok,Face: 1
hLLLQkbcegffggebaaecjk,gLLMQbcdeffflcbhqsc,Face: 12
hLvAQkbeffgeggdddapdwc,gLLMQbcdeffflcbhqsc,Face: 11
hLLAPkceddgfgguujvvvfo,gLLMQbcdeffflcbhqsc,Face: 10
hLLLQkbdeeffgglveepgor,gLLMQbcdeffflcbhqsc,Face: 9
hLLAPkbcedgfggljdfkrog,gLLMQbcdeffflcbhqsc,Face: 8
hvLAQkcdfgefggbrambxun,gLLMQbcdeffflcbhqsc,Face: 7
hLLLQkceffegggulqpqujw,gLLMQbcdeffflcbhqsc,Face: 6
hLLPPkcdefegggtcaeasvb,gLLMQbcdeffflcbhqsc,Face: 5
hLLLQkbdffegggajmihfcf,gLLMQbcdeffflcbhqsc,Face: 4
hLLAAkbcdeffgglcbdabpk,gLLMQbcdeffflcbhqsc,Face: 3
hLLAPkbdedfgggewdgjbgr,gLLMQbcdeffflcbhqsc,Face: 2
hLLAPkbdedfgggejlgfjff,gLLMQbcdeffflcbhqsc,Face: 1
hLLAPkcddeffgghcvannvj,gLLAQceddefflavkdcj,Face: 12
hLLAPkccdegfggawvhcogj,gLLAQceddefflavkdcj,Face: 11
hLLLQkaedeffggjaeknsor,gLLAQceddefflavkdcj,Face: 10
hLLAAkbcdeffgglccdacpk,gLLAQceddefflavkdcj,Face: 9
hLLAPkbcedgfggljdfkrog,gLLAQceddefflavkdcj,Face: 7
hLLAMkbdceffggeknqqkqc,gLLAQceddefflavkdcj,Face: 6
hLLAMkbdceffggeknlpkmo,gLLAQceddefflavkdcj,Face: 5
hLLLQkaedfggfgnlhggssf,gLLAQceddefflavkdcj,Face: 4
hLLAPkceddggfgpavoorsr,gLLAQceddefflavkdcj,Face: 3
hLLAPkceddggfglavooorn,gLLAQceddefflavkdcj,Face: 2
hLvAQkbefefgfgadqqimfn,gLLAQceddefflavkdcj,Face: 1
hLvAQkcdeegggfaveltwjr,gLLMQacdfeffnbxccnn,Face: 12
hLLLQkbddfggfgajfpjbks,gLLMQacdfeffnbxccnn,Face: 11
hLLPAkccdfefggaknaaohj,gLLMQacdfeffnbxccnn,Face: 10
hLLAMkadedfgggnillnaii,gLLMQacdfeffnbxccnn,Face: 9
hLLLQkbddfggfgajfpjbks,gLLMQacdfeffnbxccnn,Face: 7
hLLAAkacdeffggnbxleeco,gLLMQacdfeffnbxccnn,Face: 6
hLLAMkbcedffggdfafawpr,gLLMQacdfeffnbxccnn,Face: 4
hLvAQkcdeegggfaveltwjr,gLLMQacdfeffnbxccnn,Face: 1
hLLAPkaedeffggnaaqvchr,gLLAQbecdeffairfusn,Face: 12
hLLAAkbcedffggebiravaw,gLLAQbecdeffairfusn,Face: 11
hLLLQkadeeggfgnxlcnoko,gLLAQbecdeffairfusn,Face: 10
hLvAQkaefdefggjulscknk,gLLAQbecdeffairfusn,Face: 9
hLLAPkcdedffgguruvffvk,gLLAQbecdeffairfusn,Face: 7
hLLPMkacedffggjsasrrxb,gLLAQbecdeffairfusn,Face: 6
hLLPAkacedffggjspsffao,gLLAQbecdeffairfusn,Face: 5
hLLAAkccedffggpvaodwaw,gLLAQbecdeffairfusn,Face: 4
hLLAMkbdcefgggtvsdadhh,gLLAQbecdeffairfusn,Face: 3
hLLAAkcbdeefggljbmtraj,gLLAQbecdeffairfusn,Face: 1
fLLQcadddeejhahak,gLLMQbdcefffxvsmpvj,Edge: 10
hLLLQkcefgeffghaqhhxkj,gLLMQbdcefffxvsmpvj,Face: 12
hLLAPkbddefgggxvrxfbnb,gLLMQbdcefffxvsmpvj,Face: 11
hLLLQkadfeggfgnxhcnbwg,gLLMQbdcefffxvsmpvj,Face: 10
hLLAAkbdceffggxvsxacxw,gLLMQbdcefffxvsmpvj,Face: 9
hLLAPkbdedfggglvassrws,gLLMQbdcefffxvsmpvj,Face: 7
hLvAQkadefgfggjaekwgkk,gLLMQbdcefffxvsmpvj,Face: 6
hLLMAkbeedffgghhafiimj,gLLMQbdcefffxvsmpvj,Face: 5
hLLAPkadedfgggnillftdd,gLLMQbdcefffxvsmpvj,Face: 4
hLLLQkadfefgggjpmcnwwo,gLLMQbdcefffxvsmpvj,Face: 3
hLLAPkbdecfgggtvanbrsr,gLLMQbdcefffxvsmpvj,Face: 2
hLLLQkadgeffggniabbbvs,gLLMQbdcefffxvsmpvj,Face: 1
hLAvQkbccegfggtugctdgv,gLALQbcceeffdiggwur,Face: 12
hLLzQkcdegeggflwaplvoj,gLALQbcceeffdiggwur,Face: 9
hLAwAkcbcdffgglegtkohj,gLALQbcceeffdiggwur,Face: 8
hLALAkbcceefggdigsndxk,gLALQbcceeffdiggwur,Face: 7
hLLzQkcdegeggflwaplvoj,gLALQbcceeffdiggwur,Face: 6
hLLAMkbdddffggxvrrojds,gLALQbcceeffdiggwur,Face: 5
hLAwAkbccdffggaasxfohw,gLALQbcceeffdiggwur,Face: 4
hLLMAkbdefdfggxndarvln,gLALQbcceeffdiggwur,Face: 3
hLAvQkbccegfggtugctdgv,gLLPQcdcfeffqsnadrc,Face: 11
hLAvQkbccegfggtugctdgv,gLLPQcdcfeffqsnadrc,Face: 10
hLLMAkbdedffggtkaflodr,gLLPQcdcfeffqsnadrc,Face: 9
hLLLQkbdeegggftvulmvsj,gLLPQcdcfeffqsnadrc,Face: 8
hLLAAkbcdeefggpfreejqw,gLLPQcdcfeffqsnadrc,Face: 7
hLALPkcbbegfgghqnohenw,gLLPQcdcfeffqsnadrc,Face: 6
hLvPQkccefggfgqnxhxcrs,gLLPQcdcfeffqsnadrc,Face: 5
hLLAAkccdeefggakveichj,gLLPQcdcfeffqsnadrc,Face: 4
hLLAAkccdeefggawvhqkhk,gLLPQcdcfeffqsnadrc,Face: 3
hLLAAkcdecffggqsanxvuk,gLLPQcdcfeffqsnadrc,Face: 2
hLLAAkbddeefggxvrxlghj,gLLPQcdcfeffqsnadrc,Face: 1
hLLAPkadedfgggnatljqil,gLLMQaceeeffnktkknn,Face: 11
hLLLQkadfegfggnadksrrc,gLLMQaceeeffnktkknn,Face: 10
hLLLQkbceggfgfakxalrwk,gLLMQaceeeffnktkknn,Face: 9
hLLLQkbdeegggftvulmvsj,gLLMQaceeeffnktkknn,Face: 7
hLLwQkacdefgfgnkpgjlnc,gLLMQaceeeffnktkknn,Face: 6
hLLwQkacdegffgnkdouvng,gLLMQaceeeffnktkknn,Face: 5
hLLLQkacdggffgjksvgvkv,gLLMQaceeeffnktkknn,Face: 4
hLLAMkaedeffggnapqbwik,gLLMQaceeeffnktkknn,Face: 3
hLLAAkbecdefggaawsqfhs,gLLMQaceeeffnktkknn,Face: 2
hLLLQkaegdfgfgjaxsrkwc,gLLMQaceeeffnktkknn,Face: 1
hLAwAkcbcdffgglegtkohj,gLALQbcbeeffhajowxj,Face: 11
hLAwAkcbcdffgglegtkohj,gLALQbcbeeffhajowxj,Face: 10
hLALPkcbbegfggaqnsatgk,gLALQbcbeeffhajowxj,Face: 9
hLLMPkaceffeggnktbkgus,gLALQbcbeeffhajowxj,Face: 6
hLLAAkcbdeefggannmdkqw,gLALQbcbeeffhajowxj,Face: 4
hLAwAkcbbdffggaqnavchr,gLALQbcbeeffhajowxj,Face: 3
hLALPkcbbegffgaqnrqawk,gLALQbcbeeffhajowxj,Face: 2
hLALAkbcceefggdigsndxk,gLLAQccedfeflnxnqjj,Face: 11
hLALAkbcceefggdigsndxk,gLLAQccedfeflnxnqjj,Face: 10
