target,source,label
fLLQcadedeejillib,eLAkaccddjnjqw,Face: 7
fLLQccceddeqfxjjj,eLAkaccddjnjqw,Face: 5
fLLQcacdeeejkexcg,eLAkaccddjnjqw,Face: 4
fLLQcacdedejbxanj,eLAkaccddjnjqw,Face: 3
gLvQQadefeffjqhhjff,fLLQcadedeejillib,Face: 10
gLLAQbdedffftvprxbk,fLLQcadedeejillib,Face: 9
gLLAQbdcefffhgsqpgo,fLLQcadedeejillib,Face: 8
gLLAQaddeeffnpupcok,fLLQcadedeejillib,Face: 7
gLLMQbcdeffflcbhqrc,fLLQcadedeejillib,Face: 5
gLLAQceddefflavkdcw,fLLQcadedeejillib,Face: 4
gLLMQacdfeffjbxccnn,fLLQcadedeejillib,Face: 3
gLLAQbecdeffairfusj,fLLQcadedeejillib,Face: 2
gLLMQbdcefffxvwmpvj,fLLQcadedeejillib,Face: 1
gLALQbcceeffdiggwuk,fLLQccceddeqfxjjj,Face: 9
gLLPQcdcfeffqsnadrs,fLLQccceddeqfxjjj,Face: 7
gLLMQaceeeffnktkknr,fLLQccceddeqfxjjj,Face: 4
gLALQbcbeeffhajowxn,fLLQccceddeqfxjjj,Face: 2
gLLAQccedfeflnxnqjw,fLLQccceddeqfxjjj,Face: 1
gLLAQbdedffftvprxbk,fLLQcacdeeejkexcg,Face: 9
gLLMQbcdefffdfbhifw,fLLQcacdeeejkexcg,Face: 8
gLLQPcdcdeffugkwmqj,fLLQcacdeeejkexcg,Face: 7
gLLAQbcdeeffxbraaww,fLLQcacdeeejkexcg,Face: 6
gLLAQadedfffjxuhgjg,fLLQcacdeeejkexcg,Face: 5
gLLAQbddeeffanrlukr,fLLQcacdeeejkexcg,Face: 4
gLLAQccdeeffakveuks,fLLQcacdeeejkexcg,Face: 3
gLLAQcededfflanxrcw,fLLQcacdeeejkexcg,Face: 2
gLLAQbddeeffxvrdtnj,fLLQcacdeeejkexcg,Face: 1
gLLAQaddeeffnmapcfj,fLLQcacdedejbxanj,Face: 9
gLLAQaeddeffjiadcoj,fLLQcacdedejbxanj,Face: 7
gLLAQaeddeffnmddcjr,fLLQcacdedejbxanj,Face: 4
gLLQPacdedffjbxanan,fLLQcacdedejbxanj,Face: 3
hLLLQkbcegffggebdmecbn,gLvQQadefeffjqhhjff,Face: 12
hLLzQkcdegeggflwaplvow,gLvQQadefeffjqhhjff,Face: 9
hLvAQkcdeegggfaveltwjk,gLvQQadefeffjqhhjff,Face: 8
hLvAQkadfeggfgnxqfsswg,gLvQQadefeffjqhhjff,Face: 7
hLLAAkcedeffgglavuaumn,gLvQQadefeffjqhhjff,Face: 6
hLLPPkcdefffggaceemosk,gLvQQadefeffjqhhjff,Face: 4
fLLQcacdeeejkexcg,gLLAQbdedffftvprxbk,Edge: 12
hLLAPkccdegfggawvhcokj,gLLAQbdedffftvprxbk,Face: 12
hLLLQkbddfggfgajfpjnks,gLLAQbdedffftvprxbk,Face: 11
hLLLQkcdefgfggpwhupnfk,gLLAQbdedffftvprxbk,Face: 10
hLLAMkbdedfgggdwaslllq,gLLAQbdedffftvprxbk,Face: 9
hLLAAkbcedffggdfurawek,gLLAQbdedffftvprxbk,Face: 8
hLvAQkbefegfggexehmigf,gLLAQbdedffftvprxbk,Face: 7
hLLAPkbddefgggxvrxfbnj,gLLAQbdedffftvprxbk,Face: 6
hvLAQkcdfegfggknqnhxak,gLLAQbdedffftvprxbk,Face: 5
hLLLQkbdeefggganpuxsog,gLLAQbdedffftvprxbk,Face: 4
hLLAPkcddefgggugvlnonn,gLLAQbdedffftvprxbk,Face: 3
hLLAAkbcdeffggdfbmabpk,gLLAQbdedffftvprxbk,Face: 2
hLLAPkbdedgfggtvugwfbw,gLLAQbdedffftvprxbk,Face: 1
hLLAMkbeedfgggliagdgrk,gLLAQbdcefffhgsqpgo,Face: 12
hLLAPkceddgfggpujovobr,gLLAQbdcefffhgsqpgo,Face: 10
hLLAAkbddeffgglvkhqrek,gLLAQbdcefffhgsqpgo,Face: 9
hLLLQkadeeggfgjxlcnoko,gLLAQbdcefffhgsqpgo,Face: 8
hLLLQkadfeggfgjxhcnbwg,gLLAQbdcefffhgsqpgo,Face: 7
hLLAMkadedffggjxuhggan,gLLAQbdcefffhgsqpgo,Face: 6
hLLLQkbddffgfgxvnxnkck,gLLAQbdcefffhgsqpgo,Face: 5
hLLMPkbdcefgggtvwhonrr,gLLAQbdcefffhgsqpgo,Face: 4
hLLAMkbdcefgggevsuapue,gLLAQbdcefffhgsqpgo,Face: 3
hLLAPkbecdfgggtpwsbwko,gLLAQbdcefffhgsqpgo,Face: 2
hLLLQkcdfgeggfpwedlwwn,gLLAQbdcefffhgsqpgo,Face: 1
fLLQcadddeenhahak,gLLAQaddeeffnpupcok,Edge: 8
hLLAPkbdecfgggtvajbrsr,gLLAQaddeeffnpupcok,Face: 12
hLLLQkbdeeffggtveepgor,gLLAQaddeeffnpupcok,Face: 10
hLLAPkbcedfgfgajhfssww,gLLAQaddeeffnpupcok,Face: 9
hLvAQkaefdefggnulscknk,gLLAQaddeeffnpupcok,Face: 8
hLLAAkbdceffggxvwxacxw,gLLAQaddeeffnpupcok,Face: 7
hLLMMkacdeffggnbacvbqw,gLLAQaddeeffnpupcok,Face: 6
hLLAPkceddfgfgahvkkknk,gLLAQaddeeffnpupcok,Face: 5
hLLAAkbdeeffgglvadxxer,gLLAQaddeeffnpupcok,Face: 4
hLLLQkadfefgggnpmcnwwo,gLLAQaddeeffnpupcok,Face: 3
hLLAAkadedefggnpllofaw,gLLAQaddeeffnpupcok,Face: 1
hLLLQkbcegffggebdmecbn,gLLMQbcdeffflcbhqrc,Face: 12
hLvAQkbeffgeggdeddidko,gLLMQbcdeffflcbhqrc,Face: 11
hLLAPkceddgfggpujovobr,gLLMQbcdeffflcbhqrc,Face: 10
hLLLQkbdeeffggtveepgor,gLLMQbcdeffflcbhqrc,Face: 9
hLLAPkbcedgfggljdfkroc,gLLMQbcdeffflcbhqrc,Face: 8
hvLAQkcdfgefggbrahbxun,gLLMQbcdeffflcbhqrc,Face: 7
hLLLQkceffegggulqmqujw,gLLMQbcdeffflcbhqrc,Face: 6
hLLPPkcdefeggglcaeasvb,gLLMQbcdeffflcbhqrc,Face: 5
hLLLQkbdfefggganmuafcf,gLLMQbcdeffflcbhqrc,Face: 4
hLLAAkbcdeffgglcbdabpr,gLLMQbcdeffflcbhqrc,Face: 3
hLLLQkbdfgefggejhhxkwg,gLLMQbcdeffflcbhqrc,Face: 2
hLLAPkbdedfgggejlgfrff,gLLMQbcdeffflcbhqrc,Face: 1
hLLAPkcddeffgghcvannvk,gLLAQceddefflavkdcw,Face: 12
hLLAPkccdegfggawvhcokj,gLLAQceddefflavkdcw,Face: 11
hLLLQkaedeffggnaeknsor,gLLAQceddefflavkdcw,Face: 10
hLLAAkbcdeffgglccdacpr,gLLAQceddefflavkdcw,Face: 9
hLLAPkbcedgfggljdfkroc,gLLAQceddefflavkdcw,Face: 7
hLLAMkbdceffggekrqqkqc,gLLAQceddefflavkdcw,Face: 6
hLLAMkbdceffggekrlpkmo,gLLAQceddefflavkdcw,Face: 5
hLLLQkaedfggfgjlhggssf,gLLAQceddefflavkdcw,Face: 4
hLLAPkceddggfgpavoorwr,gLLAQceddefflavkdcw,Face: 3
hLLAPkceddggfglavooonn,gLLAQceddefflavkdcw,Face: 2
hLvAQkbefefgfgadqqimfr,gLLAQceddefflavkdcw,Face: 1
hLvAQkcdeegggfaveltwjk,gLLMQacdfeffjbxccnn,Face: 12
hLLLQkbddfggfgajfpjnks,gLLMQacdfeffjbxccnn,Face: 11
hLLPAkccdfefggaknaaohw,gLLMQacdfeffjbxccnn,Face: 10
hLLAMkadedfgggjillnaii,gLLMQacdfeffjbxccnn,Face: 9
hLLLQkbddfggfgajfpjnks,gLLMQacdfeffjbxccnn,Face: 7
hLLAAkacdeffggjbxleeco,gLLMQacdfeffjbxccnn,Face: 6
hLLAMkbcedffggdfafawpk,gLLMQacdfeffjbxccnn,Face: 4
hLvAQkcdeegggfaveltwjk,gLLMQacdfeffjbxccnn,Face: 1
