id,oriented,tetrahedra
eLAkaccddjsjak,1,4
fLLQcaddeeenidpxc,0,5
fLAMcaccdeennbaxr,1,5
fLLQcaddeeejmdpxc,1,5
fLAMcaccdeejnbaxk,1,5
gLvQQaefdeffnhxhfrb,-1,6
gLLPQccdefffpfopibf,0,6
gLLAQcddeefflgwamnr,0,6
gLLAQadedeffnillsfj,0,6
gLLMQccdfeffubwxhjk,0,6
gLLMQbdcefffansuuwr,-1,6
gLLMQbdedeffasqfxjw,0,6
gLLAQbecdeffamrfufr,-1,6
gLLMQadefeffnxumcnb,-1,6
gLALQaccfeffnnbebpa,-1,6
gLLAQbceeefflrqiixj,1,6
gLLAQaedefefjaperrk,-1,6
gLALQbcbeeffhajofhw,-1,6
gLLAQacdefefnbqaqkn,1,6
gLLAQbddeffftvkhlkw,1,6
gLLAQadedeffjmllsfj,1,6
gLLAQcddeefftgwamnn,1,6
gLvQQaefdeffjhehfrb,-1,6
gLLAQcdceeffawritwn,-1,6
gLLAQbecdeffamnfufk,-1,6
gLLAQaedefffjtepwbj,-1,6
gLLMQbdcfeffajwhhwr,-1,6
gLLAQbceeefflruiixn,1,6
gLALQaccfeffjnbdble,-1,6
gLALQbcbeeffhawofhs,-1,6
gLLAQaedefefnaperrj,-1,6
gLLAQacdefefjbqaqkj,1,6
hLLLQkbcgfegfgdfdedrrc,-1,7
hLLzQkcdegegfglwaulvkf,-1,7
hLvAQkadffegggjuqrcffw,-1,7
hLvPQkafeegfggjqqsbsjj,-1,7
hLLAAkcedeffgglpvauuhk,-1,7
hLLPPkcdfeefggafeeqokw,-1,7
hLLMPkbddegfggtvjpbogg,-1,7
hLLMPkbcdegfggdfbqkfss,0,7
hLLLQkbcfgefggeshpevvf,-1,7
hLLAPkbdedgfgglrasjvgs,0,7
hLLAAkccedffggubmganlr,-1,7
hLLAPkbdedgfggtrasbvgs,0,7
hLLLQkcddgfgfghrgucvfc,-1,7
hLLLQkbcfgefggdvhadwwf,-1,7
hLLMPkbcdegfggebbujsss,-1,7
hLLAAkccedffggpvmnanlk,-1,7
hLLLQkbddefggghgregrog,-1,7
hLLMPkbddegfgglvjpjogg,-1,7
hLLLQkbdggeffglvqqtgcw,-1,7
hLLAPkbcdefgggdfbxjvvc,0,7
hLLAAkbddeefggxwrxxrxk,0,7
hLLLQkbdeefgfghgpmpojk,-1,7
hLLLQkadeegfggnxxccnof,-1,7
hLLLQkbdeegggferqqmwsn,-1,7
hLLLQkacegffggjkswbjww,-1,7
hLLAAkccedffgglbpnabqj,-1,7
hLLLQkadegefggnixwccss,-1,7
hLLAPkbecdfgggeiwsjfkw,-1,7
hLLLQkcefgeffguaqeqirk,-1,7
fLLQcadddeejhahqw,1,5
