target,source,label
fLLQcadedeejpllxo,eLAkaccddjsjqj,Face: 7
fLLQccceddetnxcwj,eLAkaccddjsjqj,Face: 5
fLLQcacdeeejkdxco,eLAkaccddjsjqj,Face: 4
fLAMcaccdeejnbaqw,eLAkaccddjsjqj,Face: 3
gLvQQadefeffnqhhjfc,fLLQcadedeejpllxo,Face: 10
gLLMQbcdefffdfbhtsr,fLLQcadedeejpllxo,Face: 9
gLLAQcddeefflgwamkk,fLLQcadedeejpllxo,Face: 8
gLLAQaddeeffjpupcoj,fLLQcadedeejpllxo,Face: 7
gLLMQbcdeffftcbhqsc,fLLQcadedeejpllxo,Face: 5
gLLMQaedfeffjauqkws,fLLQcadedeejpllxo,Face: 4
gLLMQacdfeffnkxccnn,fLLQcadedeejpllxo,Face: 3
gLLAQbecdeffamrfusn,fLLQcadedeejpllxo,Face: 2
gLLMQbdcefffxvsmpvr,fLLQcadedeejpllxo,Face: 1
gLALQbcceeffdiggnur,fLLQccceddetnxcwj,Face: 9
gLLPQcdcfeffqsnatjk,fLLQccceddetnxcwj,Face: 7
gLLAQcbdeeffajnmdvw,fLLQccceddetnxcwj,Face: 4
gLALQbcbeeffhajofxj,fLLQccceddetnxcwj,Face: 2
gLLPQcdcfeefqrnqask,fLLQccceddetnxcwj,Face: 1
gLLMQbcdefffdfbhtsr,fLLQcacdeeejkdxco,Face: 9
gLLMQbcdefffdfbhqfn,fLLQcacdeeejkdxco,Face: 8
gLLQPccddefftnnruxn,fLLQcacdeeejkdxco,Face: 7
gLLAQbcdeeffhfreesw,fLLQcacdeeejkdxco,Face: 6
gLvQQaefdeffjhqhfwb,fLLQcacdeeejkdxco,Face: 5
gLLAQccdeeffakvhqcn,fLLQcacdeeejkdxco,Face: 4
gLLAQccdeeffawveiks,fLLQcacdeeejkdxco,Face: 3
gLLMQcededffahkejww,fLLQcacdeeejkdxco,Face: 2
gLLAQbddeeffhgcuekj,fLLQcacdeeejkdxco,Face: 1
gLLAQbceeefflruiihj,fLAMcaccdeejnbaqw,Face: 9
gLALQaccfeffjnbpbpq,fLAMcaccdeejnbaqw,Face: 7
gLALQbcbeeffxajofhs,fLAMcaccdeejnbaqw,Face: 4
gLLAQaedefefnapegrn,fLAMcaccdeejnbaqw,Face: 3
gLLAQacdefefjbqahkk,fLAMcaccdeejnbaqw,Face: 2
hLLLQkbcegffggebdaecjk,gLvQQadefeffnqhhjfc,Face: 12
hLLzQkcdegeggflwaulvoj,gLvQQadefeffnqhhjfc,Face: 9
hLvAQkcdeegggfavellwjr,gLvQQadefeffnqhhjfc,Face: 8
hLvAQkadfgegfgnqqgrswg,gLvQQadefeffnqhhjfc,Face: 7
hLLAAkcedeffgglpvauuxs,gLvQQadefeffnqhhjfc,Face: 6
hLLPPkcdfeefggafeeqovj,gLvQQadefeffnqhhjfc,Face: 4
fLLQcacdeeejkdxco,gLLMQbcdefffdfbhtsr,Edge: 12
hLLAPkccdegfggawvhcbwn,gLLMQbcdefffdfbhtsr,Face: 12
hLLLQkbddfggfgajfpwkkb,gLLMQbcdefffdfbhtsr,Face: 11
hLvMQkbefefgggladxdxow,gLLMQbcdefffdfbhtsr,Face: 10
hLLAMkbdedfgggdwasltth,gLLMQbcdefffdfbhtsr,Face: 9
hLLAAkbcedffggebikasiw,gLLMQbcdefffdfbhtsr,Face: 8
hLvAQkbefegfggdadqmuwc,gLLMQbcdefffdfbhtsr,Face: 7
hLLAPkbddefgggxvrxkbsw,gLLMQbcdefffdfbhtsr,Face: 6
hvLAQkcdegfgfgkjoxiaik,gLLMQbcdefffdfbhtsr,Face: 5
hLLMMkbceefgggdfapavjj,gLLMQbcdefffdfbhtsr,Face: 4
hLLAPkcddefgggpgvqfgss,gLLMQbcdefffdfbhtsr,Face: 3
hLLAAkbcdeffggdfbiabpr,gLLMQbcdefffdfbhtsr,Face: 2
hLLLQkbdfegfggxvimmoco,gLLMQbcdefffdfbhtsr,Face: 1
hLLLQkbdffegggtvqqtwvr,gLLAQcddeefflgwamkk,Face: 12
hLLAPkbcdefgggebbmbfcv,gLLAQcddeefflgwamkk,Face: 10
hLLAAkbddeefggxwrxxrqw,gLLAQcddeefflgwamkk,Face: 9
hLLLQkbdeefgfghgpmiokk,gLLAQcddeefflgwamkk,Face: 8
hLLLQkadefegggjhxwgbfo,gLLAQcddeefflgwamkk,Face: 7
hLLLQkbdeeggfgerqqmwjj,gLLAQcddeefflgwamkk,Face: 6
hLLLQkacegffggnkjoogsr,gLLAQcddeefflgwamkk,Face: 5
hLLAAkccedffgglbpnabxr,gLLAQcddeefflgwamkk,Face: 4
hLLLQkadefegggjpxborss,gLLAQcddeefflgwamkk,Face: 3
hLLAPkbecdfgggtpssbwkw,gLLAQcddeefflgwamkk,Face: 2
hLLLQkcefgeffguaqiqirw,gLLAQcddeefflgwamkk,Face: 1
fLLQcadddeejhahaj,gLLAQaddeeffjpupcoj,Edge: 8
hLLAPkbdecfggglvanbrsr,gLLAQaddeeffjpupcoj,Face: 12
hLLLQkbdeeffgglveepgok,gLLAQaddeeffjpupcoj,Face: 10
hLLAPkbcedfgfgajhfssjs,gLLAQaddeeffjpupcoj,Face: 9
hLvAQkaefdefggjulscknj,gLLAQaddeeffjpupcoj,Face: 8
