target,source,label
fLLQcadedeejuldpv,eLAkaccddnnbqj,Face: 7
fLAMcaccdeensjxhw,eLAkaccddnnbqj,Face: 5
fLLQcacdeeenkepco,eLAkaccddnnbqj,Face: 4
fLLQcacdedenbxark,eLAkaccddnnbqj,Face: 3
gLLAQbddeeffxwnxxbj,fLLQcadedeejuldpv,Face: 10
gLLAQbdedffflvurxno,fLLQcadedeejuldpv,Face: 9
gLLAQbdcefffhgwqugc,fLLQcadedeejuldpv,Face: 8
gLLAQaddeeffjuapnok,fLLQcadedeejuldpv,Face: 7
gLLMQbcdeffflrwhtcr,fLLQcadedeejuldpv,Face: 5
gLLAQceddefftavkhcj,fLLQcadedeejuldpv,Face: 4
gLLMQacdfeffnbxcnjj,fLLQcadedeejuldpv,Face: 3
gLLAQbecdeffainfqsn,fLLQcadedeejuldpv,Face: 2
gLLAQcdeefeflkheapr,fLLQcadedeejuldpv,Face: 1
gLLAQbceeeffebdqqhw,fLAMcaccdeensjxhw,Face: 9
gLALQaccefffnsjslqt,fLAMcaccdeensjxhw,Face: 7
gLLMQacedfffjktwvbb,fLAMcaccdeensjxhw,Face: 4
gLALQbcbeeffxanowar,fLAMcaccdeensjxhw,Face: 3
gLLAQccedfeflnhnxwk,fLAMcaccdeensjxhw,Face: 2
gLLAQbdedffflvurxno,fLLQcacdeeenkepco,Face: 9
gLLMQbcdefffebbtiob,fLLQcacdeeenkepco,Face: 8
gLLQPccddefflnnouhj,fLLQcacdeeenkepco,Face: 7
gLvQQaefdeffnhqhffk,fLLQcacdeeenkepco,Face: 6
gLLAQadedfffnxxhgkg,fLLQcacdeeenkepco,Face: 5
gLLAQbddeeffajkthkn,fLLQcacdeeenkepco,Face: 4
gLLAQccdeeffawvhukw,fLLQcacdeeenkepco,Face: 3
gLLAQcededfflavxjkn,fLLQcacdeeenkepco,Face: 2
gLLAQbddeeffxvrxqgr,fLLQcacdeeenkepco,Face: 1
gLLAQaddeeffjiapcfw,fLLQcacdedenbxark,Face: 9
gLLAQaeddeffnmadcok,fLLQcacdedenbxark,Face: 7
gLLAQaeddeffjiddcjn,fLLQcacdedenbxark,Face: 4
gLLQPacdedffnbxaraj,fLLQcacdedenbxark,Face: 3
hLLAPkbdedfgggtvdggvof,gLLAQbddeeffxwnxxbj,Face: 12
hLLLQkbddffgggxjfxrvjc,gLLAQbddeeffxwnxxbj,Face: 10
hLLAPkacedfgggjkumtako,gLLAQbddeeffxwnxxbj,Face: 9
hLvPQkafeegfggjqdsrfsf,gLLAQbddeeffxwnxxbj,Face: 8
hLLLQkacegffggjksfbsso,gLLAQbddeeffxwnxxbj,Face: 7
hLLAMkcddeffggtrvaqsus,gLLAQbddeeffxwnxxbj,Face: 6
hLLAAkcddeefggtgwamvqj,gLLAQbddeeffxwnxxbj,Face: 5
hLLPAkcdeffeggqrddqqxk,gLLAQbddeeffxwnxxbj,Face: 4
hLLPMkcdefffggaredqkck,gLLAQbddeeffxwnxxbj,Face: 3
hLLAAkccdeffggpkvdabtw,gLLAQbddeeffxwnxxbj,Face: 2
hLLLQkbeefgffgxadmlesk,gLLAQbddeeffxwnxxbj,Face: 1
fLLQcacdeeenkepco,gLLAQbdedffflvurxno,Edge: 12
hLLAPkccdegfggakvhbrco,gLLAQbdedffflvurxno,Face: 12
hLLLQkbddfgfggarfpvfws,gLLAQbdedffflvurxno,Face: 11
hLLLQkcdfeggfgpkxqpgkg,gLLAQbdedffflvurxno,Face: 10
hLLAMkbdedfgggevxsluxi,gLLAQbdedffflvurxno,Face: 9
hLLAAkccdeffggubwuanij,gLLAQbdedffflvurxno,Face: 8
hLvAQkbeffegggdpdequjc,gLLAQbdedffflvurxno,Face: 7
hLLLQkcddegfgghsgpnrkr,gLLAQbdedffflvurxno,Face: 6
hvLPQkcdefgfggkrfetptr,gLLAQbdedffflvurxno,Face: 5
hLLLQkbdeegfggasuxukog,gLLAQbdedffflvurxno,Face: 4
hLLAPkcddefgggufvlnjww,gLLAQbdedffflvurxno,Face: 3
hLLAMkbcdeffggebblarir,gLLAQbdedffflvurxno,Face: 2
hLLLQkcddfgfgghsgeggcc,gLLAQbdedffflvurxno,Face: 1
hLLAMkbeedfgggtmagdgfk,gLLAQbdcefffhgwqugc,Face: 12
hLLAPkceddgfgguprvoofo,gLLAQbdcefffhgwqugc,Face: 10
hLLLQkbdeeffgglviipjjj,gLLAQbdcefffhgwqugc,Face: 9
hLLLQkadeeggfgnxxcnoro,gLLAQbdcefffhgwqugc,Face: 8
hLLLQkbdfgfgegxvhhmkkg,gLLAQbdcefffhgwqugc,Face: 7
hLLAMkadedffggnxxhggaj,gLLAQbdcefffhgwqugc,Face: 6
hLLMAkbdeffeggxvuqqmmk,gLLAQbdcefffhgwqugc,Face: 5
hLLLQkcddeffgglwfljjfk,gLLAQbdcefffhgwqugc,Face: 4
hLLAMkbdcefgggevwuauai,gLLAQbdcefffhgwqugc,Face: 3
hLLAPkbecdgfgglussjoko,gLLAQbdcefffhgwqugc,Face: 2
hLLLQkcefdgfgguaqnmrgj,gLLAQbdcefffhgwqugc,Face: 1
