id,oriented,tetrahedra
eLAkaccddnnbqw,1,4
fLLQcadedeejiulxk,1,5
fLAMcaccdeensjxhj,1,5
fLLQcacdeeenkepcg,0,5
fLLQcacdedenbxank,1,5
gLLAQbddeeffxwnxxbw,1,6
gLLAQbdedffftvurxno,0,6
gLLAQbdcefffhgsqugc,1,6
gLLAQaddeeffnuapnok,1,6
gLLMQbcdeffflrwhtsr,-1,6
gLLAQceddefftavkhcw,-1,6
gLLMQacdfeffjbxcnjj,-1,6
gLLAQbecdeffainfqsj,-1,6
gLLAQcdeefeflkheapn,-1,6
gLLAQbceeeffebdqqhj,1,6
gLALQaccefffnsjslqd,-1,6
gLLMQacedfffnktwvbb,-1,6
gLALQbcbeeffxajowar,-1,6
gLLAQccedfeflnhnxsk,-1,6
gLLMQbcdefffebbtivb,-1,6
gLLQPccddefftnnouhj,0,6
gLvQQaefdeffnhqhffs,-1,6
gLLAQadedfffnxuhgkg,0,6
gLLAQbddeeffanrtukn,-1,6
gLLAQccdeeffakvhukw,0,6
gLLAQcededfflavxwkn,-1,6
gLLAQbddeeffxvrdhnw,-1,6
gLLAQaddeeffjiapcfj,1,6
gLLAQaeddeffniadcok,1,6
gLLAQaeddeffniddcjn,-1,6
gLLQPacdedffjbxaraj,-1,6
hLLAPkbdedfggglvdggvof,-1,7
hLLLQkbddffgggxjfxrvrc,-1,7
hLLAPkacedfgggnkumtako,1,7
hLvPQkafeegfggnqdsrfsf,-1,7
hLLLQkacegffggnksfbsso,-1,7
hLLAMkcddeffggtrvaqsuw,1,7
hLLAAkcddeefggtgwamvqn,-1,7
hLLPAkcdeffeggqrddqqxj,1,7
hLLPMkcdefffggaredqkcj,-1,7
hLLAAkccdeffggpkvdabts,-1,7
hLLLQkbeefgffgxadmlesj,-1,7
hLLAPkccdegfggakvhbrcg,-1,7
hLLLQkbddfgfggarfpsfws,-1,7
hLLLQkcdfeggfgpkxqpgwg,-1,7
hLLAMkbdedfgggevxslpxi,0,7
hLLAAkbcedffggdfarajmk,-1,7
hLvAQkbeffegggexeauugf,-1,7
hLLLQkcddegfgghsgpnrfr,-1,7
hvLPQkcdefgfggksftepeb,-1,7
hLLLQkbdeefggganpuxroc,-1,7
hLLAPkcddefgggufvlnvww,0,7
hLLAMkbcdeffggebblarin,-1,7
hLLAPkbdedgfgglvagjkbw,-1,7
hLLAMkbeedfgggtmagdgrk,-1,7
hLLAPkceddgfggpproobbr,-1,7
hLLLQkbdeeffgglviipjjk,-1,7
hLLLQkadeeggfgjxxcnoro,-1,7
hLLLQkbdfgfgegxvhhmkrg,-1,7
hLLAMkadedffggjxxhggaj,1,7
hLLMAkbdeffeggxvuqqmmr,-1,7
hLLLQkcddeffgglwfljjfr,-1,7
hLLAMkbdcefgggevsuauai,-1,7
hLLAPkbecdgfggluwsjoko,-1,7
hLLLQkcefdgfgguaqrmrgj,-1,7
hLLAPkbdecfgggtvajnrsc,1,7
hLLLQkbdeeffggtvhqpgor,-1,7
hLLAPkccdegffghwvlvvjj,-1,7
hLvAQkaefdefggnuqwcrwk,-1,7
hLLzQkccdegffgqfnqffrr,-1,7
hLLMMkacdeffggnsacvkqw,1,7
hLvAQkadeeffggnahcrggk,1,7
hLLAPkaeddgfggnaaducht,-1,7
hLLLQkadffegggjiegcwwj,-1,7
hLLAAkadedefggnuldvfaw,-1,7
hLvAQkbeffgeggdaddmdrc,-1,7
hLLAPkbcedgfggtjhfkroc,-1,7
hvLAQkcdegfgfgnrchipij,-1,7
hLLLQkceffegggpllaqpgw,-1,7
hLLLQkbdfgegfgendiebkc,-1,7
hLLAPkcddefggglwkxckff,-1,7
hLLAAkbcdeffgglrwiabpr,-1,7
hLLLQkbdfgefggerhhekwg,-1,7
hLLAPkbdedfgggerlvfrff,-1,7
hLLAPkbdcefgggajnhsjwr,-1,7
hLLLQkaedfefggnamgrsok,-1,7
hLLAMkbdceffggdgriegif,-2,7
hLLAAkbdceffggdgrxughg,-2,7
hLLAAkbcdeffggebbaurxj,-1,7
hLLAPkceddggfguavvnrnf,-1,7
hLLAPkceddggfglavrbbnf,-1,7
hLvAQkbeffgefgadumatfr,-1,7
hLLPAkccdfefggawwaaohw,-1,7
hLLAMkadedfgggjillnahx,-1,7
hLLLQkbddgffggtvsunnos,-1,7
hLLAAkacdeffggjbxxddbo,-2,7
hLLAMkacdeffggjbxmxxwb,-2,7
hLLLQkacegffggjbfssrrc,-1,7
hLLAAkbcedffggebxfagin,-1,7
hLLAMkadedfgggjiulnaxx,-1,7
hLLPMkcdfeefggakdxifnj,-1,7
hLLAAkaedeefggjaaxkvhn,-1,7
hLLLQkcdgffegglfaadrww,-1,7
hLLPMkacedffggnkawrrxb,-2,7
hLLPAkacedffggnkpwffao,-2,7
hLLAAkccedffggubavdsas,-1,7
hLLAMkbdcefggglvwqalii,-1,7
