target,source,label
fLLQcadedeejulhxv,eLAkaccddnsjqj,Face: 7
fLLQccceddetnxcwn,eLAkaccddnsjqj,Face: 5
fLLQcacdeeenkdxco,eLAkaccddnsjqj,Face: 4
fLAMcaccdeennbaqw,eLAkaccddnsjqj,Face: 3
gLvQQadefeffnphhjfc,fLLQcadedeejulhxv,Face: 10
gLLMQbcdefffebbmtnw,fLLQcadedeejulhxv,Face: 9
gLLAQcddeefftgwamkk,fLLQcadedeejulhxv,Face: 8
gLLAQaddeeffjuapwoj,fLLQcadedeejulhxv,Face: 7
gLLMQbcdeffftcchqsc,fLLQcadedeejulhxv,Face: 5
gLLMQaedfeffjaaqrjs,fLLQcadedeejulhxv,Face: 4
gLLAQcdceeffawritbn,fLLQcadedeejulhxv,Face: 3
gLLAQbecdeffamnfusn,fLLQcadedeejulhxv,Face: 2
gLLAQbdeeeffxvuxmlk,fLLQcadedeejulhxv,Face: 1
gLALQbcceeffdmggnur,fLLQccceddetnxcwn,Face: 9
gLLPQcdcfeffqsjatjk,fLLQccceddetnxcwn,Face: 7
gLLAQcbdeeffajnmdvj,fLLQccceddetnxcwn,Face: 4
gLALQbcbeeffhawofxj,fLLQccceddetnxcwn,Face: 2
gLLPQcdcfeefqrjqask,fLLQccceddetnxcwn,Face: 1
gLLMQbcdefffebbmtnw,fLLQcacdeeenkdxco,Face: 9
gLLMQbcdefffebbmqob,fLLQcacdeeenkdxco,Face: 8
gLLQPccddefftnnruxj,fLLQcacdeeenkdxco,Face: 7
gLLAQbcdeeffhfreesj,fLLQcacdeeenkdxco,Face: 6
gLvQQaefdeffnhqhfwb,fLLQcacdeeenkdxco,Face: 5
gLLAQccdeeffakvhqcr,fLLQcacdeeenkdxco,Face: 4
gLLAQccdeeffawveikw,fLLQcacdeeenkdxco,Face: 3
gLLMQcededffahkekww,fLLQcacdeeenkdxco,Face: 2
gLLAQbddeeffhgcuekw,fLLQcacdeeenkdxco,Face: 1
gLLAQbceeefflrqiihj,fLAMcaccdeennbaqw,Face: 9
gLALQaccfeffnnbpbpq,fLAMcaccdeennbaqw,Face: 7
gLALQbcbeeffxajofhw,fLAMcaccdeennbaqw,Face: 4
gLLAQaedefefjapegrn,fLAMcaccdeennbaqw,Face: 3
gLLAQacdefefnbqahkk,fLAMcaccdeennbaqw,Face: 2
hLLLQkbcegffggebdaecjs,gLvQQadefeffnphhjfc,Face: 12
hLLLQkbcegffggebdiecnr,gLvQQadefeffnphhjfc,Face: 10
hLLLQkcdffggeguwxxqjjr,gLvQQadefeffnphhjfc,Face: 9
hLvAQkcdegeggftvuiiojk,gLvQQadefeffnphhjfc,Face: 8
hLvAQkadfeggfgndqknswg,gLvQQadefeffnphhjfc,Face: 7
hLLAAkcedeffgglpvapuxs,gLvQQadefeffnphhjfc,Face: 6
hLLzQkcdegeggftwaulvoj,gLvQQadefeffnphhjfc,Face: 5
hLwLQkacegffggjnfnnssb,gLvQQadefeffnphhjfc,Face: 4
hLLPPkcdfeefggafeelovj,gLvQQadefeffnphhjfc,Face: 3
hLLAAkcedeffggluvpuuer,gLvQQadefeffnphhjfc,Face: 2
hLLzQkcdffggegawdxlkns,gLvQQadefeffnphhjfc,Face: 1
fLLQcacdeeenkdxco,gLLMQbcdefffebbmtnw,Edge: 12
hLLAPkccdegfggakvhcbwn,gLLMQbcdefffebbmtnw,Face: 12
hLLLQkbddfggfgarfpwkkb,gLLMQbcdefffebbmtnw,Face: 11
hLvMQkbefefgggtadxdxow,gLLMQbcdefffebbmtnw,Face: 10
hLLAMkbdedfgggevdslmdi,gLLMQbcdefffebbmtnw,Face: 9
hLLAAkbcedffggebikasij,gLLMQbcdefffebbmtnw,Face: 8
hLvAQkbefegfggdadqhuwc,gLLMQbcdefffebbmtnw,Face: 7
hLLLQkbdfegfggtvqhpjwo,gLLMQbcdefffebbmtnw,Face: 6
hvLAQkcdegfgfgbrcqitis,gLLMQbcdefffebbmtnw,Face: 5
hLLMMkbceefgggebdxasjj,gLLMQbcdefffebbmtnw,Face: 4
hLLAPkcddefgggpfvqfgss,gLLMQbcdefffebbmtnw,Face: 3
hLLAAkbcdeffggebbqacxj,gLLMQbcdefffebbmtnw,Face: 2
hLLLQkbdfegfggxvmmmoco,gLLMQbcdefffebbmtnw,Face: 1
hLLLQkbdffegggtvqqtsvr,gLLAQcddeefftgwamkk,Face: 12
hLLAPkbcdefgggebbibfcv,gLLAQcddeefftgwamkk,Face: 10
hLLAAkbddeefggxwnxxrqw,gLLAQcddeefftgwamkk,Face: 9
hLLLQkbdeefgfghgpmiokj,gLLAQcddeefftgwamkk,Face: 8
hLLLQkccfgeeggqfhiqjjo,gLLAQcddeefftgwamkk,Face: 7
hLLLQkbdeeggfgerqqxwjj,gLLAQcddeefftgwamkk,Face: 6
hLLLQkacgfefggnkbbwgsr,gLLAQcddeefftgwamkk,Face: 5
hLLAAkccedffggtnaouvdj,gLLAQcddeefftgwamkk,Face: 4
hLLLQkadeefgggjuxvorss,gLLAQcddeefftgwamkk,Face: 3
hLLAPkbecdfggglpssbwkw,gLLAQcddeefftgwamkk,Face: 2
hLLLQkcefgeffgpaehqirj,gLLAQcddeefftgwamkk,Face: 1
hLLAPkbdecfggglvanbrsc,gLLAQaddeeffjuapwoj,Face: 12
hLLLQkbdeeffgglveqpgok,gLLAQaddeeffjuapwoj,Face: 10
hLLAPkbcedfgfgtsxfjjjj,gLLAQaddeeffjuapwoj,Face: 9
hLvAQkaefdefggjulwcknj,gLLAQaddeeffjuapwoj,Face: 8
hLLPPkccdfefggqffqnffk,gLLAQaddeeffjuapwoj,Face: 7
hLLMMkacdeffggjbacvkqj,gLLAQaddeeffjuapwoj,Face: 6
hLLAPkceddfgfgtqvnvvjj,gLLAQaddeeffjuapwoj,Face: 5
hLLAAkbdeeffggtvedxxek,gLLAQaddeeffjuapwoj,Face: 4
hLLLQkadffegggjuigwwwo,gLLAQaddeeffjuapwoj,Face: 3
hLLAAkadedefggjulhvfas,gLLAQaddeeffjuapwoj,Face: 1
hLLLQkbcegffggebdiecnr,gLLMQbcdeffftcchqsc,Face: 12
hLvAQkbeffgeggdadaudwc,gLLMQbcdeffftcchqsc,Face: 11
hLLAPkbcdefgggebbibfcv,gLLMQbcdeffftcchqsc,Face: 10
hLLLQkbdeeffgglveqpgok,gLLMQbcdeffftcchqsc,Face: 9
hLLAPkccdefggghwvlbjco,gLLMQbcdeffftcchqsc,Face: 8
hvLAQkcdegfgfgbrcaiqiw,gLLMQbcdeffftcchqsc,Face: 7
hLLLQkceffegggptepqpgn,gLLMQbcdeffftcchqsc,Face: 6
hLLLQkbddggffgtvslbnbb,gLLMQbcdeffftcchqsc,Face: 5
hLLLQkbdffegggajiihbcf,gLLMQbcdeffftcchqsc,Face: 4
hLLAAkbcdeffggtccdabpk,gLLMQbcdeffftcchqsc,Face: 3
hLLAPkbdedgfggdsavfkgr,gLLMQbcdeffftcchqsc,Face: 2
hLLAPkbdedfgggdkxvckff,gLLMQbcdeffftcchqsc,Face: 1
hLLAPkcddeffgghrvarrgj,gLLMQaedfeffjaaqrjs,Face: 12
hLLAPkccdegfggakvhcbwn,gLLMQaedfeffjaaqrjs,Face: 11
hLLAPkbdcefgggajrxjjvs,gLLMQaedfeffjaaqrjs,Face: 10
hLLAAkbcdeffggtccdabpk,gLLMQaedfeffjaaqrjs,Face: 9
hLLAPkccdefggghwvlbjco,gLLMQaedfeffjaaqrjs,Face: 7
hLLAAkbdceffgghwrxtjmg,gLLMQaedfeffjaaqrjs,Face: 6
hLLAMkbdceffgghwriunlf,gLLMQaedfeffjaaqrjs,Face: 5
hLLAAkbcdeffggebbahcin,gLLMQaedfeffjaaqrjs,Face: 4
hLLAPkceddggfguavvojrf,gLLMQaedfeffjaaqrjs,Face: 3
hLLAPkceddggfgtavobbrf,gLLMQaedfeffjaaqrjs,Face: 2
hLvAQkbeffgefgaeqmatfn,gLLMQaedfeffjaaqrjs,Face: 1
hLvAQkcdegeggftvuiiojk,gLLAQcdceeffawritbn,Face: 12
hLLLQkbddfggfgarfpwkkb,gLLAQcdceeffawritbn,Face: 11
hLLMAkbddeefggakbiisxr,gLLAQcdceeffawritbn,Face: 10
hLLAMkadedfgggnmllnahi,gLLAQcdceeffawritbn,Face: 9
hLLLQkbddfggfgankxwkkb,gLLAQcdceeffawritbn,Face: 7
hLLAAkacdeffggnkxlddbo,gLLAQcdceeffawritbn,Face: 6
hLLAAkacdeffggnkxlxeco,gLLAQcdceeffawritbn,Face: 5
hLLLQkacegffggnkvssssc,gLLAQcdceeffawritbn,Face: 4
hLLAAkbcedffggebdfaoxj,gLLAQcdceeffawritbn,Face: 3
hLLAMkadedfgggnmhlnaii,gLLAQcdceeffawritbn,Face: 2
hLLPMkcdfeefggawdxdfnk,gLLAQcdceeffawritbn,Face: 1
hLLAPkaedeffggjaaqvjhr,gLLAQbecdeffamnfusn,Face: 12
hLLAAkbcedffggebikasij,gLLAQbecdeffamnfusn,Face: 11
hLLLQkbdeefgfghgpmiokj,gLLAQbecdeffamnfusn,Face: 10
hLvAQkaefdefggjulwcknj,gLLAQbecdeffamnfusn,Face: 9
hLLAPkcdedffggurpvrrvr,gLLAQbecdeffamnfusn,Face: 7
hLLPMkacedffggjsmwrrxb,gLLAQbecdeffamnfusn,Face: 6
hLLPAkacedffggjsxwffao,gLLAQbecdeffamnfusn,Face: 5
hLLAAkccedffggubavekew,gLLAQbecdeffamnfusn,Face: 4
hLLAMkbdcefggglvsdaemm,gLLAQbecdeffamnfusn,Face: 3
hLLAAkcbdeefggtjbmtraw,gLLAQbecdeffamnfusn,Face: 1
hLLLQkacfegfggjbgcjnbn,gLLAQbdeeeffxvuxmlk,Face: 12
hLLLQkbdfegfggtvqhpjwo,gLLAQbdeeeffxvuxmlk,Face: 11
hLLLQkccfgeeggqfhiqjjo,gLLAQbdeeeffxvuxmlk,Face: 10
hLLPPkccdfefggqffqnffk,gLLAQbdeeeffxvuxmlk,Face: 9
hLLAPkbdeefgggtvahxksv,gLLAQbdeeeffxvuxmlk,Face: 7
hLLLQkbedeggfgxxfxpvro,gLLAQbdeeeffxvuxmlk,Face: 6
hLvPQkafegefggjuxgjfwn,gLLAQbdeeeffxvuxmlk,Face: 5
hLLPMkbcefffggakmmqgss,gLLAQbdeeeffxvuxmlk,Face: 4
hLLLQkbcfdfgggtcxwgnno,gLLAQbdeeeffxvuxmlk,Face: 3
hLLAPkaeddgfggnaalmbde,gLLAQbdeeeffxvuxmlk,Face: 2
hLLAPkbdecfggglvanbrsc,gLLAQbdeeeffxvuxmlk,Face: 1
hLAvQkbccefgggtpkstmgv,gLALQbcceeffdmggnur,Face: 12
hLAvQkbccefgggtpksqmjr,gLALQbcceeffdmggnur,Face: 10
hLLLQkcdffggeguwxxqjjr,gLALQbcceeffdmggnur,Face: 9
hLAwAkbccdffggeiktgbqw,gLALQbcceeffdmggnur,Face: 8
hLAvQkbccefgfgtpkrmurs,gLALQbcceeffdmggnur,Face: 7
hLLzQkcdegeggftwaulvoj,gLALQbcceeffdmggnur,Face: 6
hLLAPkcceeffggqfahevnr,gLALQbcceeffdmggnur,Face: 5
hLAwAkbccdffggaurikohw,gLALQbcceeffdmggnur,Face: 4
hLLAAkbcceffggtondughk,gLALQbcceeffdmggnur,Face: 3
hLLAAkbcceffggtondajmj,gLALQbcceeffdmggnur,Face: 2
hLLAAkccddffggqfrfschr,gLALQbcceeffdmggnur,Face: 1
hLAvQkbccefgggtpkstmgv,gLLPQcdcfeffqsjatjk,Face: 11
hLAvQkbccefgggtpksqmjr,gLLPQcdcfeffqsjatjk,Face: 10
hLLMAkbdedffggtsaflodn,gLLPQcdcfeffqsjatjk,Face: 9
hLLMAkccdfefggubvhtwdj,gLLPQcdcfeffqsjatjk,Face: 8
hLLAAkbcdeefggxbraagqs,gLLPQcdcfeffqsjatjk,Face: 7
hLALPkcbbegfgghqjohmjg,gLLPQcdcfeffqsjatjk,Face: 6
hLLAAkcedeefgghlvaeqhw,gLLPQcdcfeffqsjatjk,Face: 5
hLLAAkccdeefggakveuchw,gLLPQcdcfeffqsjatjk,Face: 4
hLLAAkbddeefgganrlunxk,gLLPQcdcfeffqsjatjk,Face: 3
hLLAAkcdecffggqsajevuk,gLLPQcdcfeffqsjatjk,Face: 2
hLLAAkbddeefggxvrdtvhw,gLLPQcdcfeffqsjatjk,Face: 1
hLLAPkadedfgggnaalbihl,gLLAQcbdeeffajnmdvj,Face: 11
hLLLQkadfegfggjuavvnok,gLLAQcbdeeffajnmdvj,Face: 10
hLLLQkbceggfgfasxalrwr,gLLAQcbdeeffajnmdvj,Face: 9
hLLMAkccdfefggubvhtwdj,gLLAQcbdeeffajnmdvj,Face: 7
hLLMPkacdefgfgjkusjhnf,gLLAQcbdeeffajnmdvj,Face: 6
hLLMPkacdegffgjkqvavnc,gLLAQcbdeeffajnmdvj,Face: 5
hLLAPkbcedfgfglsxjssnw,gLLAQcbdeeffajnmdvj,Face: 4
hLLAPkaedeffggjauqowlj,gLLAQcbdeeffajnmdvj,Face: 3
hLLAAkbedcefggaabntrhr,gLLAQcbdeeffajnmdvj,Face: 2
hLLAPkceddfgfglavnccwn,gLLAQcbdeeffajnmdvj,Face: 1
hLAwAkbccdffggeiktgbqw,gLALQbcbeeffhawofxj,Face: 11
hLAwAkbccdffggeiktgbqw,gLALQbcbeeffhawofxj,Face: 10
hLALPkcbbegfggaqjsadrs,gLALQbcbeeffhawofxj,Face: 9
hLLMPkaceffeggjktckgus,gLALQbcbeeffhawofxj,Face: 6
hLLMMkccdefgfgajvlmhnw,gLALQbcbeeffhawofxj,Face: 4
hLAwAkcbbdffggaqjaschr,gLALQbcbeeffhawofxj,Face: 3
hLALAkbcbeefgghawkwhqn,gLALQbcbeeffhawofxj,Face: 2
hLAvQkbccefgfgtpkrmurs,gLLPQcdcfeefqrjqask,Face: 11
hLAvQkbccefgfgtpkrmurs,gLLPQcdcfeefqrjqask,Face: 10
hLLAAkaeddefggjiadcjxn,gLLPQcdcfeefqrjqask,Face: 9
hLLMAkacedffggjktnfntr,gLLPQcdcfeefqrjqask,Face: 6
hLLAMkacdefgfgjbqaharn,gLLPQcdcfeefqrjqask,Face: 4
hLLAAkaeddefggnmddcoxk,gLLPQcdcfeefqrjqask,Face: 3
hLvAQkbefegfggdadqhuwc,gLLMQbcdefffebbmqob,Face: 12
hLLMMkbceefgggebdxxswb,gLLMQbcdefffebbmqob,Face: 11
hLLAMkbdedfgggevdslpmq,gLLMQbcdefffebbmqob,Face: 10
hLLLQkbcfgegfgebppefcc,gLLMQbcdefffebbmqob,Face: 9
hLLLQkceffegggptepqpgn,gLLMQbcdefffebbmqob,Face: 8
hLLAAkbcdeffggebbahcin,gLLMQbcdefffebbmqob,Face: 7
hLLAPkbdedfggglvagfkwg,gLLMQbcdefffebbmqob,Face: 6
hvLAQkcdegfgfgbrcaiqiw,gLLMQbcdefffebbmqob,Face: 5
hLLLQkbddfggfgarfpfckf,gLLMQbcdefffebbmqob,Face: 4
hLLAPkccdegfggakvhcbwn,gLLMQbcdefffebbmqob,Face: 3
hLLAAkceddffgguaskabuw,gLLMQbcdefffebbmqob,Face: 2
hLLLQkbddffgggtnrdgkcs,gLLMQbcdefffebbmqob,Face: 1
fLAMcbccdeehhnaxr,gLLQPccddefftnnruxj,Edge: 8
hLALPkbccegfggdiggpujv,gLLQPccddefftnnruxj,Face: 11
hLLAAkccdeefggifveuvqw,gLLQPccddefftnnruxj,Face: 9
hLvQAkcdceffgghvndpftw,gLLQPccddefftnnruxj,Face: 8
hLLAAkcedeefgghavthhqw,gLLQPccddefftnnruxj,Face: 7
hLLAAkccedefggqfakdkxr,gLLQPccddefftnnruxj,Face: 6
hLLAAkbcedefggasxfajqw,gLLQPccddefftnnruxj,Face: 5
hLLAAkccdeefggqgvuqvxr,gLLQPccddefftnnruxj,Face: 4
hLALPkbcbegfgghajomxgf,gLLQPccddefftnnruxj,Face: 3
hLLMMkcddeffggakbxdcpw,gLLQPccddefftnnruxj,Face: 2
hLLMMkcddeffggarvmtjqj,gLLQPccddefftnnruxj,Face: 1
hLLMMkbceefgggebdxafbr,gLLAQbcdeeffhfreesj,Face: 11
hLLMMkbceefgggebdxxswb,gLLAQbcdeeffhfreesj,Face: 10
hLLAAkbcdeefggxbraagqs,gLLAQbcdeeffhfreesj,Face: 9
hLvAQkadfeggfgjeqcrjbw,gLLAQbcdeeffhfreesj,Face: 8
hLLAMkbeedffgghqmkajnk,gLLAQbcdeeffhfreesj,Face: 7
hLLMAkbdedffggtsaflodn,gLLAQbcdeeffhfreesj,Face: 6
hLLAMkbddeffggevrqajaw,gLLAQbcdeeffhfreesj,Face: 5
hLLLQkbdeegggfevaapjsn,gLLAQbcdeeffhfreesj,Face: 4
hLLAAkbcedffggerifafxk,gLLAQbcdeeffhfreesj,Face: 3
hLLPMkcdefefggakpqqrbr,gLLAQbcdeeffhfreesj,Face: 2
hLLLQkbedeffggaxfpxcss,gLLAQbcdeeffhfreesj,Face: 1
hLLLQkbcfgegfgebppefcc,gLvQQaefdeffnhqhfwb,Face: 11
hLLLQkbcfgegfgebppefcc,gLvQQaefdeffnhqhfwb,Face: 10
hLvAQkadffegggjuqrcjjw,gLvQQaefdeffnhqhfwb,Face: 9
hLLPPkcdefefgglwahlnfj,gLvQQaefdeffnhqhfwb,Face: 8
hLLAMkcedeffgguavhabnk,gLvQQaefdeffnhqhfwb,Face: 7
hLvPQkafeegfggjqxsbsoj,gLvQQaefdeffnhqhfwb,Face: 5
hLLLQkaedgfgfgnahcskkf,gLvQQaefdeffnhqhfwb,Face: 4
hLLMMkbceefgggebdxasjj,gLLAQccdeeffakvhqcr,Face: 11
hLLMMkbceefgggebdxasjj,gLLAQccdeeffakvhqcr,Face: 10
hLLAMkbeedffggaapkabnk,gLLAQccdeeffakvhqcr,Face: 9
hLLMAkbddeefggajriisqj,gLLAQccdeeffakvhqcr,Face: 8
hLvAQkadffegggjuqrcjjw,gLLAQccdeeffakvhqcr,Face: 7
hLLAPkacdeffggjkexapbg,gLLAQccdeeffakvhqcr,Face: 6
hLLAAkbcedffggdfafanpn,gLLAQccdeeffakvhqcr,Face: 4
hLvAQkadffegggjuqrcjjw,gLLAQccdeeffakvhqcr,Face: 1
hLLAPkcddefgggpfvqfgss,gLLAQccdeeffawveikw,Face: 11
hLLAPkcddefgggpfvqkvss,gLLAQccdeeffawveikw,Face: 10
hLLAMkbeedffggaluoaokk,gLLAQccdeeffawveikw,Face: 9
hLvAQkadfeggfgjeqcrjbw,gLLAQccdeeffawveikw,Face: 8
hLLAAkcddeffgghssatoan,gLLAQccdeeffawveikw,Face: 7
hLLzQkcdefegfgtsaqtvkc,gLLAQccdeeffawveikw,Face: 6
hLLLQkcdefegfghsaqhokf,gLLAQccdeeffawveikw,Face: 5
hLwLQkacefgfggnsgkrkro,gLLAQccdeeffawveikw,Face: 4
hLLAAkbcedffggebifasmj,gLLAQccdeeffawveikw,Face: 3
hLLLQkbedeffggaafeejjj,gLLAQccdeeffawveikw,Face: 2
hLLPPkcdfefgfgaodxlffs,gLLAQccdeeffawveikw,Face: 1
hLLAAkbcdeffggebbqacxj,gLLMQcededffahkekww,Face: 11
hLLAAkbcdeffggebbahcin,gLLMQcededffahkekww,Face: 10
hLvQAkcdceffgghvndpftw,gLLMQcededffahkekww,Face: 9
hLLLQkbcdgggfflsraoofj,gLLMQcededffahkekww,Face: 8
hLLAAkaedeffggnaaqrvaw,gLLMQcededffahkekww,Face: 7
hLLAPkaedefgfgnxahvqcj,gLLMQcededffahkekww,Face: 6
hLLAPkaedefgfgjqauvtcs,gLLMQcededffahkekww,Face: 5
hLLAPkbecdgfgghassjnoc,gLLMQcededffahkekww,Face: 4
hLLAPkbecdgfggaassjgrj,gLLMQcededffahkekww,Face: 3
hLLQzkacdeefggnkdxcean,gLLMQcededffahkekww,Face: 1
fLAMcbccdeehhnaxr,gLLAQbddeeffhgcuekw,Edge: 9
hLLLQkbdfegfggxvmmmoco,gLLAQbddeeffhgcuekw,Face: 11
hLLAPkbdedfggglvagfkwg,gLLAQbddeeffhgcuekw,Face: 10
hLLAAkccedefggqfakdkxr,gLLAQbddeeffhgcuekw,Face: 9
hLvPQkafeefgggnqxkcoff,gLLAQbddeeffhgcuekw,Face: 8
hLLLQkaeegffggjaxbrbrn,gLLAQbddeeffhgcuekw,Face: 7
