id,oriented,tetrahedra
eLAkbbcdddhrxn,1,4
fLAMcaccdeejgnaxk,1,5
fLAMcaccdeengbxhw,1,5
fLLQcacedeejktefn,1,5
fLAMcbbcdeedhgqqj,1,5
fLAPcbcceeedmgwsf,-1,5
gLALQaccfeffjgndble,-1,6
gLLAQaedeeffnmaekkj,1,6
gLLAQbceeeffajhumhw,-1,6
gLLAQccedfefhwxganj,-1,6
gLLPQcdcfeefqcjhasn,1,6
gLALQaccefffngbslqt,-1,6
gLLMQacedfffjktwwjw,1,6
gLLAQbceeeffebxxphw,-1,6
gLLAQccedfeftnakhnw,-1,6
gLALQbcbeeffxhnrvhr,-1,6
gLLAQcddeefflcvatnr,1,6
gLLAQcedefefthvaxak,1,6
gLLAQacdeeffjkadouk,1,6
gLvQQadfeeffjaqqwnb,-1,6
gLLAQbdedfffdkugaro,-1,6
gLLAQbdedffftvaguks,-1,6
gLLAQcedeeffahvdixn,-1,6
gLLAQcedcfffhavrusk,-1,6
gLLAQaedefffjaaqcrw,-1,6
gLALQbbcefffdhgndid,-1,6
gLLAQacddfffjkamxap,-1,6
gLLPQcdcefffhsrpqnn,-1,6
gLAMPbbcdeffdhgaxxn,-1,6
gLALQbcbeeffxxnskqw,-1,6
gLAMPaccdeffngbqqqs,1,6
gLLPQcdeffefuwpxxak,-1,6
gLLPQcdeffeftwaddlr,-1,6
gLLAQcceefffakxhudb,-1,6
gLLAQceedeffalxnxhw,-1,6
gLLAQccddfffqfrfwrv,-1,6
gLLAQbdcdfffdwnfkwg,-1,6
gLALQbbcefffdhroadx,-1,6
hLALPkbccffgggdmgduxxb,-1,7
hLALAkbcceefggdmgsfdak,-1,7
hLLzQkcdegegfgtwaplrjf,-1,7
hLAvQkbccefgfgtpkcmlrj,-1,7
hLALPkcbcfggfgpdvaeqhw,-1,7
hLLLQkcdffgegguwxxissk,-1,7
hLALPkaccfgfggjgnxaqav,-1,7
hLALMkacceffggjgnsaafn,-1,7
hLAzPkaccefgggjgnjaacv,-1,7
hLALMkacceffggjgnseecr,-1,7
hLAwAkbccdffggaurifkar,-1,7
hLLAPkbdedggfgtvagkbnf,1,7
hLLLQkadgfegfgjmigcbcs,1,7
hLLMPkbdedfgfghfafosrk,1,7
hLLAPkacedgfggjktmhuoc,-1,7
hLLAAkbdceffgghgrxugqn,-1,7
hLLwQkacdefgfgjkpgolkw,-1,7
hLLLQkadegefggnixvccns,-1,7
hLLAAkbecdefggearfichw,-1,7
hLLAMkaedeffggjapqcwpn,-1,7
hLLAPkceddfgfgtavkncjk,-1,7
hLLMAkbcdeffggaskulklw,-1,7
hLLMAkcdcfeeggtcchavqs,-2,7
hLLAMkbdedfgfgeslwxqgj,-2,7
hLLPAkbddeefggevstpnxn,-1,7
hLLAAkceddefgglavnekxn,-1,7
hLLAAkbecdefggaarfifhw,-1,7
hLLLQkbdfgeggfhghiewwr,-1,7
hLLAAkbddeefggasktxkxn,-1,7
hLLMAkaceefeggjktfonaw,-1,7
hLALAkacceefggbgfgrexk,-2,7
hLLMAkccdefeggajvllnhw,-1,7
hLALAkbcbeefggaakowahw,-1,7
hLALAkbcbeefgghhwrvhak,-1,7
hLLMAkacedffggjktnkbxw,-1,7
hLLAMkbddefgfgtvnlahnr,-1,7
hLLAMkacdefgfgnsxaaqrj,-1,7
hLLLQkbdgffefgtvqddwrs,-1,7
hLALPkbccffggglugaqexj,-1,7
hLALPkbccfggfgeikuuuio,-1,7
hLALAkbcceefgglugsrtan,-1,7
hLLPMkcdefffgguwuxxsfw,-1,7
hLAwAkbccdffggeikiscqj,-1,7
hLLPPkcdefefggtwaplscs,-1,7
hLALPkaccffgggngbaxhar,-1,7
hLAzAkacceffggngbkaxcw,-1,7
hLAvQkaccegfggngbnxxgb,-1,7
hLAzAkacceffggngbklxcj,-1,7
hLAwAkbccdffggapkmrwxk,-1,7
hLLAPkbdedffggtvagfnbn,-1,7
hLLLQkcddfeggglgfanoov,0,7
hLLAPkbdcegfgglvsqbvcr,1,7
hLLMAkccdfefggubjphwiw,-1,7
hLLLQkacdegfggjkwcfkos,-1,7
hLLPMkacedffggjkxwrkmn,1,7
hLvAQkafdfefggjhhbcnnn,-1,7
hLLAAkbecdefgglawvdkxk,-1,7
hLLLQkaeedfgggnaxrwrkn,-1,7
hLLMPkcbeeffgganxqxcvw,-1,7
hLLAPkacedfgggjkumuakk,-1,7
hLLAMkbdedfgfgdsqvpqgj,-2,7
hLLMMkbcdefgfgtbbquhcw,-2,7
hLLAAkbddeefggxvjxpghw,-1,7
hLLMAkbddeefgganrxunxk,-1,7
hLLAAkbecdefggaanfqjqj,-1,7
hLLAAkcdeefeggakhexpxk,-1,7
hLLLQkbdfegggfashxhwrr,-1,7
hLLMAkccdefeggtjvmdnaw,-1,7
hLALAkacceefggbgvgsthw,-2,7
hLLMAkccdefegganvldrqj,-1,7
hLALAkbcbeefggaarofhqj,-1,7
hLLPAkcdcfeegghcrhasar,-1,7
hLALMkacceffggnsnsddgw,-1,7
hLALPkbcbfgfgghxwpldav,-1,7
hLLAAkcbdeefggajkptcqj,-1,7
hLAMzkaccdefggngbaaxhw,-1,7
hLALPkbcbefgfghxwsqxwr,-1,7
hLLAPkbcdefgggdfbxjwfj,-1,7
hLLLQkbdeffgggxvdixfcf,-1,7
hLLMAkbddeefgghgkpmoqj,-1,7
hLLLQkadegfgfgnixffrnn,1,7
hLLLQkadeegfggnxxccbbr,-1,7
hLLMAkccdeffggajvqhgew,-1,7
hLLAPkbecdfgggeawsrfvj,-1,7
hLLAAkccedffgglnpnubqj,-1,7
hLLMAkccdeffggajviestj,-1,7
hLLLQkbcfgfgfgdfpahcrk,0,7
hLLLQkbddfggfgxjfxwvkr,-1,7
hLvAQkafdgegfgnhdncjrk,-1,7
hLLLQkccegegfgqfxuqfns,-1,7
hLLAAkbdeeffggevdpalun,1,7
hLLLQkcbgfefggpnddubcv,-1,7
hLLLQkbedeggfgxajmpvwj,-1,7
hLLLQkadegfgfgjaqkvwfr,-1,7
hLLAPkceddffgglavjorvw,-1,7
hLLLQkbdefefgglvietjok,-1,7
hLLMMkbcdeffggdfbmuslj,-1,7
hLLMAkacdeffggjbacvgak,-1,7
