id,oriented,tetrahedra
eLAkbbcdddhwhk,1,4
fLAMcaccdeejgnqqn,1,5
fLAMcaccdeengbaxr,1,5
fLLQcacedeenkimbj,1,5
fLAMcbbcdeedhgxhs,1,5
fLAPcbcceeedigvsn,-1,5
gLLAQacdeeffjkaiwar,1,6
gLAPPcbceeffudbjgxk,-1,6
gLLAQbceefefajhuxur,-1,6
gLLAQccedfefqfajqrn,-1,6
gLLQPacdedffjsxarxr,1,6
eLAkaccddjnjak,1,4
gLLAQaedeeffjaaekkk,-1,6
gLALQaccfeffngbebpa,-1,6
gLLAQbceeeffakqmmhj,-1,6
gLLAQccedfeflnxnajn,-1,6
gLALQbcbeeffhajowhw,-1,6
gLLAQbcedefftsaflsr,1,6
gLLAQccedeffqfifasj,-1,6
gLLAQacdeeffnkexnik,-1,6
gLvQQadfeeffnmqxjfs,-1,6
gLLAQbdedffflvaghfw,-1,6
gLLAQbdedfffdwpgabs,1,6
gLLAQcedcfffhavnhrj,-1,6
gLLAQaedefffnauqgkw,-1,6
gLLAQbdeefefdwuuxlk,-1,6
gLLAQaceefffnktxldl,-1,6
gLALQbbcefffhegnixe,-1,6
gLLPQcdcefffqsnalww,-1,6
gLAMPbbcdeffdhgaqhn,-1,6
gLALQbcbeeffxhjrjhn,-1,6
gLAMPaccdeffngbqhxj,1,6
gLLPQcdeffeflwapalk,-1,6
gLLAQceedeffaphkeqw,-1,6
gLLAQbdddfffhgkkkgv,-1,6
gLALQbbcefffheroahh,-1,6
hLLAAkbdedffgglvpgarlr,-1,7
hLLAAkbdedffgglvagiraj,1,7
hLLPMkacefefggjvxvcnaj,1,7
hLLMMkbcdeffggdfblurej,-1,7
hLLAMkcedefgfglhvahnjk,1,7
hLLAAkacdeefggnkdirqqj,1,7
hLLMAkbcdeffggdfbtufmw,-1,7
hLLAAkcedcffgghavntchj,-1,7
hLLMPkcbefefggajxmtcfr,-1,7
hLLAPkaedeffggnapqfwtw,-1,7
hLALPkbccfggfgdigampiw,-1,7
hLAPzkcbceefggudbknqaj,-1,7
hLLPAkcdeffegglwahtlar,-1,7
hLALPkbccegffgdigsmdnw,-1,7
hLALMkaccfefggjgnabqrn,-1,7
hLAvQkaccfgfggjgnamqlr,-1,7
hLAwAkcbcdffggaakhjchr,-1,7
hLLMMkbceeffggasdxawkk,-1,7
hLLMAkcdcfeeggtccqavxj,-2,7
hLLAMkbdedfgfgesdwxhgs,-2,7
hLLPAkbddeefggevstpvhn,-1,7
hLLAAkceddefgglavnechn,-1,7
hLLAAkbecdefggaarfisxr,-1,7
hLLLQkbdfegggfanhddcvk,-1,7
hLLAAkbddeefggasktxchn,-1,7
hLLAAkacedefggnktlraaj,-1,7
hLALAkacceefggbgfgrpqn,-2,7
hLLMAkccdefeggajvlmnxr,-1,7
hLALAkbcbeefggaakowxxr,-1,7
hLALAkbcbeefgghxjsbqaw,-1,7
hLLLQkaeedffggnliwrrss,1,7
hLLAMkbddefgfgtvnuaqnw,-1,7
hLLAMkacdefgfgnsxxaxrj,-1,7
hLLLQkcedffegglqfeengr,-1,7
fLLQcaddeeenidplc,0,5
fLLQcaddeeejmepxc,1,5
fLLQcacdedejbqasj,1,5
hLLLQkadgfegfgniagcbcs,-1,7
hLLAPkbdedggfglvagkkrf,-1,7
hLLLQkadegefggjmxvccss,-1,7
hLLAPkacedgfggnktmhpog,-1,7
hLLMPkbdedfgfghgafoskr,-1,7
hLLwQkacdefgfgnkpgoljc,-2,7
hLLwQkacdegffgnkdoucjg,-2,7
hLLAAkbecdefggaanfqfhs,-1,7
hLLLQkcbdgfgfganjxgvbv,-1,7
hLLAMkaedeffggnapqbwpr,-1,7
hLALPkbccffgggdigehxxc,-1,7
hLALAkbcceefggdigsndaj,-1,7
hLLzQkcdegegfglwaplvkf,-1,7
hLAwAkcbcdffgglegtkoxk,-1,7
hLALMkacceffggngbsaafr,-1,7
hLALPkaccfgfggngbxaeav,-1,7
hLAwAkbccdffggaasxfoan,-1,7
hLLMMkccdeffggajvhdsmr,-1,7
hLLAMkbdedfgfgdsxvphgj,-2,7
hLLMMkbcdefgfgtbbhuxcr,-2,7
hLLAAkbddeefggxvjxprxr,-1,7
hLLMAkbddeefgganrxucqn,-1,7
hLLAAkcdeefeggakhehpqn,-1,7
hLLLQkbdfgeggfajqhhvcn,-1,7
hLLMAkacefeeggnktbsras,-1,7
hLALAkacceefggbgvgsexr,-2,7
hLLMAkccdefegganvllrhs,-1,7
hLALAkbcbeefggaarofahj,-1,7
hLLPMkcdcfegfgarsqhxkj,-1,7
hLALPkaccegffgnsnsedbk,-2,7
hLALPkbcbffggghajttpln,-1,7
hLLAAkcbdeefggajkptkhs,-1,7
hLAMzkaccdefggngbaaaxr,-1,7
hLALPkcbbegffgaqnrqhnk,-1,7
hLLLQkbdggeffgdwttdjvg,1,7
hLLLQkbdegefggdwmpljog,1,7
hLvAQkaedfggfgjhakbjbc,-1,7
