id,oriented,tetrahedra
eLAkbbcdddhwhr,1,4
fLAMcaccdeejgnqqj,1,5
fLAMcaccdeengbaxk,1,5
fLLQcacedeejkimbj,1,5
fLAMcbbcdeedhgxhw,1,5
fLAPcbcceeedmgvsn,-1,5
gLLAQacdeeffjkaiwak,1,6
gLAPPbcceeffeikwvek,-1,6
gLLAQbceefefajhuxuk,-1,6
gLLAQccedfefqfajqrj,-1,6
gLLQPacdedffjsxarxk,1,6
eLAkaccddnnjak,1,4
gLLAQaedeeffjaaekkj,-1,6
gLALQaccfeffngbdble,-1,6
gLLAQbceeeffakqmmhw,-1,6
gLLAQccedfeflnxnann,-1,6
gLALQbcbeeffhawowhw,-1,6
gLLAQbcedefftsaflsk,1,6
gLLAQccedeffqfifasw,-1,6
gLLAQacdeeffjkexnik,-1,6
gLvQQadfeeffjmqxjfs,-1,6
gLLAQbdedffftvaghfw,-1,6
gLLAQbdedfffdwpgabk,0,6
gLLAQcedcfffhavrhrj,-1,6
gLLAQaedefffjauqgkw,-1,6
gLLAQbdeefefdwuuxlj,-1,6
gLLAQaceefffjktxldl,-1,6
gLALQbbcefffhegnixm,-1,6
gLLPQcdcefffqsjalww,-1,6
gLAMPbbcdeffdhgaqhr,-1,6
gLALQbcbeeffxhnrjhn,-1,6
gLAMPaccdeffngbqhxn,1,6
gLLPQcdeffeftwapalk,-1,6
gLLPQcdeffefuwuxxdr,-1,6
gLLAQceedeffaphkeqj,-1,6
gLLAQcceefffakxhxec,-1,6
gLLAQbdcdfffdwnfjog,-1,6
gLLAQccddfffqfrfsrj,-1,6
gLALQbbcefffheroahe,-1,6
hLLAAkbdedffggtvpgarlr,1,7
hLLAAkbdedffggtvagiraj,1,7
hLLPMkacefefggnvxvcnaj,1,7
hLLMMkbcdeffggdfbluren,-1,7
hLLAMkcedefgfglhvahnwk,1,7
hLLAAkacdeefggjkdirqqj,1,7
hLLMAkbcdeffggdfbtufmj,-1,7
hLLAAkcedcffgghavrtchj,-1,7
hLLMPkcbefefgganxmtcfr,-1,7
hLLAPkaedeffggjapqfwtw,-1,7
hLALPkbccfggfgdmgampiw,-1,7
hLAPzkbcceefggeiksoiaj,-1,7
hLLPAkcdeffegguwaxxian,-1,7
hLALPkbccefgfgtpkrmuks,-1,7
hLALPkbccffgggtpkpxqqo,-1,7
hLLPAkcdeffeggtwahtlar,-1,7
hLALMkaccfefggjgnabqrj,-1,7
hLAvQkaccfgfggjgnaxqhs,-1,7
hLALMkaccfefggjgnubqrn,-1,7
hLALPkaccefgggjgngqqfo,-1,7
hLAwAkcbcdffggaikhjchr,-1,7
hLLMMkbceeffggasdxawkr,-1,7
hLLMAkcdcfeeggtccqavxn,-2,7
hLLAMkbdedfgfgesdwxhgw,-2,7
hLLPAkbddeefggevstpvhr,-1,7
hLLAAkceddefgglavnechr,-1,7
hLLAAkbecdefggaarfisxk,-1,7
