target,source,label
fLAMcaccdeejgnqhr,eLAkbbcdddhwqj,Face: 8
fLAMcaccdeengbaqj,eLAkbbcdddhwqj,Face: 7
fLLQcacedeejkemsr,eLAkbbcdddhwqj,Face: 6
fLAMcbbcdeedhgxxn,eLAkbbcdddhwqj,Face: 5
fLAPcbcceeedmgsnf,eLAkbbcdddhwqj,Face: 3
gLLAQacdeeffjkaiwhs,fLAMcaccdeejgnqhr,Face: 10
gLAPPbcceeffeikvois,fLAMcaccdeejgnqhr,Face: 9
gLLAQbceefefajhuquj,fLAMcaccdeejgnqhr,Face: 5
gLLAQccedfefqfajhrr,fLAMcaccdeejgnqhr,Face: 4
gLLQPacdedffjsxarqj,fLAMcaccdeejgnqhr,Face: 3
eLAkaccddnsnqw,fLAMcaccdeengbaqj,Edge: 9
gLLAQaedeeffjaaeknr,fLAMcaccdeengbaqj,Face: 10
gLALQaccfeffngbpbmq,fLAMcaccdeengbaqj,Face: 9
gLLAQbceeeffakqmmxn,fLAMcaccdeengbaqj,Face: 5
gLLAQccedfeflnhnawn,fLAMcaccdeengbaqj,Face: 2
gLALQbcbeeffxanowhw,fLAMcaccdeengbaqj,Face: 1
gLLAQbcedefftsafloj,fLLQcacedeejkemsr,Face: 10
gLLAQccedeffqfifajn,fLLQcacedeejkemsr,Face: 9
gLLAQacdeeffjkairqj,fLLQcacedeejkemsr,Face: 8
gLvQQadfeeffjaqtwwb,fLLQcacedeejkemsr,Face: 7
gLLAQbdedfffejdgasb,fLLQcacedeejkemsr,Face: 5
gLLAQbdedffftvagxrj,fLLQcacedeejkemsr,Face: 4
gLLAQcedcfffhavrqsb,fLLQcacedeejkemsr,Face: 3
gLLAQcedeeffalvuhxn,fLLQcacedeejkemsr,Face: 2
gLLAQaedefffjaaqrjw,fLLQcacedeejkemsr,Face: 1
gLLAQacddfffjkamuax,fLAMcbbcdeedhgxxn,Face: 10
gLALQbbcefffhegndid,fLAMcbbcdeedhgxxn,Face: 9
gLLPQcdcefffhsralww,fLAMcbbcdeedhgxxn,Face: 5
gLAMPbbcdeffdhgaqqj,fLAMcbbcdeedhgxxn,Face: 3
gLALQbcbeeffhhwrjhn,fLAMcbbcdeedhgxxn,Face: 2
gLAMPaccdeffngbqhhw,fLAMcbbcdeedhgxxn,Face: 1
gLAPPbcceeffeikvois,fLAPcbcceeedmgsnf,Face: 10
gLALQaccfeffngbpbmq,fLAPcbcceeedmgsnf,Face: 9
gLLPQcdeffefuwaxxun,fLAPcbcceeedmgsnf,Face: 8
gLALQbbcefffhegndid,fLAPcbcceeedmgsnf,Face: 7
gLLPQcdeffeftwahhlw,fLAPcbcceeedmgsnf,Face: 6
gLLAQcceefffakxhqlf,fLAPcbcceeedmgsnf,Face: 5
gLLAQceedeffalxkxqj,fLAPcbcceeedmgsnf,Face: 4
gLLAQbdcdfffdwnfgwo,fLAPcbcceeedmgsnf,Face: 3
gLLAQccddfffqfrfwsr,fLAPcbcceeedmgsnf,Face: 2
gLALQbbcefffheroadx,fLAPcbcceeedmgsnf,Face: 1
hLLAAkbdedffggtvagpken,gLLAQacdeeffjkaiwhs,Face: 11
hLLAMkbdedffggtvegakek,gLLAQacdeeffjkaiwhs,Face: 10
hLLPMkaceeffggnrxwrrqj,gLLAQacdeeffjkaiwhs,Face: 9
hLLMMkacefegggjktrcidi,gLLAQacdeeffjkaiwhs,Face: 8
hLLAMkcedefgfglhvaxnkk,gLLAQacdeeffjkaiwhs,Face: 7
hLLAAkacdeefggjkedouxk,gLLAQacdeeffjkaiwhs,Face: 6
