id,oriented,tetrahedra
eLAkbbcdddhwqj,1,4
fLAMcaccdeejgnqhr,-1,5
fLAMcaccdeengbaqj,1,5
fLLQcacedeejkemsr,1,5
fLAMcbbcdeedhgxxn,-1,5
fLAPcbcceeedmgsnf,-1,5
gLLAQacdeeffjkaiwhs,-1,6
gLAPPbcceeffeikvois,-1,6
gLLAQbceefefajhuquj,-1,6
gLLAQccedfefqfajhrr,-1,6
gLLQPacdedffjsxarqj,-1,6
eLAkaccddnsnqw,1,4
gLLAQaedeeffjaaeknr,-1,6
gLALQaccfeffngbpbmq,-1,6
gLLAQbceeeffakqmmxn,-1,6
gLLAQccedfeflnhnawn,-1,6
gLALQbcbeeffxanowhw,-1,6
gLLAQbcedefftsafloj,1,6
gLLAQccedeffqfifajn,-1,6
gLLAQacdeeffjkairqj,1,6
gLvQQadfeeffjaqtwwb,-1,6
gLLAQbdedfffejdgasb,-1,6
gLLAQbdedffftvagxrj,-1,6
gLLAQcedcfffhavrqsb,-1,6
gLLAQcedeeffalvuhxn,-1,6
gLLAQaedefffjaaqrjw,-1,6
gLLAQacddfffjkamuax,-1,6
gLALQbbcefffhegndid,-1,6
gLLPQcdcefffhsralww,-1,6
gLAMPbbcdeffdhgaqqj,-1,6
gLALQbcbeeffhhwrjhn,-1,6
gLAMPaccdeffngbqhhw,-1,6
gLLPQcdeffefuwaxxun,-1,6
gLLPQcdeffeftwahhlw,-1,6
gLLAQcceefffakxhqlf,-1,6
gLLAQceedeffalxkxqj,-1,6
gLLAQbdcdfffdwnfgwo,-1,6
gLLAQccddfffqfrfwsr,-1,6
gLALQbbcefffheroadx,-1,6
hLLAAkbdedffggtvagpken,-1,7
hLLAMkbdedffggtvegakek,-1,7
hLLPMkaceeffggnrxwrrqj,-1,7
hLLMMkacefegggjktrcidi,-1,7
hLLAMkcedefgfglhvaxnkk,-1,7
hLLAAkacdeefggjkedouxk,-1,7
hLLMAkbcdeffggdfbtufun,-1,7
hLLAAkcedcffgghavrprlr,-1,7
hLLAMkaedeffggjauqjwls,-1,7
hLLPMkaddeffggjaqdfwmj,-1,7
hLALPkbccfggfgdmguiiev,-1,7
hLAPzkbcceefggeikwbean,-1,7
hLLPAkcdeffeggtwadilpj,-1,7
hLALPkbccefgfgtpkflmjr,-1,7
hLALPkbccffgggtpkaqamr,-1,7
hLLPAkcdeffegguwpxxtir,-1,7
hLALPkaccfgfggjgnahqaw,-1,7
hLALAkacceffggjgnsaqor,-1,7
hLALAkacceffggjgnstqon,-1,7
hLAvQkaccegfggjgnjqqgb,-1,7
hLAwAkcbcdffggaikhcrqj,-1,7
hLLMMkbceeffggasdxawnj,-1,7
hLLMAkcdcfeeggtccqavhw,-2,7
hLLAMkbdedfgfgesdwxxgn,-2,7
hLLPAkbddeefggevstpvqj,-1,7
hLLAAkceddefgglavnecqj,-1,7
hLLAAkbecdefggaarfisqs,-1,7
hLLLQkbdfegggfanqddcvj,-1,7
hLLAAkbddeefggasktxcqj,-1,7
hLLPAkcdcfefggaswadrpw,-1,7
hLALAkacceefggbgfgrphr,-2,7
hLLMAkccdefeggajvlmnqs,-1,7
hLALAkbcbeefggaakowxqs,-1,7
hLALAkbcbeefggxxnsbqaw,-1,7
hLLLQkaeedffggnliwrrjk,-1,7
hLLAMkbddefgfgtvnuaxnk,-1,7
hLLAMkacdefgfgnsxxahrw,-1,7
hLLLQkcedffegglhfeergr,-1,7
fLLQcacdeeenkdlcg,1,5
fLLQcadedeejmelds,1,5
fLLQcacdedensxanj,-1,5
hLLAPkbdedffggtvagkkfn,-1,7
hLLLQkaeeffgggnadgfvkg,-1,7
hLLLQkadeefgggnuxvcrss,-1,7
hLLAPkacedgfggjktmtqvo,-1,7
hLLMPkbdedfgfghgafookj,-1,7
hLLPMkacedffggjkprwkmo,-2,7
hLLPMkacedffggjkdrckqc,-2,7
hLLAAkbecdefggaanfqfxn,-1,7
hLLLQkaeedfgggnaxwrrof,-1,7
hLLMMkcbefefgganxhdcbk,-1,7
hLALPkbccfggfgeikatmun,-1,7
hLALPkbccffggglugdhqqf,-1,7
hLALAkbcceefgglugnseak,-1,7
hLLPMkcdefffgguwpxxjwr,-1,7
hLAwAkbccdffgglugtkoxk,-1,7
hLLPPkcdefefggtwadljwj,-1,7
hLALPkaccffgggngbqhaao,-1,7
hLAzMkacceffggngbkaavj,-1,7
hLAzMkacceffggngbkuuow,-1,7
hLALPkaccefgggngbnaaof,-1,7
hLAwAkbccdffggapkmfoan,-1,7
hLLMMkccdeffggajvhdsus,-1,7
hLLAMkbdedfgfgdsxvpxgn,-2,7
hLLMMkbcdefgfgtbbhuqcs,-2,7
hLLAAkbddeefggxvjxprqj,-1,7
hLLMAkbddeefgganrxuchr,-1,7
hLLAAkcdeefeggakhehphr,-1,7
hLLLQkbdfgeggfajhhhvcr,-1,7
hLLMAkccdefegglnvmlnar,-1,7
hLALAkacceefggbgvgseqs,-2,7
hLLMAkccdefegganvllrxn,-1,7
hLALAkbcbeefggaarofaxn,-1,7
hLLPMkcdcfegfgarsqhhkw,-1,7
hLALPkaccegffgnsnspmjv,-2,7
hLALPkbcbffgggxanttpln,-1,7
hLLAAkcbdeefggajkptkxn,-1,7
hLAMzkaccdefggngbaaaqj,-1,7
hLALPkcbbegffgahrrqhnk,-1,7
hLLMMkbceefgggdftmabsr,1,7
hLLAPkceddgfggtqvngsbf,-1,7
hLvAQkafegefggnqhrcrjn,-1,7
hLLAMkbddeffggdwnhagtw,-1,7
