id,oriented,tetrahedra
eLAkbbcdddhwqn,1,4
fLAMcaccdeejgnqhn,-1,5
fLAMcaccdeengbaqw,1,5
fLLQcacedeenkemsr,1,5
fLAMcbbcdeedhgxxj,-1,5
fLAPcbcceeedigsnf,-1,5
gLLAQacdeeffjkaiwhw,-1,6
gLAPPcbceeffudbgnqs,-1,6
gLLAQbceefefajhuquw,-1,6
gLLAQccedfefqfajhrn,-1,6
gLLQPacdedffjsxarqw,-1,6
eLAkaccddnsnqj,1,4
gLLAQaedeeffjaaeknn,-1,6
gLALQaccfeffngbpbpq,-1,6
gLLAQbceeeffakqmmxj,-1,6
gLLAQccedfeflnhnasn,-1,6
gLALQbcbeeffxajowhw,-1,6
gLLAQbcedefftsaflow,1,6
gLLAQccedeffqfifajj,-1,6
gLLAQacdeeffnkairqj,1,6
gLvQQadfeeffjamxrrb,-1,6
gLLAQbdedfffejdgask,-1,6
gLLAQbdedffflvagxrj,-1,6
gLLAQcedcfffhavnqsb,-1,6
gLLAQcedeeffalvuhxr,-1,6
gLLAQaedefffnaaqrjw,-1,6
gLLAQacddfffnkamuax,-1,6
gLALQbbcefffhegneqe,-1,6
gLLPQcdcefffhsnalww,-1,6
gLAMPbbcdeffdhgaqqn,-1,6
gLALQbcbeeffhhjrjhn,-1,6
gLAMPaccdeffngbqhhj,-1,6
gLLPQcdeffeflwahhlw,-1,6
gLLAQbdddfffhgkkgvr,-1,6
gLLAQceedeffalxkxqw,-1,6
gLALQbbcefffheroaxx,-1,6
hLLAAkbdedffgglvagpken,-1,7
hLLAMkbdedffgglvegakek,-1,7
hLLPMkaceeffggjrxwrrqj,-1,7
hLLMMkacefegggnktrcidi,-1,7
hLLAMkcedefgfglhvaxnjk,-1,7
hLLAAkacdeefggnkedouxk,-1,7
hLLMAkbcdeffggdfbtufur,-1,7
hLLAAkcedcffgghavnprlr,-1,7
hLLAMkaedeffggnauqjwls,-1,7
hLLPMkaddeffggnaqdfwmj,-1,7
hLALPkbccfggfgdiguiiev,-1,7
hLAPzkcbceefggudbjsxan,-1,7
hLLPAkcdeffegglwadilpj,-1,7
hLALPkbccegffgdignumjn,-1,7
hLALPkaccfgfggjgnaeqtj,-1,7
hLALAkacceffggjgnsaqon,-1,7
hLAwAkcbcdffggaakhcrqj,-1,7
hLLMMkbceeffggasdxawnk,-1,7
hLLMAkcdcfeeggtccqavhs,-2,7
hLLAMkbdedfgfgesdwxxgj,-2,7
hLLPAkbddeefggevstpvqn,-1,7
hLLAAkceddefgglavnecqn,-1,7
hLLAAkbecdefggaarfisqw,-1,7
hLLLQkbdfegggfanqddcvn,-1,7
hLLAAkbddeefggasktxcqn,-1,7
hLLPAkcdcfefggaswadrps,-1,7
hLALAkacceefggbgfgrphn,-2,7
hLLMAkccdefeggajvlmnqw,-1,7
hLALAkbcbeefggaakowxqw,-1,7
hLALAkbcbeefggxxjsbqaw,-1,7
hLLLQkaeedffggnliwrrjj,-1,7
hLLAMkbddefgfgtvnuaxnr,-1,7
hLLAMkacdefgfgnsxxahrs,-1,7
hLLLQkcedffegglhfeengr,-1,7
fLLQcacdeeenkdlco,0,5
fLLQcadedeejulpxv,1,5
fLLQcacdedensxank,-1,5
hLLAPkbdedffgglvagkkfn,-1,7
hLLLQkaeeffgggnadgvvkg,-1,7
hLLLQkadeefgggjuxvcrss,-1,7
hLLAPkacedgfggnktmtqvo,-1,7
hLLMPkbdedfgfghgafookw,-1,7
hLLPMkacedffggnkprwkmo,-2,7
hLLPMkacedffggnkdrckqc,-2,7
hLLAAkbecdefggaanfqfxj,-1,7
hLLLQkaeedfgggjaxwrrof,-1,7
hLLMMkcbefefggajxhdcbk,-1,7
hLALPkbccffgggtugdhqqf,-1,7
hLALAkbcceefggtugnseak,-1,7
hLLPPkcdefefgglwadljwj,-1,7
hLAwAkbccdffggtugtkoxk,-1,7
hLALPkaccffgggngbqlaao,-1,7
hLAzMkacceffggngbkaavw,-1,7
hLAwAkbccdffggaajhfoan,-1,7
hLLMMkccdeffggajvhdsuw,-1,7
hLLAMkbdedfgfgdsxvpxgj,-2,7
hLLMMkbcdefgfgtbbhuqcw,-2,7
hLLAAkbddeefggxvjxprqw,-1,7
hLLMAkbddeefgganrxuchk,-1,7
hLLAAkcdeefeggakhehphn,-1,7
hLLLQkbdfgeggfajhhhvck,-1,7
hLLMAkccdefegglnvmljar,-1,7
hLALAkacceefggbgvgseqw,-2,7
hLLMAkccdefegganvllrxj,-1,7
hLALAkbcbeefggaarofaxj,-1,7
hLLPMkcdcfegfgarsqhhkj,-1,7
hLALPkaccegffgnsnspmwv,-2,7
hLALPkbcbffgggxajttpln,-1,7
hLLAAkcbdeefggajkptkxj,-1,7
hLAMzkaccdefggngbaaaqw,-1,7
hLALPkcbbegffgahkrqhnk,-1,7
hLLMMkbceefgggebhtacsr,1,7
hLLAPkceddgfggtqvngscf,-1,7
hLvAQkafegefggjqhrcrjn,-1,7
hLLAMkbddeffggdwnhagtj,-1,7
hLLAAkbcedffggtsafhgpn,1,7
hLLAPkacdegfggjrhxaafo,-1,7
hLLLQkcdfgfeggakqdurwn,-1,7
hLLAMkbedeffggtaolhnrw,-1,7
hLLAAkccdeffgglnvqawdj,-1,7
hLLLQkbdffegggtvqqtkgo,-1,7
hLLAPkbcdefgggebbiffcv,-1,7
hLLLQkccegegfgqfdalsjo,-1,7
hLLLQkceffgefgpaeaudrj,-1,7
hLLMAkccdeffggajvedgpj,-1,7
hLLAPkbecdfggglassvckw,-1,7
hLLAAkccedffggtnanuvdj,-1,7
hLLMAkbcdeffggebbpukqj,-1,7
hLLMAkbcdeffggebbhuwpr,-1,7
hLvQAkcdcfefgghvnhtwmw,-1,7
hLLMAkacdeffggnbacvjaj,-1,7
hLLAAkaddeffggnhadvjuj,-1,7
hLLMAkacdeffggjkacvkqj,1,7
hLLMPkacdeffggjkacbwmr,1,7
hLLQzkacedefggnkemshar,-1,7
hLLLQkbdeggfgftvemmgon,-1,7
hLLLQkbdegggfflvxppkkk,-1,7
hLLLQkbcfeggfgebpltgbv,-1,7
hLLLQkbcfgegfgebppenfv,-1,7
hLLLQkadefggfgjixgbock,-1,7
hLwLQkacfgefggngfvbknb,-1,7
hLLAMkcdeeffgglfuapvsj,-1,7
hLvAQkaefefgggjlmvvjjr,-1,7
hLLLQkacfeggfgnkgckcsw,-1,7
hLvAQkafefegggjpdjcbjf,-1,7
hLLLQkcdfgfeggachmuwrk,-1,7
hLLAMkcdeeffggtgappbfr,-1,7
hLLwQkaedfgfggnaaorkjw,-1,7
hvLAQkcdegfgfgffohidmf,-1,7
hLLLQkcdfeggfgtspqlgfb,-1,7
hLLLQkbddgfgfgekfusvwo,-1,7
hLLLQkbdfegfggtvmdmrrk,-1,7
hLvAQkcdefgfggtjaqxcvn,-1,7
hLLAPkccdefgggakvhogfw,-1,7
hLLLQkbddfggfgarfpsrwo,-1,7
hLLAAkbcdeffgglbbxajmk,-1,7
