target,source,label
fLLQcacdeeejkexbn,eLAkbccddhhnxk,Face: 8
fLLQcadedeejillxs,eLAkbccddhhnxk,Face: 6
fLLQcbcdeeeebbqmd,eLAkbccddhhnxk,Face: 4
fLAMcbccdeemejmxr,eLAkbccddhhnxk,Face: 3
gLLMQbcdefffdfbhisb,fLLQcacdeeejkexbn,Face: 10
gLLQPcdcdefftgrfmqj,fLLQcacdeeejkexbn,Face: 9
gLLAQccdeeffqgvuqcn,fLLQcacdeeejkexbn,Face: 8
gLLAQccdeeffifveuks,fLLQcacdeeejkexbn,Face: 7
gLLAQbdedfffdoarxfv,fLLQcacdeeejkexbn,Face: 5
gLLAQadedfffjxihgjj,fLLQcacdeeejkexbn,Face: 4
gLLAQccedeffqfakdnk,fLLQcacdeeejkexbn,Face: 3
gLLAQacedeffjktlrqk,fLLQcacdeeejkexbn,Face: 2
gLLAQbcedeffasxfasj,fLLQcacdeeejkexbn,Face: 1
gLLMQbcdeffflsbhtsr,fLLQcadedeejillxs,Face: 10
gLLMQacdfeffjbxccjb,fLLQcadedeejillxs,Face: 9
gLLAQccedeffqgifqsj,fLLQcadedeejillxs,Face: 8
gLLAQaddeeffjidpcoj,fLLQcadedeejillxs,Face: 7
gLLAQbdedffftvarxok,fLLQcadedeejillxs,Face: 5
gLLAQbcedeffajhfajj,fLLQcadedeejillxs,Face: 4
gLLAQceddeffahvklcw,fLLQcadedeejillxs,Face: 3
gLLAQbdcefffhgsqajb,fLLQcadedeejillxs,Face: 2
gLLAQaddeeffnmepcok,fLLQcadedeejillxs,Face: 1
gLLMQbcdefffdfbhisb,fLLQcbcdeeeebbqmd,Face: 10
gvLQQcdefeffbcrpfmd,fLLQcbcdeeeebbqmd,Face: 9
gLLMQbcdeffflsbhtsr,fLLQcbcdeeeebbqmd,Face: 8
gLLPQcdefefflfmdxdc,fLLQcbcdeeeebbqmd,Face: 7
gLLAQbdedfffevdsloj,fLLQcbcdeeeebbqmd,Face: 6
gvLQQcdefeffjoftjeq,fLLQcbcdeeeebbqmd,Face: 5
gLLAQccdefffakvhqnc,fLLQcbcdeeeebbqmd,Face: 4
gLLAQbddefffxsjeekk,fLLQcbcdeeeebbqmd,Face: 3
gLLAQccedeffhfandkn,fLLQcbcdeeeebbqmd,Face: 2
gLLMQbceffefxouummg,fLLQcbcdeeeebbqmd,Face: 1
gLLPQcdcfeffqsnalrf,fLAMcbccdeemejmxr,Face: 10
gLLPQcdcfeffhgnairf,fLAMcbccdeemejmxr,Face: 8
gLALQbccefffdiggtqu,fLAMcbccdeemejmxr,Face: 5
gLLAQacedfffnkhmauq,fLAMcbccdeemejmxr,Face: 3
gLALQbcbefffhajohqx,fLAMcbccdeemejmxr,Face: 2
fLLQcbcdeeeebbqmd,gLLMQbcdefffdfbhisb,Edge: 12
hLLLQkcedgffggtafiukof,gLLMQbcdefffdfbhisb,Face: 12
hLLLQkbdffeggglvhptffg,gLLMQbcdefffdfbhisb,Face: 11
hLLAMkbdedffggtvxgafqk,gLLMQbcdefffdfbhisb,Face: 10
hLLLQkceffegggluqaqlsn,gLLMQbcdefffdfbhisb,Face: 9
hLLMMkbceefgggasxdabfc,gLLMQbcdefffdfbhisb,Face: 8
hvLAQkcdfgefggbraabxmn,gLLMQbcdefffdfbhisb,Face: 7
hLLAMkbdedfgggdwasliih,gLLMQbcdefffdfbhisb,Face: 6
hLvAQkbefegfggdadqiuvo,gLLMQbcdefffdfbhisb,Face: 5
hLLLQkbddfggfgajfpgkkr,gLLMQbcdefffdfbhisb,Face: 4
hLLAPkccdegfggawvhcrbn,gLLMQbcdefffdfbhisb,Face: 3
hLLAAkbcdeffgglskuawmj,gLLMQbcdefffdfbhisb,Face: 2
hLLAPkbddefgggxvrxnbsg,gLLMQbcdefffdfbhisb,Face: 1
fLLQccecddehhrwwr,gLLQPcdcdefftgrfmqj,Edge: 8
hLALPkbccefgggtpkktlbo,gLLQPcdcdefftgrfmqj,Face: 11
hLALPkbccefgggtpkkqlsn,gLLQPcdcdefftgrfmqj,Face: 10
hLvPQkccgeffgghraxxbfs,gLLQPcdcdefftgrfmqj,Face: 9
hLLAAkbddeefgghgcuevqj,gLLQPcdcdefftgrfmqj,Face: 8
hLLAAkcedcffgghavrhrdj,gLLQPcdcdefftgrfmqj,Face: 7
hLLAAkccdeefggawveivqs,gLLQPcdcdefftgrfmqj,Face: 6
hLLAAkccdeefggakvhqvxk,gLLQPcdcdefftgrfmqj,Face: 5
hLLAAkbcdeefgghfreeohw,gLLQPcdcdefftgrfmqj,Face: 4
hLLMMkcddeffggaskmqjqw,gLLQPcdcdefftgrfmqj,Face: 3
hLALPkbcbegfgghawodxwf,gLLQPcdcdefftgrfmqj,Face: 2
hLLLQkbdegggfflvummvfj,gLLQPcdcdefftgrfmqj,Face: 1
hLLAPkbddegfgghoruorfv,gLLAQccdeeffqgvuqcn,Face: 11
hLLMMkbceefgggdfapxvgr,gLLAQccdeeffqgvuqcn,Face: 10
hLvAQkadfeggfgnmqkjjbw,gLLAQccdeeffqgvuqcn,Face: 9
hLLMAkbdedffggpfaflodr,gLLAQccdeeffqgvuqcn,Face: 8
hLLAAkcddeffgglrvatrhr,gLLAQccdeeffqgvuqcn,Face: 7
hLLAPkacdefgggnkdxapkb,gLLAQccdeeffqgvuqcn,Face: 6
hLLAAkccdeefgghkvaqkhk,gLLAQccdeeffqgvuqcn,Face: 5
hLLAMkbeedffgghqukaonj,gLLAQccdeeffqgvuqcn,Face: 4
