id,oriented,tetrahedra
eLAkbccddhhnxk,1,4
fLLQcacdeeejkexbn,0,5
fLLQcadedeejillxs,0,5
fLLQcbcdeeeebbqmd,0,5
fLAMcbccdeemejmxr,-1,5
gLLMQbcdefffdfbhisb,0,6
gLLQPcdcdefftgrfmqj,0,6
gLLAQccdeeffqgvuqcn,-1,6
gLLAQccdeeffifveuks,-1,6
gLLAQbdedfffdoarxfv,-1,6
gLLAQadedfffjxihgjj,-1,6
gLLAQccedeffqfakdnk,-1,6
gLLAQacedeffjktlrqk,-1,6
gLLAQbcedeffasxfasj,0,6
gLLMQbcdeffflsbhtsr,0,6
gLLMQacdfeffjbxccjb,-1,6
gLLAQccedeffqgifqsj,0,6
gLLAQaddeeffjidpcoj,0,6
gLLAQbdedffftvarxok,0,6
gLLAQbcedeffajhfajj,0,6
gLLAQceddeffahvklcw,-1,6
gLLAQbdcefffhgsqajb,-1,6
gLLAQaddeeffnmepcok,-1,6
gvLQQcdefeffbcrpfmd,-1,6
gLLPQcdefefflfmdxdc,0,6
gLLAQbdedfffevdsloj,0,6
gvLQQcdefeffjoftjeq,-1,6
gLLAQccdefffakvhqnc,0,6
gLLAQbddefffxsjeekk,-1,6
gLLAQccedeffhfandkn,-1,6
gLLMQbceffefxouummg,-1,6
gLLPQcdcfeffqsnalrf,-1,6
gLLPQcdcfeffhgnairf,-1,6
gLALQbccefffdiggtqu,-1,6
gLLAQacedfffnkhmauq,-1,6
gLALQbcbefffhajohqx,-1,6
hLLLQkcedgffggtafiukof,-1,7
hLLLQkbdffeggglvhptffg,-1,7
hLLAMkbdedffggtvxgafqk,-1,7
hLLLQkceffegggluqaqlsn,-1,7
hLLMMkbceefgggasxdabfc,0,7
hvLAQkcdfgefggbraabxmn,-1,7
hLLAMkbdedfgggdwasliih,-1,7
hLvAQkbefegfggdadqiuvo,-1,7
hLLLQkbddfggfgajfpgkkr,0,7
hLLAPkccdegfggawvhcrbn,-1,7
hLLAAkbcdeffgglskuawmj,-1,7
hLLAPkbddefgggxvrxnbsg,-1,7
fLLQccecddehhrwwr,1,5
hLALPkbccefgggtpkktlbo,-1,7
hLALPkbccefgggtpkkqlsn,-1,7
hLvPQkccgeffgghraxxbfs,-1,7
hLLAAkbddeefgghgcuevqj,-1,7
hLLAAkcedcffgghavrhrdj,-1,7
hLLAAkccdeefggawveivqs,-1,7
hLLAAkccdeefggakvhqvxk,0,7
hLLAAkbcdeefgghfreeohw,-1,7
hLLMMkcddeffggaskmqjqw,-1,7
hLALPkbcbegfgghawodxwf,-1,7
hLLLQkbdegggfflvummvfj,-1,7
hLLAPkbddegfgghoruorfv,-1,7
hLLMMkbceefgggdfapxvgr,-1,7
hLvAQkadfeggfgnmqkjjbw,-1,7
hLLMAkbdedffggpfaflodr,-1,7
hLLAAkcddeffgglrvatrhr,-1,7
hLLAPkacdefgggnkdxapkb,-1,7
hLLAAkccdeefgghkvaqkhk,-1,7
hLLAMkbeedffgghqukaonj,-1,7
hLLPMkcdfeffggakeaarwk,-1,7
hLLAAkccdeffggugvxajdw,-1,7
hLLLQkbedeffggaxftxnsw,-1,7
hLLAPkcddefgggugvlnvnf,-1,7
hLLPAkccdfefggiffaaohw,-1,7
hLvAQkadfefgggndqcbjjw,-1,7
hLLPAkccdfefggdwgaxrhj,-1,7
hLLAAkbcedffggtkafajij,-1,7
hLLAPkacdefgggjbxaxafw,-1,7
hLLAMkbeedffggmadwaskr,-1,7
hLLAMkbdedfgggdwasllua,-1,7
hLvAQkbefegfggdadquusg,-1,7
hLLLQkcdfeggfgukqqujfw,-1,7
hLLAPkbcdefgggdfbebvbw,-1,7
hLLAAkbdedffggtvaghfdj,-1,7
hvLAQkcdfgefggbraqbxaw,-1,7
hLLAAkbcedffggtkarajmj,-1,7
hLLLQkbddfggfgajfpscks,-1,7
hLLAPkbddefgggxvrxfbfk,-1,7
hLLAPkccdegfggawvhcosc,-1,7
hLLAMkbdeeffggevhhafnj,-1,7
hLLAPkbdcefgggevsujvgg,-1,7
hLLAMkcdeefgggqvaldork,-1,7
hLLPMkaddeffggjxhmnomb,-2,7
hLLMMkcbeeffggqnhqxcvv,-2,7
hLLAAkccdeffggtnnqhomw,-1,7
hLLLQkaedfggfgjalnjkjr,-1,7
hLLAMkbeedffggaaesmwbw,-1,7
hLLAPkceddffgglavnjsvn,-1,7
hLLMAkbdefefggpsaapehn,-1,7
hLLLQkceffegfgapeamlcr,-1,7
hLLAPkbddefgfgxrrxrggr,-2,7
hLLMPkbdedfgfghvajoofn,-2,7
hLLMMkccdeffggajvlajqw,-1,7
hLLAPkbecdgfggaawsjrbj,-1,7
hLLAAkccedffgglnanpnmk,-1,7
hLLMAkccdeffggajvlprpw,-1,7
hLvQAkadfeefggjmqxjfak,-1,7
hLLAMkaedeffggjauqgwuk,-1,7
hLLMMkcbeeffgganxqxcnk,-1,7
hLLMAkacdeffggnkackgaw,-1,7
hLLAAkacdeefggjkexniaj,-1,7
hLLLQkcdegfggfasmqugjj,-1,7
hLLAMkbeedffggaaekawnj,0,7
hLLAAkbcdeefggasreejqw,-1,7
hLLPMkaceeffggnkxwbbag,-2,7
hLLzQkacefefggnkxjojxf,-2,7
hLLAAkbcedffgglsafanpr,-1,7
hLLLQkcddegfggtgfdbfgg,0,7
hLLMMkbcefegggajhlxksw,-1,7
hLvAQkbefegfggdaqmdmvn,-1,7
hLLAMkbdedfggglrasltth,0,7
hLLAPkcdedgfggpwaoobbr,-1,7
hLLAAkbddeffgglvkhefqr,-1,7
hvLAQkcedgfgfgfrfuihif,-1,7
hLvAQkbeffegggeeeaamvf,0,7
hLLAPkbdedfgggevlsfvbb,0,7
hLLAPkcddefgggprvqfrff,-1,7
hLLAAkbcdeffgglsbiabpr,-1,7
hLLLQkbdfegfggevhuikwg,-1,7
hLLLQkbddfgfggpwfpsfws,-1,7
hLvAQkcdeegggfavpllbjr,-1,7
hLLAPkacdegfggjbxxaafw,-1,7
hLLAMkbcedffggtkafawpk,-1,7
hLLAMkadedfgggjillntxx,-1,7
hLLLQkbdffegggtvqqtwnw,-1,7
hLLAPkbcdegfggebblfrcv,0,7
hLLMAkbdedffggpkafxolw,-1,7
hLLLQkadeegfggjxxcncfo,-1,7
hLLAPkbddegffgxvrisskn,-1,7
hLLLQkbdeeffggdoiipgss,-1,7
hLLAAkbddeefggxrrxqrqw,-1,7
hLLLQkadeefgggjixsbrss,-1,7
hLLAAkccedffggljinands,-1,7
hLLAPkbecdgfggeissgrkw,-1,7
hLLPAkbceeffggakmaaldw,-1,7
fLLQcacdedejsaajj,1,5
hLLAPkbdecfggglvangrsw,0,7
hLLLQkbdeeffgglviipgok,0,7
hLvQAkadefefggjahhcnxj,-1,7
hLLLQkcddegffghsgpwfrj,-1,7
hLMLPkacdefgfgngaknpkj,-1,7
hLLLQkadefefggnadnwokk,-1,7
hLLAPkccdegffgakvhvvnk,0,7
hLLLQkadffegggjiikcwwo,-1,7
hLLAPkaeddgfggjapdxcpa,-1,7
hLLAAkadedefggjillsfas,-1,7
hLvAQkbeffeggglaladmvj,0,7
hvLAQkcedgffggfsfhxxaf,0,7
hLLAPkccdegfggqgvhwobc,-1,7
hLLLQkcdfeggfgtkqqxnwn,-1,7
hLLAMkbdedfgggtjaslllq,-1,7
hLLAAkbcdeffggtkbmabpk,-1,7
hLLAPkcddefgggukblnbff,-1,7
hLLAPkbdedgfggdoagjkbw,-1,7
hLLAPkbdedfgggdvxwckff,-1,7
hLLAAkbcdeefggajgeejxr,-1,7
hLLAMkadedfgggnmllnapp,0,7
hLLMMkacdeffggnkxwggab,-2,7
hLLMAkacdeffggnkxfssxo,-2,7
hLLAMkbcedffgglsafanpr,-1,7
hLLLQkaeegefggnadgwoko,-1,7
hLLAPkaedefgggnamqjlim,-1,7
hLLAPkcddeffgglrvarrsw,-1,7
hLLLQkcddfefggqfwaofsw,-2,7
hLLLQkadeeffggjxxjooof,-2,7
hLLAAkbcedffgglsxjhcir,-1,7
hLvAQkbefgfefgadiliafr,-1,7
hLLAPkceddggfgtavjjjrk,-1,7
hLLAPkceddggfglavnfonc,-1,7
hLLMAkbcdfefggagkdpsqk,-1,7
hLLAMkbeedfgggeaigdork,-1,7
hLLMMkcbeeffggqnhqaccv,-2,7
hLLPMkaddeffggjxhmrrxb,-2,7
hLLLQkbddfegggdvftross,-1,7
hLLAMkbdcefgggevsuamee,-1,7
hLLAPkbecdgfggdawsjoko,-1,7
hLLLQkcefdgfggladrdrws,-1,7
hLLAPkccdegffgawvevvjj,-1,7
hLLAPkbdecfgggtvajjrjb,-1,7
hLLLQkadefefggjaxsjojj,-1,7
hLLMMkacdeffggnkackrqw,-1,7
hLLAAkadedefggnmllwfaw,-1,7
hLLAPkaeddgfggnauiecua,-1,7
hvLAQkcdfeggfgffafhplr,-1,7
hvLAQkcdfgefggwjltbeak,-1,7
hvLPQkcdefgfggfgradilj,-1,7
hvLPQkcdefggfgvgfahatn,-1,7
hvLAQkcedfggfgwscaehqw,-1,7
hvLAQkcdegffggformxdav,-1,7
hvLAQkcdefgfggffcxlxlj,-1,7
hLLLQkcdffegggagqalgvn,-1,7
hLLzQkcdegfgfgagximcsg,-1,7
hLLLQkcdefegggafellwnc,-1,7
hLLLQkceffgegglhdaaigb,-1,7
