target,source,label
fLLQcacdeeejkdicr,eLAkbccddhhsqs,Face: 8
fLLQcaddeeenpuplr,eLAkbccddhhsqs,Face: 6
fLLQcbeddeehtgkiu,eLAkbccddhhsqs,Face: 4
fLLQcacdeeenbaakn,eLAkbccddhhsqs,Face: 3
gLLMQbcdefffdfbttow,fLLQcacdeeejkdicr,Face: 10
gLLQPccddeffunnvuxn,fLLQcacdeeejkdicr,Face: 9
gLvQQaefdeffjhqhvwn,fLLQcacdeeejkdicr,Face: 8
gLLAQccdeeffhwvlucn,fLLQcacdeeejkdicr,Face: 7
gLLMQbcdefffdfblqgf,fLLQcacdeeejkdicr,Face: 5
gLLAQcedeeffhavxhqk,fLLQcacdeeejkdicr,Face: 4
gLLAQccedeffqfanqsn,fLLQcacdeeejkdicr,Face: 3
gLLAQacedeffjktakdk,fLLQcacdeeejkdicr,Face: 2
gLLAQbcedeffasxflok,fLLQcacdeeejkdicr,Face: 1
gLLMQbcefefflstmmeo,fLLQcaddeeenpuplr,Face: 10
gLLAQbcedefftjhftsw,fLLQcaddeeenpuplr,Face: 9
gLLAQaeddfffnlahggn,fLLQcaddeeenpuplr,Face: 8
gLLAQbdceefftvrmtrw,fLLQcaddeeenpuplr,Face: 7
gLLPQccdeffflnrmicf,fLLQcaddeeenpuplr,Face: 5
gLLAQbcedeffajhftor,fLLQcaddeeenpuplr,Face: 4
gLLAQceddeffahvkank,fLLQcaddeeenpuplr,Face: 3
gLLAQbdcefffhgnxanb,fLLQcaddeeenpuplr,Face: 2
gLLAQadedeffnplaofw,fLLQcaddeeenpuplr,Face: 1
gLLMQbcdefffdfbttow,fLLQcbeddeehtgkiu,Face: 10
gLLPQcdefefftspqalv,fLLQcbeddeehtgkiu,Face: 9
gLLMQbcefefflstmmeo,fLLQcbeddeehtgkiu,Face: 8
gLLMQbcdfefftsrdeoc,fLLQcbeddeehtgkiu,Face: 7
gLLAQbcdeeffdowxdfw,fLLQcbeddeehtgkiu,Face: 6
gLLAQbddefffxvjxlcf,fLLQcbeddeehtgkiu,Face: 5
gLLAQbecdfffainfxoj,fLLQcbeddeehtgkiu,Face: 4
gLLMQbdedfffarqfivn,fLLQcbeddeehtgkiu,Face: 3
gLLMQbddfeffxvrilcv,fLLQcbeddeehtgkiu,Face: 2
gLLMQbcdefffhvkqqkk,fLLQcbeddeehtgkiu,Face: 1
gLLAQbcdeefflsohhsr,fLLQcacdeeenbaakn,Face: 10
gLLAQbcedeffhvafpvr,fLLQcacdeeenbaakn,Face: 8
gLLMQbcdfeffebjeerw,fLLQcacdeeenbaakn,Face: 5
gLLMQbeedfefahxfxqj,fLLQcacdeeenbaakn,Face: 3
gLLMQbcefeefxouummj,fLLQcacdeeenbaakn,Face: 2
fLLQcbeddeehtgkiu,gLLMQbcdefffdfbttow,Edge: 12
hLLAPkbcedfgggajufnjrc,gLLMQbcdefffdfbttow,Face: 12
hLLAPkcddegfggacvpjkvs,gLLMQbcdefffdfbttow,Face: 11
hLLAAkbdedffggtvagirqk,gLLMQbcdefffdfbttow,Face: 10
hvLAQkcdfgefggorutbxag,gLLMQbcdefffdfbttow,Face: 9
hLLAPkcddefgggpgvqfvkk,gLLMQbcdefffdfbttow,Face: 8
hLvAQkbfefeggglhpahlwr,gLLMQbcdefffdfbttow,Face: 7
hLLAMkbdedfgggdweslteq,gLLMQbcdefffdfbttow,Face: 6
hLvAQkbeffegggexeaueok,gLLMQbcdefffdfbttow,Face: 5
hLLAAkbcedffgglsakabaj,gLLMQbcdefffdfbttow,Face: 4
hLLAPkccdegfggawvhfbkg,gLLMQbcdefffdfbttow,Face: 3
hLLAPkbddefgggevkpjskn,gLLMQbcdefffdfbttow,Face: 2
hLLLQkbddfggfgajfpbnsb,gLLMQbcdefffdfbttow,Face: 1
fLLQccecddelqccwj,gLLQPccddeffunnvuxn,Edge: 8
hLALPkbccefgggtpkkitnw,gLLQPccddeffunnvuxn,Face: 11
hLALPkbccefgggtpkkxqvo,gLLQPccddeffunnvuxn,Face: 10
hLvPQkccgeffgghraxxbwb,gLLQPccddeffunnvuxn,Face: 9
hLLAAkbddeefggxvrdhcqj,gLLQPccddeffunnvuxn,Face: 8
hLLAAkcedcffgghavrtcxw,gLLQPccddeffunnvuxn,Face: 7
hLLAAkbddeefgganrtuchr,gLLQPccddeffunnvuxn,Face: 6
hLLAAkccdeefggakvhuvqs,gLLQPccddeffunnvuxn,Face: 5
hLLAAkcedeefgghtvaehqj,gLLQPccddeffunnvuxn,Face: 4
hLLMMkcddeffggarsuhoej,gLLQPccddeffunnvuxn,Face: 3
hLALPkbcbegfgghawomenf,gLLQPccddeffunnvuxn,Face: 2
hLLLQkbdeggfgflvpmmgor,gLLQPccddeffunnvuxn,Face: 1
hLLLQkbcfgegfgdfpmdjbc,gLvQQaefdeffjhqhvwn,Face: 11
hLLLQkbcefgfggebheqkkc,gLvQQaefdeffjhqhvwn,Face: 10
hLvAQkadegffggjpmbffks,gLvQQaefdeffjhqhvwn,Face: 9
hLvAQkaefgefggntubrfjv,gLvQQaefdeffjhqhvwn,Face: 8
hLLAAkcedeffggplvauqhk,gLvQQaefdeffjhqhvwn,Face: 7
hLvAQkbeffgefgdahexpck,gLvQQaefdeffjhqhvwn,Face: 6
hLvAQkadfefgggnpujfjvv,gLvQQaefdeffjhqhvwn,Face: 5
hLLAMkcdeeffgglgpuiojn,gLvQQaefdeffjhqhvwn,Face: 4
hLvAQkadffegggnuijcjjv,gLvQQaefdeffjhqhvwn,Face: 3
hLLLQkaedfggfgjahrrkkf,gLvQQaefdeffjhqhvwn,Face: 2
hLLAMkcdeeffgglgapibfs,gLvQQaefdeffjhqhvwn,Face: 1
hLLAPkbddefggglvnlnvof,gLLAQccdeeffhwvlucn,Face: 11
hLLAPkacdegfggnsxxaako,gLLAQccdeeffhwvlucn,Face: 9
hLvAQkadfefgggnelcfjjn,gLLAQccdeeffhwvlucn,Face: 8
hLLAMkcddeffgghrvahfhw,gLLAQccdeeffhwvlucn,Face: 7
hLLAAkbcedffggtbafajpr,gLLAQccdeeffhwvlucn,Face: 6
hLLAPkacdefgggjsxaxafo,gLLAQccdeeffhwvlucn,Face: 5
hLLAMkbeedffggxadwasnj,gLLAQccdeeffhwvlucn,Face: 4
hLLAMkbdedfgggdwusllil,gLLMQbcdefffdfblqgf,Face: 12
hLvAQkbeffegggexeauacr,gLLMQbcdefffdfblqgf,Face: 11
hLLLQkbcefgfggebheqkkc,gLLMQbcdefffdfblqgf,Face: 10
hLLAPkbddefggglvnlnvof,gLLMQbcdefffdfblqgf,Face: 9
hvLAQkcedfgfggkvcxqhqv,gLLMQbcdefffdfblqgf,Face: 8
hLLAPkbcdegfggdfbegvwg,gLLMQbcdefffdfblqgf,Face: 7
hLLAAkbdedffggtvpgardj,gLLMQbcdefffdfblqgf,Face: 6
hLLLQkceffegggtuqalasn,gLLMQbcdefffdfblqgf,Face: 5
hLLAAkceddffggtasbmnhj,gLLMQbcdefffdfblqgf,Face: 4
hLLLQkbddffgggajfprcrf,gLLMQbcdefffdfblqgf,Face: 3
hLLAPkbddefgggxvrxovrf,gLLMQbcdefffdfblqgf,Face: 2
hLLAPkccdegfggawvhwjcr,gLLMQbcdefffdfblqgf,Face: 1
hLLAPkbcedfgggajufnjrc,gLLAQcedeeffhavxhqk,Face: 12
hLLAMkbdeeffggevuuagkr,gLLAQcedeeffhavxhqk,Face: 11
hLvAQkadegffggjpmbffks,gLLAQcedeeffhavxhqk,Face: 10
hLLAPkbdcefgggevnlgvnn,gLLAQcedeeffhavxhqk,Face: 9
hLLLQkbcfgffggdfpaewvv,gLLAQcedeeffhavxhqk,Face: 7
hLLAPkaedeffggjxdhfndg,gLLAQcedeeffhavxhqk,Face: 6
hLLAPkaedeffggjxphfwtc,gLLAQcedeeffhavxhqk,Face: 5
hLLAAkccdeffggtnnqhrdk,gLLAQcedeeffhavxhqk,Face: 4
hLLLQkcbegfgfganauegsv,gLLAQcedeeffhavxhqk,Face: 3
hLLAMkbedeffggaablmnfj,gLLAQcedeeffhavxhqk,Face: 2
hLLAPkceddffgglavnbwfs,gLLAQcedeeffhavxhqk,Face: 1
hLLAPkcddegfggacvpjkvs,gLLAQccedeffqfanqsn,Face: 12
hLLAAkbddeefggxvrdhcqj,gLLAQccedeffqfanqsn,Face: 11
hLLLQkadegfgfgnaxbnrkb,gLLAQccedeffqfanqsn,Face: 10
hLLLQkceffegfgaueaxmwj,gLLAQccedeffqfanqsn,Face: 9
hLLAPkbcdegfggdfbegvwg,gLLAQccedeffqfanqsn,Face: 7
hLLAPkbddefgfgxjrxrrgj,gLLAQccedeffqfanqsn,Face: 6
hLLMPkbdedfgfghfajosfs,gLLAQccedeffqfanqsn,Face: 5
hLLMMkccdeffggajvlevdn,gLLAQccedeffqfanqsn,Face: 4
hLLAPkbecdgfggaawskgsg,gLLAQccedeffqfanqsn,Face: 3
hLLAAkccedffgglnanundw,gLLAQccedeffqfanqsn,Face: 2
hLLMAkccdeffggajvlhrek,gLLAQccedeffqfanqsn,Face: 1
fLLQccecddelqccwj,gLLAQacedeffjktakdk,Edge: 9
hLLAAkbdedffggtvagirqk,gLLAQacedeffjktakdk,Face: 12
hLLAAkcedcffgghavrtcxw,gLLAQacedeffjktakdk,Face: 11
hLLAMkcedefgfglhvahkwr,gLLAQacedeffjktakdk,Face: 10
hLLMPkacdeffggjbacjjen,gLLAQacedeffjktakdk,Face: 9
hLLAAkbdedffggtvpgardj,gLLAQacedeffjktakdk,Face: 7
hLLAPkaedeffggjapqfwpk,gLLAQacedeffjktakdk,Face: 6
hLLMAkacdeffggnkackkqk,gLLAQacedeffjktakdk,Face: 5
hLLAAkacdeefggjkdirqan,gLLAQacedeffjktakdk,Face: 4
hLLLQkcdefgggfawmatgjn,gLLAQacedeffjktakdk,Face: 3
hLLLQkbdeggfgflvpmmgor,gLLAQacedeffjktakdk,Face: 2
hLLAPkcddefgggpgvqfvkk,gLLAQbcedeffasxflok,Face: 12
hLLAMkbeedffggaaeoawkr,gLLAQbcedeffasxflok,Face: 11
hLLAAkcddeffgghrrahoar,gLLAQbcedeffasxflok,Face: 10
hLvAQkadfefgggnelcfjjn,gLLAQbcedeffasxflok,Face: 9
hLLAPkcddefgggpgvqfvkk,gLLAQbcedeffasxflok,Face: 7
hLwMMkacefefggbgqgwgqw,gLLAQbcedeffasxflok,Face: 6
hLwPMkacdeffggbgaggnxk,gLLAQbcedeffasxflok,Face: 5
hLLAAkbcedffgglsafabij,gLLAQbcedeffasxflok,Face: 4
hLvAQkadfefgggnelcfjjn,gLLAQbcedeffasxflok,Face: 1
fLLQcbeddeehtgkiu,gLLMQbcefefflstmmeo,Edge: 12
hLLAPkcddefgggufvuvvrr,gLLMQbcefefflstmmeo,Face: 12
hLLAPkbcedfgggasdfcrbn,gLLMQbcefefflstmmeo,Face: 11
hLLPPkcdefggfgpwaapfff,gLLMQbcefefflstmmeo,Face: 10
hLLPPkcdefegggloaelsws,gLLMQbcefefflstmmeo,Face: 9
hLLAPkcddefgggacvdwosc,gLLMQbcefefflstmmeo,Face: 8
hLLMMkbdedffgglvawpwxj,gLLMQbcefefflstmmeo,Face: 7
hvLPQkcdefgfggkwfmupuw,gLLMQbcefefflstmmeo,Face: 6
hLLPPkcdefegggucalubbj,gLLMQbcefefflstmmeo,Face: 5
hLLAMkbcedffgglsawanij,gLLMQbcefefflstmmeo,Face: 4
hLLAPkcddefgggurvuvvkk,gLLMQbcefefflstmmeo,Face: 3
hLLLQkbddgffggevwmkcgj,gLLMQbcefefflstmmeo,Face: 2
hLLLQkbdeegfggevlqmfnn,gLLMQbcefefflstmmeo,Face: 1
hLLAPkbddefgggtvnuvvrf,gLLAQbcedefftjhftsw,Face: 11
hLvAQkadfefgggjdlcfffn,gLLAQbcedefftjhftsw,Face: 9
hLLAPkacdefgggjsxaxafo,gLLAQbcedefftjhftsw,Face: 8
hLLPMkaceeffggjsabbbaj,gLLAQbcedefftjhftsw,Face: 7
hLLAMkbcedffgglkafawts,gLLAQbcedefftjhftsw,Face: 6
hLLAPkacdegfggnsxxaako,gLLAQbcedefftjhftsw,Face: 5
hLLLQkbefgfefgdaelehgw,gLLAQbcedefftjhftsw,Face: 4
hLLAMkbdedfggglvasliih,gLLAQaeddfffnlahggn,Face: 11
hLLAPkccedfgggpgpogggb,gLLAQaeddfffnlahggn,Face: 10
hLLLQkbddfgffgxvnhccnk,gLLAQaeddfffnlahggn,Face: 9
hLLLQkadgfegfgnhqggsfo,gLLAQaeddfffnlahggn,Face: 8
hLLLQkcddegffghsgmgfnn,gLLAQaeddfffnlahggn,Face: 7
hLLMMkaddeffggnhaljoqr,gLLAQaeddfffnlahggn,Face: 6
hLLLQkbdeeffggevqqpgor,gLLAQaeddfffnlahggn,Face: 5
hLLAMkaeddfgggnledwpll,gLLAQaeddfffnlahggn,Face: 4
hLLLQkaegfegfgnaigkjjw,gLLAQaeddfffnlahggn,Face: 3
hLLAPkbecdgfggeinfgrko,gLLAQaeddfffnlahggn,Face: 2
hLLLQkaeefggfgnlignnfo,gLLAQaeddfffnlahggn,Face: 1
fLLQcacdedenbqqsw,gLLAQbdceefftvrmtrw,Edge: 8
hLLLQkbcefffggebaxmrbj,gLLAQbdceefftvrmtrw,Face: 11
hLLPAkccdeffgglkfpmbuj,gLLAQbdceefftvrmtrw,Face: 10
hLvQAkadefefggjahhsfxj,gLLAQbdceefftvrmtrw,Face: 9
