id,oriented,tetrahedra
eLAkbccddhhsqs,1,4
fLLQcacdeeejkdicr,0,5
fLLQcaddeeenpuplr,0,5
fLLQcbeddeehtgkiu,1,5
fLLQcacdeeenbaakn,1,5
gLLMQbcdefffdfbttow,0,6
gLLQPccddeffunnvuxn,0,6
gLvQQaefdeffjhqhvwn,0,6
gLLAQccdeeffhwvlucn,-1,6
gLLMQbcdefffdfblqgf,0,6
gLLAQcedeeffhavxhqk,-1,6
gLLAQccedeffqfanqsn,-1,6
gLLAQacedeffjktakdk,-1,6
gLLAQbcedeffasxflok,0,6
gLLMQbcefefflstmmeo,0,6
gLLAQbcedefftjhftsw,-1,6
gLLAQaeddfffnlahggn,0,6
gLLAQbdceefftvrmtrw,0,6
gLLPQccdeffflnrmicf,0,6
gLLAQbcedeffajhftor,0,6
gLLAQceddeffahvkank,-1,6
gLLAQbdcefffhgnxanb,-1,6
gLLAQadedeffnplaofw,-1,6
gLLPQcdefefftspqalv,1,6
gLLMQbcdfefftsrdeoc,1,6
gLLAQbcdeeffdowxdfw,-1,6
gLLAQbddefffxvjxlcf,-1,6
gLLAQbecdfffainfxoj,-1,6
gLLMQbdedfffarqfivn,-1,6
gLLMQbddfeffxvrilcv,1,6
gLLMQbcdefffhvkqqkk,-1,6
gLLAQbcdeefflsohhsr,1,6
gLLAQbcedeffhvafpvr,1,6
gLLMQbcdfeffebjeerw,-1,6
gLLMQbeedfefahxfxqj,-1,6
gLLMQbcefeefxouummj,-1,6
hLLAPkbcedfgggajufnjrc,-1,7
hLLAPkcddegfggacvpjkvs,-1,7
hLLAAkbdedffggtvagirqk,-1,7
hvLAQkcdfgefggorutbxag,-1,7
hLLAPkcddefgggpgvqfvkk,0,7
hLvAQkbfefeggglhpahlwr,-1,7
hLLAMkbdedfgggdweslteq,0,7
hLvAQkbeffegggexeaueok,-1,7
hLLAAkbcedffgglsakabaj,-1,7
hLLAPkccdegfggawvhfbkg,-1,7
hLLAPkbddefgggevkpjskn,0,7
hLLLQkbddfggfgajfpbnsb,-1,7
fLLQccecddelqccwj,1,5
hLALPkbccefgggtpkkitnw,-1,7
hLALPkbccefgggtpkkxqvo,-1,7
hLvPQkccgeffgghraxxbwb,-1,7
hLLAAkbddeefggxvrdhcqj,-1,7
hLLAAkcedcffgghavrtcxw,-1,7
hLLAAkbddeefgganrtuchr,-1,7
hLLAAkccdeefggakvhuvqs,0,7
hLLAAkcedeefgghtvaehqj,0,7
hLLMMkcddeffggarsuhoej,-1,7
hLALPkbcbegfgghawomenf,-1,7
hLLLQkbdeggfgflvpmmgor,-1,7
hLLLQkbcfgegfgdfpmdjbc,-1,7
hLLLQkbcefgfggebheqkkc,0,7
hLvAQkadegffggjpmbffks,-1,7
hLvAQkaefgefggntubrfjv,-1,7
hLLAAkcedeffggplvauqhk,-1,7
hLvAQkbeffgefgdahexpck,-1,7
hLvAQkadfefgggnpujfjvv,0,7
hLLAMkcdeeffgglgpuiojn,0,7
hLvAQkadffegggnuijcjjv,-1,7
hLLLQkaedfggfgjahrrkkf,-1,7
hLLAMkcdeeffgglgapibfs,-1,7
hLLAPkbddefggglvnlnvof,-1,7
hLLAPkacdegfggnsxxaako,-1,7
hLvAQkadfefgggnelcfjjn,-1,7
hLLAMkcddeffgghrvahfhw,-1,7
