target,source,label
fLLQcacdeeejkedko,eLAkbccddhhsxk,Face: 8
fLLQcadedeejillps,eLAkbccddhhsxk,Face: 6
fLLQcbcdeeeebjqti,eLAkbccddhhsxk,Face: 4
fLLQcccddeeqjvshn,eLAkbccddhhsxk,Face: 3
gLLMQbcdefffdfbiion,fLLQcacdeeejkedko,Face: 10
gLLQPccddeffunnvuhw,fLLQcacdeeejkedko,Face: 9
gLvQQaefdeffjhqhvfn,fLLQcacdeeejkedko,Face: 8
gLLAQccdeeffhwvluks,fLLQcacdeeejkedko,Face: 7
gLLAQbdedfffdkarxfv,fLLQcacdeeejkedko,Face: 5
gLLAQadedfffjxxhgbb,fLLQcacdeeejkedko,Face: 4
gLLAQccedeffqfanqjw,fLLQcacdeeejkedko,Face: 3
gLLAQacedeffjktxrqk,fLLQcacdeeejkedko,Face: 2
gLLAQbcedeffasxflsj,fLLQcacdeeejkedko,Face: 1
gLLAQbdedffflverxwk,fLLQcadedeejillps,Face: 10
gLLAQbcedefftjhftjn,fLLQcadedeejillps,Face: 9
gLLAQbdcefffhgwqegf,fLLQcadedeejillps,Face: 8
gLLAQaddeeffjidpcok,fLLQcadedeejillps,Face: 7
gLLAQbdedffftvarxwk,fLLQcadedeejillps,Face: 5
gLLAQbcedeffajhftjj,fLLQcadedeejillps,Face: 4
gLLAQceddeffahvkacw,fLLQcadedeejillps,Face: 3
gLLAQbdcefffhgsqanb,fLLQcadedeejillps,Face: 2
gLLAQaddeeffniepcok,fLLQcadedeejillps,Face: 1
gLLMQbcdefffdfbiion,fLLQcbcdeeeebjqti,Face: 10
gvLQQcdefeffbjrpgxd,fLLQcbcdeeeebjqti,Face: 9
gLLAQbdedffflverxwk,fLLQcbcdeeeebjqti,Face: 8
gLLPQcdefefflfqdxdc,fLLQcbcdeeeebjqti,Face: 7
gLLAQbdedfffewdvpoj,fLLQcbcdeeeebjqti,Face: 6
gLLPQcdeffefqkhuuqk,fLLQcbcdeeeebjqti,Face: 5
gLLAQccdefffakshxjo,fLLQcbcdeeeebjqti,Face: 4
gLLAQbddefffxwbeukk,fLLQcbcdeeeebjqti,Face: 3
gLLAQcecdeffqackqkw,fLLQcbcdeeeebjqti,Face: 2
gLLMQbceffefxohumqf,fLLQcbcdeeeebjqti,Face: 1
gLLAQbcdeefflsohhfj,fLLQcccddeeqjvshn,Face: 10
gLLAQbcedeffhvafpcj,fLLQcccddeeqjvshn,Face: 8
gLLAQbdeeffftvxqaug,fLLQcccddeeqjvshn,Face: 5
gLLAQacdefffnbxaxqq,fLLQcccddeeqjvshn,Face: 3
gLLAQaddefffjapebjs,fLLQcccddeeqjvshn,Face: 2
