id,oriented,tetrahedra
eLAkbccddhhsxk,1,4
fLLQcacdeeejkedko,0,5
fLLQcadedeejillps,0,5
fLLQcbcdeeeebjqti,1,5
fLLQcccddeeqjvshn,1,5
gLLMQbcdefffdfbiion,0,6
gLLQPccddeffunnvuhw,0,6
gLvQQaefdeffjhqhvfn,0,6
gLLAQccdeeffhwvluks,-1,6
gLLAQbdedfffdkarxfv,0,6
gLLAQadedfffjxxhgbb,-1,6
gLLAQccedeffqfanqjw,-1,6
gLLAQacedeffjktxrqk,-1,6
gLLAQbcedeffasxflsj,0,6
gLLAQbdedffflverxwk,0,6
gLLAQbcedefftjhftjn,-1,6
gLLAQbdcefffhgwqegf,0,6
gLLAQaddeeffjidpcok,0,6
gLLAQbdedffftvarxwk,0,6
gLLAQbcedeffajhftjj,0,6
gLLAQceddeffahvkacw,-1,6
gLLAQbdcefffhgsqanb,-1,6
gLLAQaddeeffniepcok,-1,6
gvLQQcdefeffbjrpgxd,1,6
gLLPQcdefefflfqdxdc,1,6
gLLAQbdedfffewdvpoj,1,6
gLLPQcdeffefqkhuuqk,1,6
gLLAQccdefffakshxjo,-1,6
gLLAQbddefffxwbeukk,-1,6
gLLAQcecdeffqackqkw,-1,6
gLLMQbceffefxohumqf,1,6
gLLAQbcdeefflsohhfj,1,6
gLLAQbcedeffhvafpcj,1,6
gLLAQbdeeffftvxqaug,1,6
gLLAQacdefffnbxaxqq,-1,6
gLLAQaddefffjapebjs,-1,6
hLLLQkbdgeffgglvammbrr,-1,7
hLLLQkcdeffgggafpedbwj,-1,7
hLLAMkbdedffggtvegaktj,-1,7
hLLLQkceffegggluqaelsn,-1,7
hLLMMkbceefgggasxdanfc,0,7
hvLPQkcdefggfgkjfpaaik,0,7
hLLAMkbdedfgggdwpsldpq,0,7
hLvAQkbeffegggexeaumfg,-1,7
hLLLQkbddfgfggajfpffnr,-1,7
hLLAPkccdegfggawvhjrko,-1,7
hLLAAkceddffgglawnibuj,-1,7
hLLAPkbddefgggxvrxnocj,0,7
fLLQccecddelhccwr,1,5
hLALPkbccefgggtpkktebo,-1,7
hLALPkbccefgggtpkkqakr,-1,7
hLvPQkccgeffgghraxxffs,-1,7
hLLAAkbddeefggxvrdhcxk,-1,7
hLLAAkcedcffgghavrprdj,-1,7
hLLAAkbddeefgganrtucqj,-1,7
hLLAAkccdeefggakvhuvxk,0,7
hLLAAkcedeefgghtvaehxk,-1,7
hLLMMkcddeffggarsuhotr,-1,7
hLALPkbcbegfgghawodpwf,-1,7
hLLLQkbdeggfgflvpmmroj,-1,7
hLLLQkbcefgfggebheqkbc,0,7
hLLLQkbcfgegfgdfpmpjbc,0,7
hLvAQkaefgefggntubcfjv,-1,7
hLvAQkadegffggjpmbffbs,-1,7
hLLAAkcedeffggplvauqxw,-1,7
hLvAQkbeffgefgdahehpcw,-1,7
hLvAQkadffegggnuijcjrv,0,7
hLLAMkcdeeffgglgpuiofs,-1,7
hLvAQkadfefgggnpujfjjv,-1,7
hLLLQkcbgefgfganmhmssv,-1,7
hLLAMkcdeeffgglgapibjn,-1,7
hLLAPkcddefgggugvlnvof,-1,7
hLLPAkccdfefgguffaaohw,-1,7
hLvAQkadfefgggndecjjjf,-1,7
hLLAMkcddeffgghrvahfxk,-1,7
hLLAAkbcedffggtbafajij,-1,7
hLLAPkacdefgggjbxaxarw,-1,7
hLLAMkbeedffggxadwaskr,-1,7
hLLAMkbdedfgggdwdsllua,0,7
hLvAQkbeffegggexeaumcv,-1,7
hLLLQkcdfeggfgukequjkf,-1,7
hLLAPkbcdefgggdfbeovjo,-1,7
hLLAAkbdedffggtvagpktj,-1,7
hvLAQkcedfggfgfjvdmahf,0,7
hLLAAkbcedffggtbarajmj,-1,7
hLLLQkbddfggfgajfpscbs,-1,7
hLLAPkbddefgggxvrxfkfk,-1,7
hLLAPkccdegfggawvhbosc,-1,7
hLLAMkbdeeffggevuuagnj,-1,7
hLLAPkbdcefgggevsugvnn,-1,7
hLLAMkcdeefggghsaqikco,-1,7
hLLMPkcbeeffggqnhptjrv,-2,7
hLLPMkaddeffggjxhdfwmc,-2,7
hLLAAkccdeffggtnnqhrmw,-1,7
hLLLQkaedfggfgjaxnjkjr,-1,7
hLLAMkbedeffggaablmnsr,-1,7
hLLAPkceddffgglavnbwjn,-1,7
hLLLQkadefggfgnaxnbgcv,-1,7
hLLLQkceffegfgaueaxlwr,-1,7
hLLAPkbddefgfgxjrxrggr,-2,7
hLLMPkbdedfgfghfajoofn,-2,7
hLLMMkccdeffggajvlevmw,-1,7
hLLAPkbecdgfggaawscrsc,-1,7
