target,source,label
fLLQcacdeeenkedko,eLAkbccddhhsxr,Face: 8
fLLQcadedeejillpw,eLAkbccddhhsxr,Face: 6
fLLQcbcdeeedfjimu,eLAkbccddhhsxr,Face: 4
fLLQcccddeeqjvshr,eLAkbccddhhsxr,Face: 3
gLLMQbcdefffebbqiro,fLLQcacdeeenkedko,Face: 10
gLLQPccddeffunnvuhj,fLLQcacdeeenkedko,Face: 9
gLvQQaefdeffnhqhvfn,fLLQcacdeeenkedko,Face: 8
gLLAQccdeeffhwvlukw,fLLQcacdeeenkedko,Face: 7
gLLAQbdedfffdkarxgv,fLLQcacdeeenkedko,Face: 5
gLLAQadedfffnxxhgbb,fLLQcacdeeenkedko,Face: 4
gLLAQccedeffqfanqjj,fLLQcacdeeenkedko,Face: 3
gLLAQacedeffnktxrqk,fLLQcacdeeenkedko,Face: 2
gLLAQbcedeffasxflsw,fLLQcacdeeenkedko,Face: 1
gLLAQbdedffftverxwk,fLLQcadedeejillpw,Face: 10
gLLAQbcedefftjhftjj,fLLQcadedeejillpw,Face: 9
gLLAQbdcefffhgsqegf,fLLQcadedeejillpw,Face: 8
gLLAQaddeeffnidpcok,fLLQcadedeejillpw,Face: 7
gLLAQbdedffflvarxwk,fLLQcadedeejillpw,Face: 5
gLLAQbcedeffajhftjn,fLLQcadedeejillpw,Face: 4
gLLAQceddeffahvkacj,fLLQcadedeejillpw,Face: 3
gLLAQbdcefffhgwqanb,fLLQcadedeejillpw,Face: 2
gLLAQaddeeffjiepcok,fLLQcadedeejillpw,Face: 1
gLLMQbcdefffebbqiro,fLLQcbcdeeedfjimu,Face: 10
gvLQQcdefeffbjrpsxd,fLLQcbcdeeedfjimu,Face: 9
gLLAQbdedffftverxwk,fLLQcbcdeeedfjimu,Face: 8
gLLPQcdefefflgaqmxj,fLLQcbcdeeedfjimu,Face: 7
gLLAQbdedfffdsavpkn,fLLQcbcdeeedfjimu,Face: 6
gLLPQcdeffefqkhuuuk,fLLQcbcdeeedfjimu,Face: 5
gLLAQccdefffawvuqnc,fLLQcbcdeeedfjimu,Face: 4
gLLAQbddefffxwbxukk,fLLQcbcdeeedfjimu,Face: 3
gLLAQcecdeffqackqks,fLLQcbcdeeedfjimu,Face: 2
gLLAQbddefffxvrdxkn,fLLQcbcdeeedfjimu,Face: 1
gLLAQbcdeefflsohhfn,fLLQcccddeeqjvshr,Face: 10
gLLAQbcedeffhvafpcn,fLLQcccddeeqjvshr,Face: 8
gLLAQbdeeffflvxqaug,fLLQcccddeeqjvshr,Face: 5
gLLAQacdefffjbxaxqq,fLLQcccddeeqjvshr,Face: 3
gLLAQaddefffnapebjs,fLLQcccddeeqjvshr,Face: 2
fLLQcbcdeeedfjimu,gLLMQbcdefffebbqiro,Edge: 12
hLLLQkbdgeffggtvammbrr,gLLMQbcdefffebbqiro,Face: 12
hLLLQkcdeffgggafpadbwj,gLLMQbcdefffebbqiro,Face: 11
hLLAMkbdedffgglvegaktj,gLLMQbcdefffebbqiro,Face: 10
hLLLQkceffeggglpqaxlgn,gLLMQbcdefffebbqiro,Face: 9
hLLMMkbceefgggasxdanbc,gLLMQbcdefffebbqiro,Face: 8
hvLPQkcdefgfggkwflepeb,gLLMQbcdefffebbqiro,Face: 7
hLLAMkbdedfgggevxsldxu,gLLMQbcdefffebbqiro,Face: 6
hLvAQkbeffegggexeaumcg,gLLMQbcdefffebbqiro,Face: 5
hLLLQkbddfgfggarfpffnr,gLLMQbcdefffebbqiro,Face: 4
hLLAPkccdegfggakvhbosc,gLLMQbcdefffebbqiro,Face: 3
hLLAAkceddffgglawnibuw,gLLMQbcdefffebbqiro,Face: 2
hLLLQkbddfggfgevkqvnws,gLLMQbcdefffebbqiro,Face: 1
fLLQccecddelhccwn,gLLQPccddeffunnvuhj,Edge: 8
hLALPkbccegfggdigghqrs,gLLQPccddeffunnvuhj,Face: 11
hLvPQkccgeffgghnaxxffs,gLLQPccddeffunnvuhj,Face: 9
hLLAAkbddeefggxvrdhcxr,gLLQPccddeffunnvuhj,Face: 8
hLLAAkcedcffgghavnprdj,gLLQPccddeffunnvuhj,Face: 7
hLLAAkbddeefgganrtucqn,gLLQPccddeffunnvuhj,Face: 6
hLLAAkccdeefggakvhuvxr,gLLQPccddeffunnvuhj,Face: 5
hLLAAkcedeefgghtvaehxr,gLLQPccddeffunnvuhj,Face: 4
hLLMMkcddeffggarsuhotk,gLLQPccddeffunnvuhj,Face: 3
hLALPkbcbegfgghajodpwf,gLLQPccddeffunnvuhj,Face: 2
hLLLQkbdeggfgflvpmmron,gLLQPccddeffunnvuhj,Face: 1
hLLLQkbcefgfggdfteqgfc,gLvQQaefdeffnhqhvfn,Face: 11
hLLLQkbcfgegfgebpmxgcc,gLvQQaefdeffnhqhvfn,Face: 10
hLvAQkaefgefggjtubcfjv,gLvQQaefdeffnhqhvfn,Face: 9
hLvAQkadegffggnpmbffbs,gLvQQaefdeffnhqhvfn,Face: 8
hLLAAkcedeffggplvauqxj,gLvQQaefdeffnhqhvfn,Face: 7
hLvAQkbeffgefgdahehpcj,gLvQQaefdeffnhqhvfn,Face: 6
hLvAQkadffegggjuijcjrv,gLvQQaefdeffnhqhvfn,Face: 5
hLLAMkcdeeffgglgpuiofw,gLvQQaefdeffnhqhvfn,Face: 4
hLvAQkadfefgggjpujfjjv,gLvQQaefdeffnhqhvfn,Face: 3
hLLLQkcbgefgfgajmhmssv,gLvQQaefdeffnhqhvfn,Face: 2
hLLAMkcdeeffgglgapibjr,gLvQQaefdeffnhqhvfn,Face: 1
hLLAPkcddefgggufvlnvof,gLLAQccdeeffhwvlukw,Face: 11
hLLPAkccdfefgguffaaohj,gLLAQccdeeffhwvlukw,Face: 9
