id,oriented,tetrahedra
eLAkbccddhhsxr,1,4
fLLQcacdeeenkedko,0,5
fLLQcadedeejillpw,0,5
fLLQcbcdeeedfjimu,1,5
fLLQcccddeeqjvshr,1,5
gLLMQbcdefffebbqiro,0,6
gLLQPccddeffunnvuhj,0,6
gLvQQaefdeffnhqhvfn,0,6
gLLAQccdeeffhwvlukw,-1,6
gLLAQbdedfffdkarxgv,-1,6
gLLAQadedfffnxxhgbb,-1,6
gLLAQccedeffqfanqjj,-1,6
gLLAQacedeffnktxrqk,-1,6
gLLAQbcedeffasxflsw,0,6
gLLAQbdedffftverxwk,0,6
gLLAQbcedefftjhftjj,-1,6
gLLAQbdcefffhgsqegf,0,6
gLLAQaddeeffnidpcok,0,6
gLLAQbdedffflvarxwk,0,6
gLLAQbcedeffajhftjn,0,6
gLLAQceddeffahvkacj,-1,6
gLLAQbdcefffhgwqanb,-1,6
gLLAQaddeeffjiepcok,-1,6
gvLQQcdefeffbjrpsxd,-1,6
gLLPQcdefefflgaqmxj,1,6
gLLAQbdedfffdsavpkn,1,6
gLLPQcdeffefqkhuuuk,1,6
gLLAQccdefffawvuqnc,-1,6
gLLAQbddefffxwbxukk,-1,6
gLLAQcecdeffqackqks,-1,6
gLLAQbddefffxvrdxkn,-1,6
gLLAQbcdeefflsohhfn,1,6
gLLAQbcedeffhvafpcn,1,6
gLLAQbdeeffflvxqaug,1,6
gLLAQacdefffjbxaxqq,-1,6
gLLAQaddefffnapebjs,-1,6
hLLLQkbdgeffggtvammbrr,-1,7
hLLLQkcdeffgggafpadbwj,-1,7
hLLAMkbdedffgglvegaktj,-1,7
hLLLQkceffeggglpqaxlgn,-1,7
hLLMMkbceefgggasxdanbc,0,7
hvLPQkcdefgfggkwflepeb,0,7
hLLAMkbdedfgggevxsldxu,0,7
hLvAQkbeffegggexeaumcg,-1,7
hLLLQkbddfgfggarfpffnr,-1,7
hLLAPkccdegfggakvhbosc,-1,7
hLLAAkceddffgglawnibuw,-1,7
hLLLQkbddfggfgevkqvnws,-1,7
fLLQccecddelhccwn,1,5
hLALPkbccegfggdigghqrs,-1,7
hLvPQkccgeffgghnaxxffs,-1,7
hLLAAkbddeefggxvrdhcxr,-1,7
hLLAAkcedcffgghavnprdj,-1,7
hLLAAkbddeefgganrtucqn,-1,7
hLLAAkccdeefggakvhuvxr,0,7
hLLAAkcedeefgghtvaehxr,-1,7
hLLMMkcddeffggarsuhotk,-1,7
hLALPkbcbegfgghajodpwf,-1,7
hLLLQkbdeggfgflvpmmron,-1,7
hLLLQkbcefgfggdfteqgfc,0,7
hLLLQkbcfgegfgebpmxgcc,-1,7
hLvAQkaefgefggjtubcfjv,-1,7
hLvAQkadegffggnpmbffbs,-1,7
hLLAAkcedeffggplvauqxj,-1,7
hLvAQkbeffgefgdahehpcj,-1,7
hLvAQkadffegggjuijcjrv,0,7
hLLAMkcdeeffgglgpuiofw,-1,7
hLvAQkadfefgggjpujfjjv,-1,7
hLLLQkcbgefgfgajmhmssv,-1,7
hLLAMkcdeeffgglgapibjr,-1,7
hLLAPkcddefgggufvlnvof,-1,7
hLLPAkccdfefgguffaaohj,-1,7
hLvAQkadfefgggjdecjjjf,-1,7
hLLAMkcddeffgghrvahfxj,-1,7
hLLAAkbcedffggtbafajik,-1,7
hLLAPkacdefgggnbxaxarw,-1,7
hLLAMkbeedffggxadwaskk,-1,7
hLLAMkbdedfgggeveslimh,-1,7
hLLLQkcdfeggfgpklqpgkw,-1,7
hLLAPkbcdefgggebbarsjo,-1,7
hLLAAkbdedffgglvagpktj,-1,7
hvLAQkcdegfgfgnrcaihib,-1,7
hLLAAkbcedffggtbarajmk,-1,7
hLLLQkbddfggfgarfpscbs,-1,7
hLLLQkbdfeggfgxvimqfsb,-1,7
hLLAMkbdeeffggevuuagnk,-1,7
hLLAPkbdcefgggevwugvnn,-1,7
hLLAMkcdeefggghsaqikcg,-1,7
hLLMPkcbeeffggqjhptjrv,-2,7
hLLPMkaddeffggnxhdfwmc,-2,7
hLLAAkccdeffggtnnqhrmj,-1,7
hLLLQkaedfggfgnaxnjkjr,-1,7
hLLAMkbedeffggaablmnsk,-1,7
hLLAPkceddffgglavnbwjr,-1,7
hLLLQkadefggfgjaxnbgcv,-1,7
hLLLQkceffegfgaueaxlwk,-1,7
hLLAPkbddefgfgxjrxrggn,-2,7
hLLMPkbdedfgfghfajoofr,-2,7
hLLMMkccdeffggajvlevmj,-1,7
hLLAPkbecdgfggaasscrsc,-1,7
hLLAAkccedffgglnanunmj,-1,7
hLLMAkccdeffggajvlhrps,-1,7
hLLAMkcedefgfglhvaxkjr,-1,7
hLLAMkaedeffggnauqjwuk,-1,7
hLLMPkacdeffggnkacbbur,-1,7
hLLMAkacdeffggnkackkaj,-1,7
hLLAAkacdeefggnkedouaj,-1,7
hLLLQkcdefgggfawmhtgjw,-1,7
hLLAMkbeedffggaaeoawnk,0,7
hLLAAkcddeffgghrrahoxk,0,7
hLLPMkaceeffggjbxwbbag,-2,7
hLLzQkacefefggjbxjojxf,-2,7
hLLAAkbcedffgglsafabpn,-1,7
hLLLQkbddgffggtvsujjoo,0,7
hLLMMkbcefegggajhexknj,-1,7
hLLLQkcdfeggfglkqqlsws,0,7
hLLAMkbdedfggglraslllq,0,7
hLLLQkbdeffgggxvpeevok,-1,7
hLLLQkbdeeffgglviipkor,-1,7
hvLAQkcedgfgfgfjfuimif,-1,7
hLvAQkbeffeggglaaddmvj,-1,7
hLLAPkbdedfgggevlsfnkk,-1,7
hLLAPkcddefgggurvlnjkk,-1,7
hLLAAkbcdeffgglsbmabpk,-1,7
hLLAPkbdedfgggevdgjgbw,-1,7
hLLLQkbddgffgglvsugjoo,-1,7
hLvAQkcdeegggfavpltbjk,-1,7
hLLMAkacdeffggnbxfssxr,-1,7
hLLAMkbcedffgglkafawpr,-1,7
hLLAMkadedfgggnillnmpp,-1,7
hLLAMkbeedfgggdpagdgrk,0,7
hLLLQkbdeffgggxvpembok,0,7
hLLLQkbddfgffgxvnhkcnw,-1,7
hLLLQkadfegfggjxqcnsoo,-1,7
hLLLQkcddegffghsgmwfnj,-1,7
hLLMMkcbeeffggqnhpaccs,-1,7
hLLLQkbdeeffggevqqpgjk,0,7
hLLAMkbdcefgggevsuaide,-1,7
hLLLQkbddfegggevkqsrss,-1,7
hLLAPkbecdgfggeiwsgrko,-1,7
hLLLQkcefdgfggtatrdrws,-1,7
fLLQcacdedenkaajj,1,5
hLLAPkbdecfgggtvajgrsw,0,7
hLLLQkbdeeffggtviipgor,0,7
hLvQAkadefefggjahhsfqr,-1,7
hLLLQkcddegffghsgpwfnw,-1,7
hLMLPkacdefgfgngaknpjn,-1,7
hLLLQkadefefggjadnwokj,-1,7
hLLAPkccdegffgakvhvvjj,0,7
hLLLQkadffegggjimjcwwo,-1,7
hLLAPkaeddgfggnapdxcpu,-1,7
hLLAAkadedefggnillsfaw,-1,7
hLvAQkbeffegggtaaadmvj,-1,7
hvLAQkcedgfgfgfjfuhhhr,0,7
hLLAPkccdegfggqvvhwofc,-1,7
hLLLQkcdfeggfglkqqxnkn,-1,7
hLLAMkbdedfgggljaslttm,-1,7
hLLAAkbcdeffgglkbmabpr,-1,7
hLLAPkcddefgggukslnkff,-1,7
hLLLQkbdfegfggeshhhkwg,-1,7
hLLAPkbdedfgggeslwfrff,-1,7
hLLPAkccdfefggankaaohw,0,7
hLLAMkadedfgggjillnapp,0,7
hLLMMkacdeffggjbxwggab,-2,7
hLLMAkacdeffggjbxfssxo,-2,7
hLLAMkbcedffgglsafawpk,-1,7
hLLLQkaeegefggjadkwoko,-1,7
hLLLQkaedgffggjamvjnnv,-1,7
hLLAPkcddeffgglrrarvjj,-1,7
hLLLQkcddfefggqfnaofss,-2,7
hLLLQkadeeffggnxdwowof,-2,7
hLLAAkbcedffgglsxjhbik,-1,7
hLvAQkbeffegfgadimixfn,-1,7
hLLAPkceddggfglavjjjnk,-1,7
hLLAPkceddggfglavnwbrs,-1,7
hLLMAkbcdfefggajrqpclj,-1,7
hLLAMkbeedfgggdaugdnfk,-1,7
