target,source,label
fLLQcacdeeenkmxko,eLAkbccddmejln,Face: 8
fLLQcacdeeenvlxko,eLAkbccddmejln,Face: 7
fLAMcbccdeehhnqhr,eLAkbccddmejln,Face: 4
fLLQcbcdeeedfbahl,eLAkbccddmejln,Face: 3
gLLAQccdeeffhkvaqcr,fLLQcacdeeenkmxko,Face: 10
gLLMQbcdefffebbmaor,fLLQcacdeeenkmxko,Face: 9
gLvQQaefdfefniqegvb,fLLQcacdeeenkmxko,Face: 8
gLLQPccddeffijbwexj,fLLQcacdeeenkmxko,Face: 7
gLLAQbddefffpsfpeow,fLLQcacdeeenkmxko,Face: 5
gLLAQadedfffnehisjj,fLLQcacdeeenkmxko,Face: 4
gLLAQbcedeffabmfugw,fLLQcacdeeenkmxko,Face: 3
gLLAQccedeffdwavdnr,fLLQcacdeeenkmxko,Face: 2
gLLAQccedeffdwxkdjn,fLLQcacdeeenkmxko,Face: 1
gLLAQbcdeeffpjgplww,fLLQcacdeeenvlxko,Face: 10
gLLAQbddeeffxrrxqbj,fLLQcacdeeenvlxko,Face: 9
gLvQQaedfeffjaddgob,fLLQcacdeeenvlxko,Face: 8
gLLMQbcdefffebgdaor,fLLQcacdeeenvlxko,Face: 7
gLLAQbdeeffflvapdqs,fLLQcacdeeenvlxko,Face: 6
gLLAQbcedeffabtfqsn,fLLQcacdeeenvlxko,Face: 4
gLLAQccedeffdwakujn,fLLQcacdeeenvlxko,Face: 3
gLLAQccedeffdwxvdkr,fLLQcacdeeenvlxko,Face: 2
gLLAQaddefffnexhcjj,fLLQcacdeeenvlxko,Face: 1
gLLPQcdcfeffqsjatnf,fLAMcbccdeehhnqhr,Face: 10
gLLAQbceeefflsaiihw,fLAMcbccdeehhnqhr,Face: 9
gLALQbccefffdmggqlu,fLAMcbccdeehhnqhr,Face: 6
gLLAQacedfffjkimaud,fLAMcbccdeehhnqhr,Face: 3
gLALQbcbefffhawoeex,fLAMcbccdeehhnqhr,Face: 2
gLLMQbcdefffebbmaor,fLLQcbcdeeedfbahl,Face: 10
gLLMQbceeffflgaulxo,fLLQcbcdeeedfbahl,Face: 9
gLLMQbcdefffebgdaor,fLLQcbcdeeedfbahl,Face: 8
gvLQQcdefeffkcfhceh,fLLQcbcdeeedfbahl,Face: 7
gvLQQcdefeffjofajlq,fLLQcbcdeeedfbahl,Face: 6
gLLAQbdedfffdwaslof,fLLQcbcdeeedfbahl,Face: 5
gLLAQccedeffdgandkj,fLLQcbcdeeedfbahl,Face: 4
gLLAQccdefffawvhdfk,fLLQcbcdeeedfbahl,Face: 3
gLLAQbddefffxvrxtgs,fLLQcbcdeeedfbahl,Face: 2
gLLAQbddefffpfjpegg,fLLQcbcdeeedfbahl,Face: 1
hLLAPkbddefgggxrrinrfg,gLLAQccdeeffhkvaqcr,Face: 12
hLLMMkbceefgggebdxxsjf,gLLAQccdeeffhkvaqcr,Face: 10
hLvAQkadfgegfgjeqwnjbw,gLLAQccdeeffhkvaqcr,Face: 9
hLLAAkccdeefggqgvuqkhr,gLLAQccdeeffhkvaqcr,Face: 8
hLLAMkbeedffggxxikarnk,gLLAQccdeeffhkvaqcr,Face: 7
hLLMAkbdedffggdvaflodn,gLLAQccdeeffhkvaqcr,Face: 6
hLLAPkacdegfggjkexupsb,gLLAQccdeeffhkvaqcr,Face: 5
hLLAMkcddeffggprvadwhs,gLLAQccdeeffhkvaqcr,Face: 4
hLLLQkbedeffggahfdxgss,gLLAQccdeeffhkvaqcr,Face: 3
hLLAAkccdeffggivvxajdj,gLLAQccdeeffhkvaqcr,Face: 2
hLLPMkcdfeffggaklpikjr,gLLAQccdeeffhkvaqcr,Face: 1
fLLQcbcdeeedfbahl,gLLMQbcdefffebbmaor,Edge: 12
hLLLQkcedgffgglafltfow,gLLMQbcdefffebbmaor,Face: 12
hLLMMkbceefgggebdxhsbb,gLLMQbcdefffebbmaor,Face: 11
hLLAMkbdedfgggevdsledq,gLLMQbcdefffebbmaor,Face: 10
hLvAQkbefegfggmxlhxmcj,gLLMQbcdefffebbmaor,Face: 9
hLLLQkbdeffgggmvxaarjf,gLLMQbcdefffebbmaor,Face: 8
hvLAQkcdegfgfgbrcqiaiw,gLLMQbcdefffebbmaor,Face: 7
hLLLQkbdeffgggmkxqarjf,gLLMQbcdefffebbmaor,Face: 6
hLvAQkbfefegggtidatlwr,gLLMQbcdefffebbmaor,Face: 5
hLLLQkcddgggffirslwwfr,gLLMQbcdefffebbmaor,Face: 4
hLLLQkbddfggfgarfpfnko,gLLMQbcdefffebbmaor,Face: 3
hLLLQkbdfegfggmvqppvfo,gLLMQbcdefffebbmaor,Face: 2
hLLAPkccdegfggakvhcgwc,gLLMQbcdefffebbmaor,Face: 1
