id,oriented,tetrahedra
eLMkbcddddxqpe,1,4
fLLQcbcedeelsawqh,-1,5
fLLQccdcdeehssnps,-1,5
fLLQcbcedeelsakud,-1,5
fLLQcbddeeexnrxad,1,5
fLLQcbcdeeeljklla,1,5
fLLQcbcdeeetsreae,1,5
gLLAQbdeefffevuqpuw,-1,6
gLLPQcdeffefukuqipk,-1,6
gLLPQccdeffflbnedwf,-1,6
gLLPQcdefeffpcaaqqf,-1,6
gvLQQcdeffefbrcqqbd,-1,6
gLLMQbcdefffebbpuks,-1,6
gLLAQbcedfffajhftgb,-1,6
gLLAQbcedfffajhbqkv,-1,6
gLLAQbdeefffhcmummj,-1,6
gLLAQccdeeffqvvuqkw,-1,6
gLLPQbdedeffeveblnk,-1,6
gLLAQbddeeffevnmhkj,-1,6
gLLAQbcedeffmsxfmjj,-1,6
gLvQQadfeeffjaqmcsk,-1,6
gLLAQcddefffafvqxgr,-1,6
gLLAQcedcfffahvshrw,-1,6
gLLAQbedeffflugihus,-1,6
gLLAQcddefffprvudbc,-1,6
gvLQQcdefeffbfjlfau,-1,6
gLLMQbcdefffebbquno,-1,6
gvLQQcdfeeffwodfcdq,-1,6
gLLAQcddefffacvpxoj,-1,6
gLLAQbcedfffajhfdnc,-1,6
gLLAQbddeeffxsfqlwk,-1,6
gLLAQbcedfffajhvhrw,-1,6
gLLMQbdeefffevdmpik,1,6
gLLPQccdefffqffetwf,1,6
gLLPQcdefeffhgaamuj,-1,6
gvLQQcdeffefffjexru,0,6
gLLAQbcdefffakcmqwg,-1,6
gLLAQcddefffarvqqjs,-1,6
gLLPQccdfefflnnhqrw,-1,6
gLLMQbcdefffebbtuwf,-1,6
gLLAQcddefffacvxxfg,-1,6
gLLAQccdeeffpwvlqkw,1,6
gLLMQbcdefffebbhuwn,-1,6
gLLAQcddefffacvxxbf,-1,6
gLLAQbcedefftsxfaor,1,6
hLLLQkbddfggfgevwhkkno,-1,7
hLLLQkbdgfegfgevaaefor,-1,7
hLLPPkceeffegguldddikj,-1,7
hLLAPkcdeefgggugphaggb,-1,7
hLLAPkbdeegfggevtipgww,-1,7
hLvAQkbeffgeggdedeadww,-1,7
hLLAAkcddeffggtrvatrqk,-1,7
hLLLQkbcegfgfgtseaevsv,-1,7
hLLzQkcdegffgglfapdovb,-1,7
hvLAQkdedfgfggwvkuqeqv,-1,7
hLLPMkcdeffggglfauankg,-1,7
hLLLQkbcegffggtsmatgbv,-1,7
hLwLQkacefgfggjgkgwkwb,-1,7
hLLLQkcdegffgghsphlfvr,-1,7
hLLLQkccegffggqfuaqgfo,-1,7
hLLLQkbcegffggebxaakwv,-1,7
hLLLQkcdffgggftkhhlgjf,-1,7
hLLzQkcdefggfgakpixbfo,-1,7
hLLzQkcdfgefggafdqinws,-1,7
hLLAPkcdeegfgghsptlkff,-1,7
hLLMMkbceefgggajhaaksc,-1,7
hLLAPkbdedfgggevxscvnn,-1,7
hLLAPkbdedgfggdvawvvrw,-1,7
hLLLQkbcfgegfgtkputccc,-1,7
hLLAPkccedfggglbannfkv,-1,7
hLLAPkbdedgfggdsavsvrv,-1,7
hLLPAkccdfefgglbnainhj,-1,7
hLLLQkbdeefggghoiidbbj,-1,7
hLLAPkccedfgggljannwjo,-1,7
hLLMMkbceefgggajheaosc,-1,7
hLLPAkccdeffggtnjpajew,-1,7
hLLAPkbdedgfggevisvroo,-1,7
hvLAQkcdfgefggwnldbudj,-1,7
hLvAQkbefeggfghapuauco,-1,7
hLLLQkcdegffgglcxhxvgn,-1,7
hLLzQkcdfgefggtklxdosf,-1,7
hvLAQkcdfegfggwnlgquqr,-1,7
hLLLQkbdegffggxvlqdowo,-1,7
hLwLQkacfegfggngworkro,-1,7
hvLAQkcedgfgfgkvcpmauk,-1,7
hvLAQkcdfeggfgwglbtaqk,-1,7
hLLLQkbceffggglsudmggv,-1,7
hLLLQkcefgefggapdmxlgs,-1,7
hLLPPkcdefggfglcahanwk,-1,7
hvLAQkcdegfgfgjrcaimib,-1,7
hLvAQkcdefggfgdvuuhbkn,-1,7
hLLLQkcdeefgggtsaplvoo,-1,7
hvLPQkcdegfgfggjfpuiuj,-1,7
hLLzQkcdegffggavumhkos,-1,7
hvLPQkcdefgfgggffqeqec,-1,7
hLLLQkcdfefgggachqugkk,-1,7
hLLzQkcdfegfggaodxxnss,-1,7
hLLLQkcdefegggqwixlsbb,-1,7
hLLLQkcdffegggafhaxgkk,-1,7
fLLQcacdeeenkaisr,1,5
hLLAAkbdedffgglvqgardw,-1,7
hLLAPkbddefgggtvnlnvnr,-1,7
hLLAPkcddegfggpcvacccf,-1,7
hLvAQkbefegfggedeuaisg,-1,7
hLLLQkbddffgggesftkfjs,-1,7
hLLLQkbddffgggarfprsrk,-1,7
hLLAAkccdeffggpkviajmj,-1,7
hLLAPkccdegfggakvhfvnw,-1,7
hLLLQkceffegggapqailgn,-1,7
hLLLQkcedegfgghlotafss,-1,7
hLLAMkbdedfgggevislipp,-1,7
hLLMAkccdfefgganviqnik,-1,7
hLLAPkbddefgggxvjxrvvv,-1,7
hLLLQkbedegfggaafmmwkw,-1,7
hLLAMkbeedffggeqdkajcv,-2,7
hLLAMkbedeffggthcdafcv,-2,7
hLLAMkbcedfggglsafamul,-1,7
hLLLQkbedegfggaafmiwvn,-1,7
hLLAMkbcedfggglsafaxlq,-1,7
hLLLQkcdeegfggaopihjwr,-1,7
hLLAPkbdedfgggeveswvvv,-1,7
hLLLQkcddffgggukfxfrrj,-1,7
hLLAMkbedeffggxxceajcv,-2,7
hLLAMkbeedffgghhdkawcv,-2,7
hLLAMkbcedfggglsafmxxa,-1,7
hLLAMkbcedfggglstfahxq,-1,7
hLLLQkbedegfggaafmmnnc,-1,7
hLLLQkcdfefggghsxplnns,-1,7
hLLLQkccfgegfgawaxikfr,-1,7
hLvMQkbefgfeggaupupukr,-1,7
hLLAMkcedeffgghqsmurnb,-2,7
hLLAMkcedeffgghqnmufbf,-2,7
hLLLQkbddfgfggxwrdwowo,-1,7
hLLAPkbdeegfggevtiaoww,-1,7
hLLAPkccedfggglnanngkv,-1,7
hLLLQkbdfeggfghcauijgr,-1,7
hLvAQkadfeggfgjamrvjbn,-1,7
hLLPPkcdefefggaoeddkgs,-1,7
hLLLQkbedeffggaxfuxnjj,-1,7
hLLAMkbeedffgghdpkabkk,-1,7
hLLMAkbddeefggxjrqqwaj,-1,7
hLLLQkbdfefggghfdedrrc,-1,7
hLLAPkceddgfgglafnnfjn,-1,7
hLLPAkbddeefggevsaevas,-1,7
hLLPAkcdfeefgguoiiixtk,-1,7
hLLPMkcdefffggdvalarrj,-1,7
hLLLQkcdfgeeggacplawwb,-1,7
hLLMMkbceeffggasxaawcs,-1,7
hLwPMkacdeffggjgaggjxr,-1,7
hLLAPkcdedgfgglrannrkj,-1,7
hLLAAkbcedefgglsajlsaj,-1,7
hLvAQkadefggfgnadsvjsv,-1,7
hLLAAkbdedffgglkawxraj,-1,7
hLLLQkcdefgggfarmqeojj,-1,7
hLwMMkacefefggjgqkwgqj,-1,7
hLLAAkbddeffggmkcdafdn,-1,7
hLLLQkacfegfggjcgbcnnn,-1,7
hLvMQkbfdfefggpufducws,-1,7
hLLAAkbddeffggmvndafdn,-1,7
hLLLQkcedfgfggtiflmkgv,-1,7
hLLLQkbddfggfglvkqgnkg,-1,7
hLLMAkbdedffggpcavprqk,-1,7
hLLMAkbcdeffggmsntafun,-1,7
hLLLQkcdffggegavqadgnn,-1,7
hLLLQkbedeffggalfmpwor,-1,7
hLLAAkbcedffgghohfavlk,-1,7
hLvMQkbefefgfgpamtmick,-1,7
hLLLQkacfeggfgjkgcnccg,-1,7
hLvAQkadefgfggjausnsjf,-1,7
hLLAMkcedeffgghqvtpkgj,-1,7
hLLLQkbcefgfggebidtkwv,-1,7
hLvAQkafefegggndennsjs,-1,7
hLLLQkadefgfggnaxgkkcs,-1,7
hLLLQkcdffggegashaagjk,-1,7
hLLAMkcedeffgghavtpcws,-1,7
hLvMQkbefefgggaxueuujg,-1,7
hLvAQkbefegfggaeataqww,-1,7
hLLAPkcdeeffggtghtaogb,-2,7
hLLAMkcdeeffggtkhtabcv,-2,7
hLLLQkbddfgfggakftgrrj,-1,7
hLLAAkbeddffggaagwirtr,-1,7
hLLLQkbdffeggghghuekkk,-1,7
hLLLQkbddfggfgasftsows,-1,7
hLLLQkcedfgegghacahscs,-1,7
hLLAAkbdeefeggevtiaear,-1,7
hLALMkaccefgggbgfgxhos,-2,7
hLLLQkbedfgffgahfidvkk,-1,7
hLALPkbcbefgggaakoelnc,-1,7
hLLPMkccdfegggdwotlddh,-1,7
hLLLQkcdffeggglwpplgsb,-1,7
hLLLQkbedfgfggdlbutgcc,-1,7
hLLPMkccdefgggdwkiumdx,-1,7
hLLLQkbddfgfggpfftsrjr,-1,7
hLLMAkbdedffggpfaftrqk,-1,7
hLLLQkbddfgfggpcvpsrjr,-1,7
hLLLQkcdffeggglwpploos,-1,7
hLLAMkbddefgggevkhqlxx,-1,7
hLLAMkccdefggghkvaaiqt,-1,7
hLLMMkcceffgggqfadxwov,-1,7
hLLLQkcedfgfgguafaxkck,-1,7
hLLAAkcddeffgglrvalrqk,-1,7
hLvMQkbfegefggdhhlhpgc,-1,7
hLLLQkbdfgefggevaaenvk,-1,7
hLvAQkbefeefgglalxixnj,-1,7
hLLLQkccffgggfqfadqgfn,-1,7
hLvAQkbeffgeggdddaadgg,-1,7
hvLPQkcdefgfggkjftdpeb,-1,7
hvLPQkcdefgfggvffxlelf,-1,7
hvLPQkcdefgfggbbrxedej,-1,7
hvLAQkcdefgfggfrbxqhib,-1,7
hvLAQkcdegfgfgffjhmeif,-1,7
hLLzQkcdegfgfghsqilffs,-1,7
hvLAQkcdfegfggggurxeao,-1,7
hvLAQkcdegfgfgnjoaeahc,-1,7
