target,source,label
fLLQcbcedeelsqsaq,eLMkbcdddhxqdu,Face: 8
gLLAQcddefffqrvpuor,fLLQcbcedeelsqsaq,Face: 10
gvLQQcdefeffjvgtnph,fLLQcbcedeelsqsaq,Face: 9
gLLPQccdeffftnclmow,fLLQcbcedeelsqsaq,Face: 8
gLLPQcdefeffpgammts,fLLQcbcedeelsqsaq,Face: 7
gLLAQbcedfffajhjhnk,fLLQcbcedeelsqsaq,Face: 4
gLLAQcddefffacvqqgb,fLLQcbcedeelsqsaq,Face: 2
gLLAQbddeeffxnrmdkk,fLLQcbcedeelsqsaq,Face: 1
hLLLQkbdfgegfgevapigbk,gLLAQcddefffqrvpuor,Face: 12
hLLLQkbceggffglsaaubsj,gLLAQcddefffqrvpuor,Face: 10
hLLMMkcceffgggtnhxavvc,gLLAQcddefffqrvpuor,Face: 8
hLvMQkbefgfeggxededdvw,gLLAQcddefffqrvpuor,Face: 7
hLLLQkcdefgggfhrpqdgvk,gLLAQcddefffqrvpuor,Face: 6
hLvAQkcdefgfggdvptpjvf,gvLQQcdefeffjvgtnph,Face: 12
hLvMQkbfdegfggpufeicws,gvLQQcdefeffjvgtnph,Face: 11
hvLAQkcdefggfgvrjxlmun,gvLQQcdefeffjvgtnph,Face: 10
hvLPQkcdefgfgggbfqqeqv,gvLQQcdefeffjvgtnph,Face: 9
hvLAQkcedgfgfgkvcqeapc,gvLQQcdefeffjvgtnph,Face: 8
hLLzQkcdegfgfgqslllnff,gvLQQcdefeffjvgtnph,Face: 7
hvLAQkcedfgfggknbemuas,gvLQQcdefeffjvgtnph,Face: 6
hvLAQkcdegfgfgbjoamadw,gvLQQcdefeffjvgtnph,Face: 5
hLLLQkcdfeggfgucemujjf,gvLQQcdefeffjvgtnph,Face: 4
hLLLQkcdeefggglkaxqvcc,gvLQQcdefeffjvgtnph,Face: 3
hLLzQkcdegfgfgavpqibfk,gvLQQcdefeffjvgtnph,Face: 2
hLLLQkcdeefgggafeumwwr,gvLQQcdefeffjvgtnph,Face: 1
hLLLQkbdegefggevipirkk,gLLPQccdeffftnclmow,Face: 12
hLLLQkbcgfefggtoddtgon,gLLPQccdeffftnclmow,Face: 10
hLLAPkccedfgggqfajsosc,gLLPQccdeffftnclmow,Face: 8
hLLPMkccdfefggtnciiwxj,gLLPQccdeffftnclmow,Face: 6
hLvMQkbfdegfggpufeicws,gLLPQcdefeffpgammts,Face: 12
hLLLQkbcfgefggtshdtrwv,gLLPQcdefeffpgammts,Face: 11
hLLzQkcdfegfgguoiilnnn,gLLPQcdefeffpgammts,Face: 10
hLLLQkcdegfgfgurutujfo,gLLPQcdefeffpgammts,Face: 9
hvLAQkcdegfgfgbjoamadw,gLLPQcdefeffpgammts,Face: 8
hLLLQkccegfgfgqfpalnff,gLLPQcdefeffpgammts,Face: 7
hLwLQkacgeffggjgjojkvr,gLLPQcdefeffpgammts,Face: 6
hvLAQkcedgfgfgkvcqeapc,gLLPQcdefeffpgammts,Face: 5
hvLAQkcdegfgfgwowdlatr,gLLPQcdefeffpgammts,Face: 4
hLLLQkbcffeggglsiitjsv,gLLPQcdefeffpgammts,Face: 3
hLLLQkceffgeggpamqehgr,gLLPQcdefeffpgammts,Face: 2
hLLLQkcdeefggglkaxtgww,gLLPQcdefeffpgammts,Face: 1
hLLLQkbdfgegfgevapigbk,gLLAQbcedfffajhjhnk,Face: 12
hLLLQkcedfgfgguafamnjf,gLLAQbcedfffajhjhnk,Face: 11
hLLLQkbdegefggevipirkk,gLLAQbcedfffajhjhnk,Face: 10
hLLAPkbddefgggevjekvjj,gLLAQbcedfffajhjhnk,Face: 9
hLLzQkcdegfgfgqslllnff,gLLAQbcedfffajhjhnk,Face: 8
hLLLQkcdeegfggagpmejjs,gLLAQbcedfffajhjhnk,Face: 7
hLLAMkbeedffggxqekarcv,gLLAQbcedfffajhjhnk,Face: 6
hLLAMkbedeffgghqcdaocv,gLLAQbcedfffajhjhnk,Face: 5
hLLAMkbcedfggglsafxqdl,gLLAQbcedfffajhjhnk,Face: 4
hLLLQkcdeefgggqsaplkss,gLLAQbcedfffajhjhnk,Face: 3
hLLAMkbddefggghrrhdaee,gLLAQbcedfffajhjhnk,Face: 2
hLLAMkbcedfggglsqfaqxa,gLLAQbcedfffajhjhnk,Face: 1
hLLMMkcceffgggtnhxavvc,gLLAQcddefffacvqqgb,Face: 12
hLvAQkbeffgeggaeahahwr,gLLAQcddefffacvqqgb,Face: 11
hLLAPkccedfgggqfajsosc,gLLAQcddefffacvqqgb,Face: 10
hLLLQkccegfgfgqfpalnff,gLLAQcddefffacvqqgb,Face: 9
hLLLQkccegfgfgqfpalnff,gLLAQcddefffacvqqgb,Face: 7
hLLAMkcdeeffggqgxpmccb,gLLAQcddefffacvqqgb,Face: 6
hLLLQkcddfggfgqsjlkkfs,gLLAQcddefffacvqqgb,Face: 4
hLLAPkbeddfgggaarwrwrk,gLLAQcddefffacvqqgb,Face: 3
hLLAPkccedfggglnankknk,gLLAQcddefffacvqqgb,Face: 2
hLLLQkcdefgggfhrpqdgvk,gLLAQbddeeffxnrmdkk,Face: 12
hLvAQkadefggfgjaervjrv,gLLAQbddeeffxnrmdkk,Face: 11
hLLPMkccdfefggtnciiwxj,gLLAQbddeeffxnrmdkk,Face: 10
hLwLQkacgeffggjgjojkvr,gLLAQbddeeffxnrmdkk,Face: 9
hLwLQkacgeffggjgjojkvr,gLLAQbddeeffxnrmdkk,Face: 7
hLLLQkbedeffgghhfexnjj,gLLAQbddeeffxnrmdkk,Face: 6
hLLAAkbddeefgghrrhagan,gLLAQbddeeffxnrmdkk,Face: 4
hLLLQkbdfefgggxnmdxooo,gLLAQbddeeffxnrmdkk,Face: 3
gLLAQbcedfffajhjhnk,hLLLQkbdfgegfgevapigbk,Edge: 9
gLLAQcddefffacvqqgb,hLLMMkcceffgggtnhxavvc,Edge: 9
gLLAQbddeeffxnrmdkk,hLLLQkcdefgggfhrpqdgvk,Edge: 9
gLLPQcdefeffpgammts,hLvMQkbfdegfggpufeicws,Edge: 9
gLLPQcdefeffpgammts,hvLAQkcedgfgfgkvcqeapc,Edge: 10
gLLAQbcedfffajhjhnk,hLLzQkcdegfgfgqslllnff,Edge: 10
gLLPQcefefefahqeatx,hLLzQkcdegfgfgqslllnff,Edge: 9
gLLPQcdefeffpgammts,hvLAQkcdegfgfgbjoamadw,Edge: 10
gLLPQcefefefahqeatx,hLLzQkcdegfgfgavpqibfk,Edge: 10
gLLAQbcedfffajhjhnk,hLLLQkbdegefggevipirkk,Edge: 9
gLLAQcddefffacvqqgb,hLLAPkccedfgggqfajsosc,Edge: 9
gLLAQbddeeffxnrmdkk,hLLPMkccdfefggtnciiwxj,Edge: 9
gLLAQcddefffacvqqgb,hLLLQkccegfgfgqfpalnff,Edge: 10
gLLPQcefefefahqeatx,hLLLQkccegfgfgqfpalnff,Edge: 9
gLLAQbddeeffxnrmdkk,hLwLQkacgeffggjgjojkvr,Edge: 10
gLLPQcefefefahqeatx,hLLLQkbcffeggglsiitjsv,Edge: 10
gLMzQbcdefffahxhxum,hLLAMkbcedfggglsafxqdl,Edge: 9
gLLMQbeeffefaaqxlhd,hLLLQkcdeefgggqsaplkss,Edge: 10
gLMzQbcdefffaahxqdu,hLLAMkbcedfggglsqfaqxa,Edge: 10
gLLMQbeeffefaaqxlhd,hLLLQkcddfggfgqsjlkkfs,Edge: 10
hLLLQkbcfefggglshxhjso,gLLPQcefefefahqeatx,Face: 12
hLLzQkcdegfgfgavpqibfk,gLLPQcefefefahqeatx,Face: 10
hLLLQkccegfgfgqfpalnff,gLLPQcefefefahqeatx,Face: 9
hLLLQkcdfggefgqshldoff,gLLPQcefefefahqeatx,Face: 8
hLLLQkcdegggffhfttigfo,gLLPQcefefefahqeatx,Face: 7
hLLLQkbcffeggglsiitjsv,gLLPQcefefefahqeatx,Face: 5
hLLzQkcdegfgfgavpqibfk,gLLPQcefefefahqeatx,Face: 4
hLLLQkbcffeggglsiitjsv,gLLPQcefefefahqeatx,Face: 3
hLLLQkccegfgfgqfpalnff,gLLPQcefefefahqeatx,Face: 2
hLLAMkbcedfggglsasqaaq,gLMzQbcdefffahxhxum,Face: 12
hLLAMkbcedfggglsqsxhaa,gLMzQbcdefffahxhxum,Face: 11
hLLLQkcdgefegghsxpmvrb,gLMzQbcdefffahxhxum,Face: 4
hLLAMkbddefgggevjeaaii,gLLMQbeeffefaaqxlhd,Face: 12
hLLLQkcdgegffgakaxxnfn,gLLMQbeeffefaaqxlhd,Face: 11
hLLLQkcddfggfgqsjlkkfs,gLLMQbeeffefaaqxlhd,Face: 8
hLLLQkcddfggfgqsjlkkfs,gLLMQbeeffefaaqxlhd,Face: 7
hLLAMkbedeffgghqjdevnf,gLLMQbeeffefaaqxlhd,Face: 6
hLLAMkbedeffgghqrddrkb,gLLMQbeeffefaaqxlhd,Face: 5
hLLAMkbcedfggglsqsaqaa,gLMzQbcdefffaahxqdu,Face: 12
hLLLQkbedfgffghqfidnkg,gLMzQbcdefffaahxqdu,Face: 6
