id,oriented,tetrahedra
eLPkbcddddjknw,1,4
fLLQcbcedeetsxfdl,1,5
fLLQcccddeepfnoun,1,5
fLLQcbcedeetsqfxq,-1,5
fLLQcbeddeedtkvpu,1,5
fvPQccdedeejkrjfs,1,5
fLLQcbcedeeljhfda,-1,5
fLLQcbedededloufu,-1,5
fLLQcccddeeujnvur,-1,5
gLLAQbdeefffdwdhaqg,1,6
gLLAQbcdeffftccdunn,-1,6
gLvQQbefdeffadqfmlf,-1,6
gLLPQccdfefflnkaaon,1,6
gLLPQccdfeffhwraaof,1,6
gLLMQbddeeffhwrhhgk,-1,6
gLLAQbcedffftsafabw,-1,6
eLPkaccddjbkaj,1,4
gLLAQbddeeffajkthcw,-1,6
gLLAQbddeeffxvrxqrk,-1,6
gLvQQadefeffjahhrff,-1,6
gLLAQcededfflavxjcw,-1,6
gLLAQccdeeffawvhuvj,-1,6
gLLAQaddefffjhaxvgk,1,6
gLLMQbdeeffflvaiqqr,-1,6
gLLAQbdeeffflvuqxxo,-1,6
gLLQPccddefflnnouar,-1,6
gvLQQcdeffeffwbeubh,-1,6
gLLAQbdeefffdwxtatc,-1,6
gLLPQccdeffflnjpmbs,-1,6
gLLPQcdefeffpfxxpdb,-1,6
gLLAQbcedffftsafxvc,-1,6
gLLAQbddeeffhcrlunj,-1,6
gLLPQccdfeffqffahkv,-1,6
gLLAQbcedffftsqfakc,-1,6
gLLAQbcdeffflkbmlbb,-1,6
gLLPQcdeffefakedxdk,-1,6
gLLAQbddeeffxjrxqrj,1,6
gLLAQbddefffxvkxurw,-1,6
gLLMQbdedfffhfanxof,1,6
gLLAQbddeeffxvrdtck,-1,6
gLLMQccdefffpkveqvs,1,6
gLLPQcdfefeftrhuadr,-1,6
gLLMQbcdeffftskpqnn,-1,6
gLLMQccdefffajvihjk,-1,6
gLLAQbeddfffdtjgekk,-1,6
gLLAQccedffflnmnunb,-1,6
gLvQQbefdfefdahfehr,1,6
gLLAQcdeeffflcpuqmo,1,6
gvLQQcdeffeffwbuubh,-1,6
gLvQQbefdfefdapfeps,-1,6
gvLQQcdefeffffkpcal,1,6
gLLAQcdeeffflcuaqmv,1,6
gLLAQcdeeffflcapqmb,-1,6
gLvQQbefdfefadlfdtw,-1,6
gLLPQcdeffefareehho,-1,6
gLLAQbcdeffflrwitww,-1,6
gLLPQccdfeffhwgaxrn,-1,6
gLLAQbcdeeffljgeejn,-1,6
gLLAQbcdeffflccdlww,-1,6
gLLAQbcdeefftjgeejj,-1,6
gLLAQbdeefffdgepqaw,-1,6
gLLMQccdefffajvednr,-1,6
gLLAQbddeffferkpqjj,-1,6
gLLAQccedffflninanb,-1,6
gLLAQbddeeffanrlucj,-1,6
gLLAQbcdeeffxbraark,-1,6
gLLAQaddefffnhaevjk,-1,6
gLLAQccdeeffakveuvn,-1,6
gLLQPcdcdeffugkwmaw,-1,6
gLLMQbdeefffljaippo,-1,6
hLLLQkccfgegfgqfaaugfw,-1,7
hLLAPkccedgfggqfxfccfk,1,7
hLLLQkbdefffggevmudnkk,-1,7
hLLLQkbddffgggevfpjvoo,-1,7
hLLAMkcedefgggplvuufjg,1,7
hLLLQkbddffgggdwfpknno,-1,7
hLLAPkbdeegfggdwepqwff,-1,7
hLLLQkbdefffggdwhudrgj,1,7
hLLAAkbdedffggdsevivpg,-2,7
hLLLQkbdeegfggdsxpxcfo,-1,7
hLLMAkccdfefgglbvxtglw,-1,7
hLLAMkbdedffggdsuvdgif,-2,7
hLLAMkbeedffggapuwaocw,-1,7
hLLzQkcdefggfgawpxmbjc,-1,7
hLLLQkbedgffggeanxhkvw,-1,7
hLLPMkccdefgggqfritamp,-1,7
hLLLQkbddfggfgawrdjnks,-1,7
hLLAMkccdefggghwvlamqq,-1,7
hLLPPkcdefgfggagxhpknr,-1,7
hLLLQkbedegfggaifpdgkw,-1,7
hLLAPkcedegfggplvuabgg,-1,7
hLLLQkbcegffggakmatkkv,-1,7
hLLPMkcdeffgggafuhasvg,-1,7
hLLzQkcdegffggasuilcoc,-1,7
hLLPMkcdeffgggaguhawvg,-1,7
hLLLQkcdffgggfafhaxkjf,-1,7
hLwLQkacefggfgbgcgngrk,-2,7
hLwLQkacefggfgbgcgfgsk,-2,7
hLLAPkcedegfgghtvuabrr,-1,7
hLLzQkcdfgegfgawhiljrk,-1,7
hLLzQkcdefgfggawuxxkon,-1,7
hLLLQkbdeegfggewlxxffk,-1,7
hLLPAkccdeffgguffetwxk,-1,7
hLLLQkbdegefggdwxplcko,-1,7
hLLLQkbdegefggeslllfrk,1,7
hLLMMkbcefegggasxmigsn,-1,7
hLLAPkccedfgggpwarvcrw,-1,7
hLLPAkccdeffggpwretwxj,1,7
hLLMPkbdedgfggxkdfbrcc,-1,7
hLLAPkccedfggghwarvckw,-1,7
hLvAQkadfeggfgnaicvjwf,-1,7
hLLLQkbedeffgghqfpxcjk,-1,7
hLLAAkccdeefgghwvlqkaj,-1,7
hLLLQkcedgefgghtrhqfnn,-1,7
hLLAMkbdedffggdwxsqgif,-2,7
hLLAAkbdedffggdwdsmvpg,-2,7
hLLLQkcddegfgglgfmwsjj,-1,7
hLLAMkbeedffggaxukaocw,-1,7
hLLPMkccdfegggqffaqxpp,-1,7
hLLAMkbcedfgggtsafhahx,-1,7
hLLLQkbedegfggaifmdgkn,-1,7
hLLAMkbcedfgggtsxfahdd,-1,7
hLLPPkcdefgfggqsuearnv,-1,7
fLLQccceddeqfhjjw,1,5
