id,oriented,tetrahedra
eLPkbcddddjwnw,1,4
fLLQcbcedeetsxfda,1,5
fLLQccdcdeelgrfmw,0,5
fLLQcbcedeetsdfmd,-1,5
fLLQcbedededtoufu,-1,5
fLLQcbcedeetjhfda,-1,5
gLLAQbcdeefftsreejn,-1,6
gLLAQbcedffftsafanw,-1,6
gLvQQbefdeffadufmlf,-1,6
gLLPQccdfefflnkaaof,1,6
eLPkaccddjnkaj,1,4
gLLAQccdeeffakveivn,-1,6
gLLAQbddeeffxvrxlrk,-1,6
gLvQQadefeffjahhrfc,-1,6
gLLMQcededffahvewwj,0,6
gLLAQccdeeffawvhqvj,-1,6
gLLAQbcdeeffpfreeok,0,6
gLLMQbdeeffflnaixxo,-1,6
gLLMQbdeeffftvtummv,0,6
gLLQPccddefflnnruar,-1,6
gvLQQcdeffefjjfthbq,-1,6
gLLAQbdeefffdwmqatj,-1,6
gLLPQccdfefflbnainw,-1,6
gLLPQcdefeffuoueixj,-1,6
gLLAQbcedffftsafmvc,-1,6
gLLMQbddeeffxjrqqwk,-1,6
gLLPQccdefffhkottof,-1,6
gLLAQbcedffftstfawr,-1,6
gLLAQbcdeffflkjmevv,-1,6
gLLPQcdeffefaoedxdk,-1,6
eLPkbcddddkokg,1,4
gLLAQbddeeffxvrxqrj,-1,6
gLLAQbddefffxvkxirw,-1,6
gLLMQbdedfffhganxof,-1,6
gLLMQccdefffajvedor,-1,6
gLLAQbddefffdoklqkk,-1,6
gLLMQbcdeffftskuqgg,-1,6
gLLMQccdefffajvidjk,-1,6
gLLAQccedffflninanj,-1,6
gLLAQccedffflnmnanb,-1,6
gLLAQbcdeffflrwilww,-1,6
gLLPQccdfeffhwgaxon,-1,6
gLLAQbcdeefftjgeejn,-1,6
hLvAQkadfeggfgnaecvjko,-1,7
hLLPAkccdeffggqffetwxk,-1,7
hLwMMkaceeffggjgqkscxr,-1,7
hLLMAkccdfefgglnvxtglw,-1,7
hLLLQkbedeffggdqfpxcjk,-1,7
hLLAPkcdedgfggtsanvoov,-1,7
hLLAAkbcedefggtsxfaoan,-1,7
hLLAAkbdedffggdwesmvpg,-2,7
hLLLQkbdegefggdwxplcfo,-1,7
hLLAMkbdedffggdwusqgif,-2,7
