id,oriented,tetrahedra
eLPkbcdddhwwjs,1,4
fLLQcbcdeeehjnteq,1,5
fLLQcbededexxnhfh,1,5
fLLQcbcdeeehbcpxi,1,5
gLLAQbcdeeffhvnmmcn,1,6
gLLPQcdeffefhfaaaxw,-1,6
gvLQQcdeffefkwshdbu,1,6
gLLPQccdefffqfrieoj,1,6
gLLPQcdeffeflrapqds,-1,6
gLLMQbcdeffflskuukg,0,6
gLLAQbdedfffdkegawk,0,6
gLLAQccdefffhwklqnn,-1,6
gLLPQcdeffefarxhalk,-1,6
gLLAQbcedfffhwlneoo,-1,6
gLLMQbcdefffhwkitjv,1,6
gLLMQbcdeffflsjdlwn,1,6
gLLMQbcdfefftjsetnw,-1,6
gLLMQbcdefffhwkdtjj,-1,6
gLLAQccedfffhwxgank,-1,6
gLLAQbedeeffhhniphj,1,6
gvLQQcdefeffjfktfmi,-1,6
gLvQQbefdfefdadnehr,0,6
gLLMQbdeefffxvulqqv,-1,6
gLLMQbceefffajhmaqr,-1,6
gLLAQbcdeeffxccxqkw,1,6
hLvAQkadefgfggnahovkbg,1,7
hLwLQkacfgegfgjgsobnbc,-1,7
hLLMMkbcdfefgglskmtjew,0,7
hLLMAkbcdeffgglsbhuslj,0,7
hLvAQkadfeggfgnaxcvkrg,1,7
hLLMMkbceeffggxkthmnow,-1,7
hLLLQkbedeffgghhfqlggk,-1,7
hLLLQkcddfeggghrgqnbwb,-1,7
hLLAPkcdedgfgghsacjwsg,-1,7
hLLAPkcdedgfggqragvcrc,-1,7
hLLAAkbcedefgghvdfpvan,-1,7
hvLAQkcdefgfggbrchldpn,-1,7
hvLAQkcdfegfggfjasuimv,-1,7
hLLLQkbcgfefgglsdetkkc,-1,7
hLLLQkbcfegfgglspelkcv,-1,7
hLLLQkcefefggglhdqilgs,-1,7
hvLAQkcedfgfggwvceeduw,-1,7
hLLAMkcedefgggplvamooj,-1,7
hLLLQkcdegffggqkxmtkff,-1,7
hvLAQkcdegfgfgnjkaldtg,-1,7
hLLAPkcedefgggtavuurfo,-1,7
hLvAQkbefeggfgaelpaqfn,-1,7
hLLLQkcdefegggqruqqjvv,-1,7
hLLzQkcdegffggasuqljok,-1,7
hLLLQkcdefegggarmqijkc,-1,7
hLLLQkcdfegfggprlppbww,1,7
hvLAQkcefefgggjrajqqho,-1,7
hLLLQkcdefegggawmxujno,-1,7
hvLAQkcdegfgfgnwbtlulr,-1,7
hvLAQkcdegfgfgwnkdpals,1,7
hLLLQkccegfgfgqvmaecjg,-1,7
hLLLQkbdegffgghgphibjf,-1,7
hLLAPkbcdefggglsbmwovc,0,7
hLLAPkbcdefggglsbmwcfj,0,7
hLLMMkbceefggghwluhboj,1,7
hLLLQkbdeefggghgpmposj,-1,7
hLLLQkbdeefgggerqqtwsf,-1,7
hLLLQkbcefggfghvqutccr,1,7
hLLMPkccdffggghfvxwoov,-1,7
hLLMPkbceefggghvdqurff,-1,7
hLLAPkccedfggghfajvwbj,-1,7
hLLAPkccedfggghfpjbwkw,-1,7
hvLAQkcdfegfggjjasqeho,-1,7
hvLAQkcedgfgfgkkchmeio,-1,7
hvLAQkcedgfgfgvvsexaqk,-1,7
hvLAQkcefefgggnvqneipf,-1,7
hLLLQkcdfgegfgtcepusfw,-1,7
hLLLQkbcgefgfgdfmxejbv,-1,7
hLLLQkcdefeggglruqdgsj,-1,7
hLLLQkcdefegggtruqpgww,-1,7
hLLAMkcedefggghavxmjsg,-1,7
hLvAQkbefggefgaqudaufv,-1,7
hLLPPkcdefeggglcdepvvo,0,7
hLLLQkbdegefggevlppfrw,-1,7
hvLPQkcdefggfgkcwxhdak,0,7
hLLMMkcedffgggplvtefcb,-1,7
hLLPPkcdefegggtcpeubvb,-1,7
hLLLQkbdeegfggdsxpxckk,0,7
hLLAPkceddgfggtasbrrfo,-1,7
hLLMAkbdedffggdsdrxjmk,-1,7
hLLLQkbdgfefggdkauubrr,-1,7
hvLAQkcedfgfggkwcdumun,-1,7
hLLLQkbddffggghwfpknfo,-1,7
hLLzQkcdegfgfgpwaptofs,0,7
hLLLQkcdfeggfglkpitgfb,-1,7
hLLLQkbdfegfgglvmdqgor,-1,7
hLLLQkbdggeffgdsqtdjjo,-1,7
hLLLQkbddgffggdkfmjjoo,0,7
hLLMAkbcdeffggtbbhislk,-1,7
hLLAPkbddegfggdsnhngkk,-1,7
hLLAMkbcdefgggtccdahie,-1,7
hLLAMkcddefggghrvaqahq,-1,7
hLLLQkbeegefgghaxhqhfk,-1,7
hLLLQkcdeegfggasmpdbof,-1,7
hLLAAkbddeffgghwjqislg,-2,7
hLLAMkbddeffgghwjplcmf,-2,7
hLLPPkcdefgfgghsuqarjb,-1,7
hLLAMkbcdefgggtcndqaee,-1,7
hLLLQkbedegfggahfedksf,-1,7
hLLPMkcdeffgggagqeawbg,-1,7
hLvAQkbeffegggaxxmhisr,-1,7
hLLzQkcdefggfgafxapcvj,-1,7
hLwLQkacefggfgbgrgfnor,-2,7
hLwLQkacefggfgbgggvnrw,-2,7
hLLzQkcdefgfggasuaxrow,-1,7
hLLAPkcedegfggpqvxanss,-1,7
hLLzQkcdfeggfgakqemokn,-1,7
hLLLQkcdegefgghcqqarbb,-1,7
hLLAMkbddefgggevohaptt,-1,7
hLLAMkbcdefggghjotaime,-1,7
hLLAMkbddefgggevopiaqe,-1,7
hLLMMkbceeffggxkuhafcv,-2,7
hLLMAkccdfefggqjrpqjmg,-2,7
