target,source,label
fvPQccdedeecojgkn,eLPkbcdddlfffg,Face: 8
fLLQcbcdeeetsjaet,eLPkbcdddlfffg,Face: 7
fLLQcbecdeeppnfpu,eLPkbcdddlfffg,Face: 5
eLMkbbddddhapu,fvPQccdedeecojgkn,Edge: 8
gLLPQcdeffefpoaappo,fvPQccdedeecojgkn,Face: 10
gLLAQcdeefffawipdeb,fvPQccdedeecojgkn,Face: 9
gLLAQcedefffaivmixj,fvPQccdedeecojgkn,Face: 8
gLLPQcdeffeftsapllb,fvPQccdedeecojgkn,Face: 7
gLLPQcdeffefuouuapo,fvPQccdedeecojgkn,Face: 6
gLLAQcdeefffawxudeo,fvPQccdedeecojgkn,Face: 5
gLLPQcdefefflwapxxb,fvPQccdedeecojgkn,Face: 4
gLLAQcedefffpavuupb,fvPQccdedeecojgkn,Face: 3
gLLPQcdfeeffawdpllc,fvPQccdedeecojgkn,Face: 2
gLLPQcdefeffavppuao,fvPQccdedeecojgkn,Face: 1
gLLPQccdefffqffqqof,fLLQcbcdeeetsjaet,Face: 10
gLLPQcdefeffhsaetlk,fLLQcbcdeeetsjaet,Face: 9
gLLMQbcdfeffxccmuvo,fLLQcbcdeeetsjaet,Face: 8
gLLMQbddeeffxvgmukk,fLLQcbcdeeetsjaet,Face: 7
gLLAQbdeefffdwedxxw,fLLQcbcdeeetsjaet,Face: 4
gLLAQbdedffftfmvpff,fLLQcbcdeeetsjaet,Face: 3
gLLPQccdeffflnnqhnw,fLLQcbcdeeetsjaet,Face: 2
gLLMQbddeeffxvgmukk,fLLQcbecdeeppnfpu,Face: 10
gLLAQaedefffjdausvs,fLLQcbecdeeppnfpu,Face: 9
gLLAQaedefffndaqsvs,fLLQcbecdeeppnfpu,Face: 8
gLwAQacdeeffjghhbhn,fLLQcbecdeeppnfpu,Face: 7
gLLQPcdcdeffpvbbxaj,fLLQcbecdeeppnfpu,Face: 4
gLLAQbeddfffddcfdcc,fLLQcbecdeeppnfpu,Face: 3
fLAPcbbceeedhgjnb,eLMkbbddddhapu,Face: 7
fLAPcbbceeedhrron,eLMkbbddddhapu,Face: 6
fLAPcbbceeedhwwsv,eLMkbbddddhapu,Face: 5
fLAPcacceeejgnksb,eLMkbbddddhapu,Face: 3
fLAPcacceeengbksb,eLMkbbddddhapu,Face: 2
hLvAQkbefefgggdaqppxvb,gLLPQcdeffefpoaappo,Face: 12
hLLLQkbcfegfggebpaejbv,gLLPQcdeffefpoaappo,Face: 11
hLLLQkcdfgegfgdcauagfo,gLLPQcdeffefpoaappo,Face: 10
hLLzQkcdfegfgguouiujnv,gLLPQcdeffefpoaappo,Face: 9
hLLLQkbcfgefgglsmaagsv,gLLPQcdeffefpoaappo,Face: 8
hvLAQkcdefggfgbvolaadk,gLLPQcdeffefpoaappo,Face: 7
hLvMQkbefefggglatttpos,gLLPQcdeffefpoaappo,Face: 6
hLLLQkccfgegfgqfaulnfo,gLLPQcdeffefpoaappo,Face: 5
hLwLQkacgeffggjgjcjjgb,gLLPQcdeffefpoaappo,Face: 4
hLLLQkcdfgegfgafdmegfs,gLLPQcdeffefpoaappo,Face: 3
hLLLQkbedfgfggeabiewbw,gLLPQcdeffefpoaappo,Face: 2
hLLLQkcdfgegfgafeidrfw,gLLPQcdeffefpoaappo,Face: 1
hLLLQkcdfgegfgdcatajfo,gLLAQcdeefffawipdeb,Face: 12
hLLAMkbdeeffggdgapioob,gLLAQcdeefffawipdeb,Face: 11
hLLAMkbdeeffggdkapaocv,gLLAQcdeefffawipdeb,Face: 10
hLLLQkbedfgfgglufqdgfv,gLLAQcdeefffawipdeb,Face: 9
hLLLQkbedfgfggaufhdsjr,gLLAQcdeefffawipdeb,Face: 8
hLLAMkbdeefgggevxxafwc,gLLAQcdeefffawipdeb,Face: 7
hLLAMkbdeefgggmviiajws,gLLAQcdeefffawipdeb,Face: 6
hLLAMkbdeefgggmviiajvc,gLLAQcdeefffawipdeb,Face: 5
hLLPAkceeffeggaimqaqok,gLLAQcdeefffawipdeb,Face: 4
hLLLQkbedfgfggaafhewbo,gLLAQcdeefffawipdeb,Face: 3
hLLLQkbedfgfggaufqdgnv,gLLAQcdeefffawipdeb,Face: 2
hLLLQkbedfgfggaefmdgfj,gLLAQcdeefffawipdeb,Face: 1
hLLLQkbedfgfggaaflivsn,gLLAQcedefffaivmixj,Face: 12
hLLLQkbedfgfggauftqkwb,gLLAQcedefffaivmixj,Face: 11
hLLAMkbdeefgggmviiavvs,gLLAQcedefffaivmixj,Face: 10
hLLAMkbdeefgggdwuuawwc,gLLAQcedefffaivmixj,Face: 9
hLLLQkbedfgfggaefhdsfw,gLLAQcedefffaivmixj,Face: 8
hLLAMkbdeeffggerdxarcv,gLLAQcedefffaivmixj,Face: 7
hLLPAkceeffeggaimdaqor,gLLAQcedefffaivmixj,Face: 5
hLLAMkbdeefgggajmiajvc,gLLAQcedefffaivmixj,Face: 4
hvLAQkcdefggfgovvlppdk,gLLPQcdeffeftsapllb,Face: 12
hLLLQkbcfgefggtspadgfv,gLLPQcdeffeftsapllb,Face: 11
hLLLQkbedfgfggdqftqsnb,gLLPQcdeffeftsapllb,Face: 10
hLLAMkcedefgggiivaawvw,gLLPQcdeffeftsapllb,Face: 9
hLLAMkcedefgggiivaagbc,gLLPQcdeffeftsapllb,Face: 8
hvLAQkdcefggfgovfihatf,gLLPQcdeffeftsapllb,Face: 7
hLLLQkbcfgegfglbpatrnv,gLLPQcdeffeftsapllb,Face: 6
hLwLQkacfgefggjgvbbkgn,gLLPQcdeffeftsapllb,Face: 5
hLLLQkccegfgfgqfdamfro,gLLPQcdeffeftsapllb,Face: 4
hLLLQkcdfeggfgaoptasfb,gLLPQcdeffeftsapllb,Face: 3
hLLLQkbedgffggaifdtgro,gLLPQcdeffeftsapllb,Face: 2
hLLLQkcdfeggfgaopeakrb,gLLPQcdeffeftsapllb,Face: 1
