id,oriented,tetrahedra
eLPkbcdddlfffg,1,4
fvPQccdedeecojgkn,0,5
fLLQcbcdeeetsjaet,1,5
fLLQcbecdeeppnfpu,0,5
eLMkbbddddhapu,1,4
gLLPQcdeffefpoaappo,0,6
gLLAQcdeefffawipdeb,-1,6
gLLAQcedefffaivmixj,0,6
gLLPQcdeffeftsapllb,0,6
gLLPQcdeffefuouuapo,0,6
gLLAQcdeefffawxudeo,-1,6
gLLPQcdefefflwapxxb,0,6
gLLAQcedefffpavuupb,0,6
gLLPQcdfeeffawdpllc,-1,6
gLLPQcdefeffavppuao,-1,6
gLLPQccdefffqffqqof,1,6
gLLPQcdefeffhsaetlk,0,6
gLLMQbcdfeffxccmuvo,1,6
gLLMQbddeeffxvgmukk,0,6
gLLAQbdeefffdwedxxw,-1,6
gLLAQbdedffftfmvpff,-1,6
gLLPQccdeffflnnqhnw,-1,6
gLLAQaedefffjdausvs,0,6
gLLAQaedefffndaqsvs,0,6
gLwAQacdeeffjghhbhn,0,6
gLLQPcdcdeffpvbbxaj,0,6
gLLAQbeddfffddcfdcc,-1,6
fLAPcbbceeedhgjnb,0,5
fLAPcbbceeedhrron,1,5
fLAPcbbceeedhwwsv,1,5
fLAPcacceeejgnksb,0,5
fLAPcacceeengbksb,1,5
hLvAQkbefefgggdaqppxvb,-1,7
hLLLQkbcfegfggebpaejbv,0,7
hLLLQkcdfgegfgdcauagfo,-1,7
hLLzQkcdfegfgguouiujnv,0,7
hLLLQkbcfgefgglsmaagsv,0,7
hvLAQkcdefggfgbvolaadk,-1,7
hLvMQkbefefggglatttpos,-1,7
hLLLQkccfgegfgqfaulnfo,-1,7
hLwLQkacgeffggjgjcjjgb,-1,7
hLLLQkcdfgegfgafdmegfs,-1,7
hLLLQkbedfgfggeabiewbw,-1,7
hLLLQkcdfgegfgafeidrfw,0,7
hLLLQkcdfgegfgdcatajfo,-1,7
hLLAMkbdeeffggdgapioob,-2,7
hLLAMkbdeeffggdkapaocv,-2,7
hLLLQkbedfgfgglufqdgfv,-1,7
hLLLQkbedfgfggaufhdsjr,-1,7
hLLAMkbdeefgggevxxafwc,-1,7
hLLAMkbdeefgggmviiajws,-1,7
hLLAMkbdeefgggmviiajvc,-1,7
hLLPAkceeffeggaimqaqok,-1,7
hLLLQkbedfgfggaafhewbo,-1,7
hLLLQkbedfgfggaufqdgnv,-1,7
hLLLQkbedfgfggaefmdgfj,-1,7
hLLLQkbedfgfggaaflivsn,0,7
hLLLQkbedfgfggauftqkwb,-1,7
hLLAMkbdeefgggmviiavvs,0,7
hLLAMkbdeefgggdwuuawwc,0,7
hLLLQkbedfgfggaefhdsfw,-1,7
hLLAMkbdeeffggerdxarcv,-2,7
hLLPAkceeffeggaimdaqor,0,7
hLLAMkbdeefgggajmiajvc,0,7
hvLAQkcdefggfgovvlppdk,0,7
hLLLQkbcfgefggtspadgfv,0,7
hLLLQkbedfgfggdqftqsnb,-1,7
hLLAMkcedefgggiivaawvw,0,7
hLLAMkcedefgggiivaagbc,-1,7
hvLAQkdcefggfgovfihatf,-1,7
hLLLQkbcfgegfglbpatrnv,-1,7
hLwLQkacfgefggjgvbbkgn,0,7
hLLLQkccegfgfgqfdamfro,-1,7
hLLLQkcdfeggfgaoptasfb,-1,7
hLLLQkbedgffggaifdtgro,-1,7
hLLLQkcdfeggfgaopeakrb,-1,7
