id,oriented,tetrahedra
eLPkbdcddhgggb,1,4
fLLQcbcedeemktfam,0,5
fLLQcbcdeeelsfxet,0,5
eLPkbdcddmgogo,1,4
gLvQQbefdeffamtfeuf,0,6
gLLAQbcdefffmgohloo,-1,6
gLLAQbddefffmkfpafw,0,6
gLLAQbddefffmvopafw,0,6
gLLAQbcedfffhgafasg,-1,6
gLvQQbefdeffaqafaqf,0,6
eLMkbcddddedae,1,4
gLLAQbcdefffakfmpnw,-1,6
gLLAQcddefffarvmerj,0,6
gvLQQcdeffefjvgllvi,0,6
gLLPQccdfefflnnptwf,0,6
gLLMQbcefeffajhddlg,-1,6
gLLMQbdeefffhgahaag,0,6
gLLMQbdedeffxvesenr,0,6
fLLQcbdeedemkamrl,0,5
fLLQcbdeedemkamvq,1,5
fvPQccdedeecckcjf,1,5
hLLzQkcdefgfggavmpdfjb,-1,7
hLLMPkcedegfggddvaaogg,0,7
hLLzQkcdefggfgavmadjfk,0,7
hLLLQkcdefggfgavuauofn,0,7
hLwLQkacefgfggbgogsggf,-2,7
hLLMMkbcdeffggmgoaagto,-2,7
hLLMMkbcdeffggmgoimglc,-2,7
hLLLQkbddffgggmkflvkwo,-1,7
hLLLQkbddffgggmvfmvkwo,-1,7
hLLLQkbedegfggmafhxsro,-1,7
hLLzQkcdfgefggavllxrbf,-1,7
hLLLQkcdgegffgikahekfw,-1,7
hLLLQkbedfggfgpajehcwc,-1,7
hLLLQkbddfggfgmvnhbbnb,-1,7
hLLLQkbedegfggaefxdgsv,-1,7
hLLAMkbcedfgggmktfaiaa,-1,7
hLLPPkcdfegfggafpeifwk,-1,7
hLLzQkcdegfgfgdcaiaofw,0,7
hLLLQkcddegfggivfajvvw,0,7
hLLLQkcddefgggivfxcjvw,0,7
hvLPQkcdefgfggoofqqaqf,0,7
hLLMPkbceefggghgmtafsc,-1,7
hLLMMkcedffgggiivdhnrn,-1,7
hLLLQkcdegfgfgdgqtiffg,-1,7
hLLMPkbceefgggmktaqgff,-1,7
hLLAPkcdedgfggdvagvwvs,-1,7
hLLAPkcdedfgggdvxgwcvs,0,7
hLLMPkbcefgfggpwlqafvf,-1,7
hLLzQkcdegfgfgdcataofg,0,7
hLLLQkcddefgggicsxcjvw,0,7
hvLPQkcdefgfggfffqqaqf,0,7
hLLMMkbcefegggxvpamoro,-1,7
hLLwQkcedfggfgiivhxknk,-1,7
hLLLQkcdegfgfgdgqiiffw,-1,7
hLLMPkbceefgggagtmhcsc,-1,7
hLLAPkcdedgfggdcarvwvs,-1,7
hLLAPkcdedfgggdcxrwcvs,0,7
