id,oriented,tetrahedra
fLAMcaccdeennbqqn,1,5
gLLAQcceeeffubiqdxj,1,6
gLALQbcbeeffxxjgbqj,1,6
gLLAQacdeeffnkudwij,1,6
gLLAQacdefefnbxahkj,1,6
gLAPPcbceeffudbgsxr,-1,6
hLLAAkbddeefggxwnxxbqn,1,7
hLLLQkbdegeggftviutssj,1,7
hLLLQkbefegggfluquhxwn,1,7
hLLAMkbdedfgfgdsavpxjr,-1,7
hLALPkbccfggfgdigdedqw,-1,7
hLLMMkbcdeffgglrwhtrhr,-1,7
hLLAAkceddefggtavkhcqn,-1,7
hLLMAkbddeefgganrpukhs,-1,7
hLLAAkbecdefggainfqsxr,-1,7
hLLAAkcdeefegglkheaphj,-1,7
hLALPkbcbffgggxxjehtac,1,7
hLALAkacceffggnsjslqsj,-1,7
hLAwAkbccdffggdigdgbxn,-1,7
hLLMAkaddeefggnapxwbqn,-1,7
hLAMzkaccdefggnnbaaqqn,-1,7
hLALAkbcbeefggxxjskqqj,-1,7
hLLMMkbcdeffggebbtibtj,-1,7
hLLAAkacdeefggnkadouqw,-1,7
hLvQAkaefdefggnhqhffxr,-1,7
hLLAMkcedefgfgqpvthwjj,1,7
hLLAMkbdedffgglvdgakiw,-1,7
hLLAAkbdedffgglvagukiw,-1,7
hLLPAkacefefggjbxscsij,-1,7
hLLAMkaedeffggnaaqcwqk,-1,7
hLLAAkcedcffgghavnustk,-1,7
hLLAAkaddeefggjiapcfhn,1,7
hLLMAkcbedffggpjajmodr,1,7
hLALPkbccegffgdignuurr,-1,7
hLLLQkcedffeggthfeenrn,-1,7
hLLPMkcdcfegfgqcnqaakw,-1,7
hLLPAkcdeffegglwaddlin,-1,7
hLAwAkcbcdffggaakhcshn,-1,7
hLALMkaccfefggnnbabqrn,-1,7
hLAvQkaccfgfggnnbamqlr,-1,7
