target,source,label
gLALQbcbeeffhhjcras,fLAMcbbcdeedhrxxr,Face: 10
gLALQbcbeeffxxjnkqj,fLAMcbbcdeedhrxxr,Face: 9
gLLPQcdcefffhsnmlkj,fLAMcbbcdeedhrxxr,Face: 8
gLAMPbbcdeffdhgqqqw,fLAMcbbcdeedhrxxr,Face: 7
gLLAQacddfffnkamxul,fLAMcbbcdeedhrxxr,Face: 5
gLALQbbcefffeivspph,fLAMcbbcdeedhrxxr,Face: 3
hLALAkaccfefggjgnebpfr,gLALQbcbeeffhhjcras,Face: 12
hLLAAkaedeefggnmaekkqw,gLALQbcbeeffhhjcras,Face: 11
hLAwAkcbcdffgglegenbaj,gLALQbcbeeffhhjcras,Face: 8
hLALPkbcbfgfgghhjaieqn,gLALQbcbeeffhhjcras,Face: 5
hLALAkbcbeefgghhjsjhak,gLALQbcbeeffhhjcras,Face: 4
hLALPkbcbefgfgxxjgaqnw,gLALQbcbeeffhhjcras,Face: 3
hLALAkacceffggngbslqsj,gLALQbcbeeffxxjnkqj,Face: 12
hLLMAkaddeefggnuadjnqn,gLALQbcbeeffxxjnkqj,Face: 11
hLAwAkbccdffggdigdsjxn,gLALQbcbeeffxxjnkqj,Face: 8
hLALPkbcbffgggxxjeittc,gLALQbcbeeffxxjnkqj,Face: 5
hLALAkbcbeefggxxjgsaaj,gLALQbcbeeffxxjnkqj,Face: 2
hLAMzkaccdefggnsnxxqqn,gLALQbcbeeffxxjnkqj,Face: 1
hLLAAkcddeefgglcvatnhj,gLLPQcdcefffhsnmlkj,Face: 12
hLLAAkcedefeggthvaxaxr,gLLPQcdcefffhsnmlkj,Face: 11
hLLPAkcdcfefgghsnaislk,gLLPQcdcefffhsnmlkj,Face: 10
hLvPQkccgfefgghnahhvvo,gLLPQcdcefffhsnmlkj,Face: 9
hLALPkcbcegfggudbsmdsc,gLLPQcdcefffhsnmlkj,Face: 8
hLLAMkbdedffggdkugaohj,gLLPQcdcefffhsnmlkj,Face: 6
hLLMMkbcdeffgglrwdmrlk,gLLPQcdcefffhsnmlkj,Face: 5
hLLAAkcedeefggahvdixxj,gLLPQcdcefffhsnmlkj,Face: 3
hLALMkbcbfeggghhjavusk,gLLPQcdcefffhsnmlkj,Face: 2
hLLAAkbdeeefggdguumaxj,gLLPQcdcefffhsnmlkj,Face: 1
hLALAkbbceffggxmvsppns,gLAMPbbcdeffdhgqqqw,Face: 12
hLLAAkceedefgglumnmahj,gLAMPbbcdeffdhgqqqw,Face: 11
hLAMLkbccdegggdigdqscv,gLAMPbbcdeffdhgqqqw,Face: 8
hLALPkbcbefggghhjspqnn,gLAMPbbcdeffdhgqqqw,Face: 5
hLAMLkbcbdeggghhjhakof,gLAMPbbcdeffdhgqqqw,Face: 3
hLAMzkaccdefggjgnxhhhj,gLAMPbbcdeffdhgqqqw,Face: 2
hLAMzkaccdefggngbqqqqn,gLAMPbbcdeffdhgqqqw,Face: 1
hLALAkaccfefggjgnebpfr,gLLAQacddfffnkamxul,Face: 12
hLALAkacceffggngbslqsj,gLLAQacddfffnkamxul,Face: 11
hLLLQkadefggfgjixgkkcr,gLLAQacddfffnkamxul,Face: 10
hLALAkbbceffggxmvsppns,gLLAQacddfffnkamxul,Face: 9
hLLLQkacfeggfgnkgrkfkw,gLLAQacddfffnkamxul,Face: 8
hLLAPkceedfgggutpvacgv,gLLAQacddfffnkamxul,Face: 7
hLLAMkbcdeegggebblepml,gLLAQacddfffnkamxul,Face: 5
hLLAPkcddeegggacvxrgsj,gLLAQacddfffnkamxul,Face: 4
hLLAAkceedefggalxnxhhn,gLLAQacddfffnkamxul,Face: 3
hLMLPkbbdfefggdharjbqk,gLLAQacddfffnkamxul,Face: 2
hLALAkbbceffggldooahsn,gLLAQacddfffnkamxul,Face: 1
hLAwAkcbcdffgglegenbaj,gLALQbbcefffeivspph,Face: 12
hLAwAkbccdffggdigdsjxn,gLALQbbcefffeivspph,Face: 11
hLALPkcbcegfggudbsmdsc,gLALQbbcefffeivspph,Face: 10
hLAMLkbccdegggdigdqscv,gLALQbbcefffeivspph,Face: 9
hLALPkcbcegfggudbsmdsc,gLALQbbcefffeivspph,Face: 8
hLLAMkbcdeegggebblepml,gLALQbbcefffeivspph,Face: 7
hLLAMkbcdeegggebblepml,gLALQbbcefffeivspph,Face: 6
hLALAkbbceffggldooahsn,gLALQbbcefffeivspph,Face: 5
hLAMLkbccdegggaajhhvsj,gLALQbbcefffeivspph,Face: 4
hLALPkbbcfggfgdhraldxj,gLALQbbcefffeivspph,Face: 3
hLALAkbbceffggldooahsn,gLALQbbcefffeivspph,Face: 1
gLLAQacddfffnkamxul,hLALAkaccfefggjgnebpfr,Edge: 11
gLALQbbcefffeivspph,hLAwAkcbcdffgglegenbaj,Edge: 10
gLLAQacddfffnkamxul,hLALAkacceffggngbslqsj,Edge: 11
gLALQbbcefffeivspph,hLAwAkbccdffggdigdsjxn,Edge: 10
gLALQbbcefffeivspph,hLALPkcbcegfggudbsmdsc,Edge: 11
gLLAQacddfffnkamxul,hLALAkbbceffggxmvsppns,Edge: 11
gLALQbbcefffeivspph,hLAMLkbccdegggdigdqscv,Edge: 10
gLALQbbcefffeivspph,hLLAMkbcdeegggebblepml,Edge: 9
gLALQbbcefffeivspph,hLALAkbbceffggldooahsn,Edge: 10
