id,oriented,tetrahedra
fLAMcbbcdeedhrxxr,1,5
gLALQbcbeeffhhjcras,1,6
gLALQbcbeeffxxjnkqj,1,6
gLLPQcdcefffhsnmlkj,1,6
gLAMPbbcdeffdhgqqqw,1,6
gLLAQacddfffnkamxul,-1,6
gLALQbbcefffeivspph,-1,6
hLALAkaccfefggjgnebpfr,-1,7
hLLAAkaedeefggnmaekkqw,1,7
hLAwAkcbcdffgglegenbaj,-1,7
hLALPkbcbfgfgghhjaieqn,-1,7
hLALAkbcbeefgghhjsjhak,-1,7
hLALPkbcbefgfgxxjgaqnw,1,7
hLALAkacceffggngbslqsj,-1,7
hLLMAkaddeefggnuadjnqn,1,7
hLAwAkbccdffggdigdsjxn,-1,7
hLALPkbcbffgggxxjeittc,-1,7
hLALAkbcbeefggxxjgsaaj,-1,7
hLAMzkaccdefggnsnxxqqn,-1,7
hLLAAkcddeefgglcvatnhj,1,7
hLLAAkcedefeggthvaxaxr,1,7
hLLPAkcdcfefgghsnaislk,1,7
hLvPQkccgfefgghnahhvvo,-1,7
hLALPkcbcegfggudbsmdsc,-1,7
hLLAMkbdedffggdkugaohj,-1,7
hLLMMkbcdeffgglrwdmrlk,-1,7
hLLAAkcedeefggahvdixxj,-1,7
hLALMkbcbfeggghhjavusk,-1,7
hLLAAkbdeeefggdguumaxj,-1,7
hLALAkbbceffggxmvsppns,-1,7
hLLAAkceedefgglumnmahj,-1,7
hLAMLkbccdegggdigdqscv,-1,7
hLALPkbcbefggghhjspqnn,-1,7
hLAMLkbcbdeggghhjhakof,-1,7
hLAMzkaccdefggjgnxhhhj,-1,7
hLAMzkaccdefggngbqqqqn,1,7
hLLLQkadefggfgjixgkkcr,-1,7
hLLLQkacfeggfgnkgrkfkw,-1,7
hLLAPkceedfgggutpvacgv,-1,7
hLLAMkbcdeegggebblepml,-1,7
hLLAPkcddeegggacvxrgsj,-1,7
hLLAAkceedefggalxnxhhn,-1,7
hLMLPkbbdfefggdharjbqk,-1,7
hLALAkbbceffggldooahsn,-1,7
hLAMLkbccdegggaajhhvsj,-1,7
hLALPkbbcfggfgdhraldxj,-1,7
