target,source,label
gLAMPaccdeffjgnqqqs,fLAMcbbcdeedhwhhw,Face: 10
gLALQbcbeeffhhwcvaw,fLAMcbbcdeedhwhhw,Face: 9
gLLPQcdcefffhsrpunw,fLAMcbbcdeedhwhhw,Face: 8
gLAMPbbcdeffdhgxhhr,fLAMcbbcdeedhwhhw,Face: 7
gLLAQacddfffjkamtup,fLAMcbbcdeedhwhhw,Face: 5
gLALQbbcefffdhwsppd,fLAMcbbcdeedhwhhw,Face: 3
hLLAAkacdeefggjkaiwaxn,gLAMPaccdeffjgnqqqs,Face: 12
hLAzMkacceffggjgnkpprj,gLAMPaccdeffjgnqqqs,Face: 11
hLAwAkcbcdffggpigunohw,gLAMPaccdeffjgnqqqs,Face: 8
hLALPkcbbfggfghhraadmk,gLAMPaccdeffjgnqqqs,Face: 5
hLAPzkbcbeefgghhwwrqaj,gLAMPaccdeffjgnqqqs,Face: 4
hLALPkcbbegffghhrkahsn,gLAMPaccdeffjgnqqqs,Face: 3
fLAMcaccdeensnaxk,gLALQbcbeeffhhwcvaw,Edge: 11
hLLAAkaedeefggjaaekkqj,gLALQbcbeeffhhwcvaw,Face: 12
hLALAkaccfefggngbebpfn,gLALQbcbeeffhhwcvaw,Face: 11
hLAwAkbccdffggeikefoan,gLALQbcbeeffhhwcvaw,Face: 8
hLALPkbcbfgfgghhwaaetj,gLALQbcbeeffhhwcvaw,Face: 5
hLALAkbcbeefgghhwrjhar,gLALQbcbeeffhhwcvaw,Face: 2
hLAMzkaccdefggnsnxaxxk,gLALQbcbeeffhhwcvaw,Face: 1
hLLAAkbcedefggtsaflsxn,gLLPQcdcefffhsrpunw,Face: 12
hLLAAkccedefggqfifashr,gLLPQcdcefffhsrpunw,Face: 11
hLLPAkcdcfefgghsrmqwxk,gLLPQcdcefffhsrpunw,Face: 10
hLvPQkccgfefgghrlhqrrb,gLLPQcdcefffhsrpunw,Face: 9
hLALPkbccefgggeikbhmkw,gLLPQcdcefffhsrpunw,Face: 8
hLLMMkbcdfefgglcghtcqr,gLLPQcdcefffhsrpunw,Face: 7
hLALPkbccefgggeikbqdng,gLLPQcdcefffhsrpunw,Face: 6
hLLAAkbdedffggdwpgablj,gLLPQcdcefffhsrpunw,Face: 5
hLALMkbcbfeggghhwavhrj,gLLPQcdcefffhsrpunw,Face: 3
hLLAAkcedeefggalvuhqqj,gLLPQcdcefffhsrpunw,Face: 2
hLLAAkbdeefeggdwuuxlqj,gLLPQcdcefffhsrpunw,Face: 1
hLLAAkceedefggllxnxxqj,gLAMPbbcdeffdhgxhhr,Face: 12
hLALAkbbceffgghegnixnr,gLAMPbbcdeffdhgxhhr,Face: 11
hLAMLkbccdegggdmgdxowf,gLAMPbbcdeffdhgxhhr,Face: 8
hLALPkbcbegfggxxnnaekk,gLAMPbbcdeffdhgxhhr,Face: 5
hLAMLkbcbdeggghhwqagbs,gLAMPbbcdeffdhgxhhr,Face: 3
hLAMzkaccdefggjgnxxqqj,gLAMPbbcdeffdhgxhhr,Face: 2
hLAMzkaccdefggngbqhxxk,gLAMPbbcdeffdhgxhhr,Face: 1
hLAzMkacceffggjgnkpprj,gLLAQacddfffjkamtup,Face: 12
hLALAkaccfefggngbebpfn,gLLAQacddfffjkamtup,Face: 11
hLLLQkacfeggfgjkgrkbbw,gLLAQacddfffjkamtup,Face: 10
hLALAkbbceffgghegnixnr,gLLAQacddfffjkamtup,Face: 9
hLLLQkadefggfgnixgsgcn,gLLAQacddfffjkamtup,Face: 8
hLLAPkceedfgggphuouwon,gLLAQacddfffjkamtup,Face: 7
hLLAMkbcdeegggdfbxdihp,gLLAQacddfffjkamtup,Face: 5
hLLAAkceedefggaphkeqqj,gLLAQacddfffjkamtup,Face: 4
