id,oriented,tetrahedra
fLAMcbbcdeedhwhxn,1,5
gLAMPaccdeffjgnqqxk,1,6
gLALQbcbeeffxhncvaw,1,6
gLLPQcdcefffqsjpunw,1,6
gLAMPbbcdeffdhgxhqj,1,6
gLLAQaceefffjktxdhp,-1,6
gLALQbbcefffdhwsimq,-1,6
hLLAAkacdeefggjkaiwahw,1,7
hLAzMkacceffggjgnkppgr,-1,7
hLAwAkbccdffggdmgunohw,-1,7
hLALPkcbbfggfghqjaadmk,-1,7
hLAPzkbcbeefgghxwknqas,-1,7
hLALPkcbbegffghqjkahsn,1,7
fLAMcaccdeensnaqj,1,5
hLLAAkaedeefggjaaekkxk,-1,7
hLALAkaccfefggngbebpjs,-1,7
hLAwAkbccdffggeikivcaj,-1,7
hLALPkbcbfgfgghxwadlas,-1,7
hLALAkbcbeefggxhnrjhar,-1,7
hLAMzkaccdefggnsnxaxqs,-1,7
hLLAAkbcedefggtsaflshw,1,7
hLLAAkccedefggqfifasqj,-1,7
hLLPAkcdcfefggqsjmqwxk,-1,7
hLvPQkccgfefgghrphqsfj,-1,7
hLAvQkbccefggglugclako,-1,7
hLLMMkbcdfefgglcghtchj,-1,7
hLAvQkbccefggglugcmhns,-1,7
hLLAAkbdedffggdwpgabmr,1,7
hLALMkbcbfeggghxwabxnf,-1,7
hLLAAkcedeefggalvuhqhr,-1,7
hLLAAkbdeefeggdwuuxlxk,-1,7
hLLAAkceedefggllxnxxxk,-1,7
hLALAkbbceffgghegnixkj,-1,7
hLAMLkbccdegggdmguxgsb,-1,7
hLALPkbcbegfgghxwnaekk,-1,7
hLAMLkbcbdeggghxwqascv,-1,7
hLAMzkaccdefggjgnxxqhr,-1,7
hLAMzkaccdefggngbqhxqs,1,7
hLLLQkacefggfgjkjskjsj,-1,7
hLLLQkadegfgfgnpxrnrkr,-1,7
hLLPMkbddeegggtvgeeudh,-1,7
hLLAMkcdeeegggpgiamfrb,-1,7
hLLAAkceedefggaphkeqhr,-1,7
hLLAPkcddeegggacvqsknj,-1,7
hLLPMkacedegggnkxscual,-1,7
hLALAkbbceffggheroahfj,-1,7
hLLAMkbcdeeggglbbmthla,-1,7
hLLAMkbcdeegggtsbmthla,-1,7
hLAMLkbccdegggapkmxkns,-1,7
hLALAkbbceffggldjnaxvw,-1,7
hLALPkbbcegfggherwhhof,-1,7
hLALPkbbcffgggeikaqhaw,-1,7
hLALAkbbceffggldjnmxvs,-1,7
gLALQaccfeffnsnpbmq,-1,6
gLLAQaedeeffjmuefsr,1,6
gLLAQbceeefftsxlihw,1,6
gLLPQcdcfeefhcrhawr,1,6
hLALPkbccfggfgeikdlqin,-1,7
hLALPkbccffggglugdleqf,-1,7
hLALPkbccegffgeikvetnk,-1,7
hLLPMkcdefffgguwuxxrjr,-1,7
hLLPPkcdefefggtwaplknj,-1,7
hLAwAkbccdffggapkmrkan,-1,7
hLAzMkacceffggnsnkaavj,-1,7
hLALPkaccefgggnsnnaaof,-1,7
hLALPkaccffgggnsnqhaao,-1,7
hLAzMkacceffggnsnkuuow,-1,7
hLLLQkaeegffggnlibskog,0,7
hLLAPkbdedffggtvagfwwn,-1,7
hLLLQkadeefgggnuxvcnbn,1,7
hLLAPkacedfgggjklmutgn,1,7
hLvAQkafdfegfgjhhbwbbr,-1,7
hLLAAkbdceffgghgnxpgxj,1,7
hLLPMkacedffggjkxrwkmr,1,7
hLLMPkcbeeffgganxqmcnr,-1,7
hLLAPkceddfgfglavknnkw,-1,7
hLLAAkbecdefggtarkdkxk,-1,7
hLLLQkbdeeggfgdwiixswj,1,7
hLLAMkbdedfgfgdvxwxxkn,-1,7
hLLPAkbddeefggdwsilrhw,1,7
hLLAAkbddeefggawflpkhw,-1,7
hLLAAkbecdefggamnfifxn,-1,7
hLLAAkcdeefeggtkhdhphr,-1,7
hLLAAkceddefggtavnqkhw,-1,7
hLLPMkacedffggjkisrrak,1,7
hLLAMkbddefgfglvnlaqrj,1,7
hLLLQkbdgffefglvxddsrk,-1,7
hLLAMkacdefgfgjsxaaxkk,-1,7
