target,source,label
gLAMPaccdeffjgnqhhw,fLAMcbbcdeedhwqqs,Face: 10
gLALQbcbeeffxxngbaj,fLAMcbbcdeedhwqqs,Face: 9
gLLPQcdcefffhsrelwn,fLAMcbbcdeedhwqqs,Face: 8
gLAMPbbcdeffdhgxxxk,fLAMcbbcdeedhwqqs,Face: 7
gLLAQacddfffjkamupl,fLAMcbbcdeedhwqqs,Face: 5
gLALQbbcefffldjndid,fLAMcbbcdeedhwqqs,Face: 3
hLLAAkacdeefggjkaiwhqj,gLAMPaccdeffjgnqhhw,Face: 12
hLAzAkacceffggjgnktxkr,gLAMPaccdeffjgnqhhw,Face: 11
hLAwAkcbcdffggpiguowxk,gLAMPaccdeffjgnqhhw,Face: 8
hLALPkcbbfggfghhrlmmlf,gLAMPaccdeffjgnqhhw,Face: 5
hLAPzkbcbeefgghhwjshar,gLAMPaccdeffjgnqhhw,Face: 4
hLALPkcbbegffghhrwxarj,gLAMPaccdeffjgnqhhw,Face: 3
fLAMcaccdeensnqhr,gLALQbcbeeffxxngbaj,Edge: 11
hLLAAkaedeefggjaaeknhw,gLALQbcbeeffxxngbaj,Face: 12
hLALMkaccfefggngbpbqbj,gLALQbcbeeffxxngbaj,Face: 11
hLAwAkbccdffggdmgdgbak,gLALQbcbeeffxxngbaj,Face: 8
hLALPkbcbffgggxxnatpak,gLALQbcbeeffxxngbaj,Face: 5
hLALAkbcbeefggxxnskqas,gLALQbcbeeffxxngbaj,Face: 2
hLAMzkaccdefggnsnxahhr,gLALQbcbeeffxxngbaj,Face: 1
hLLAAkbcedefggtsafloqj,gLLPQcdcefffhsrelwn,Face: 12
hLLAAkccedefggqfifajxk,gLLPQcdcefffhsrelwn,Face: 11
hLLPAkcdcfefgghsratnhw,gLLPQcdcefffhsrelwn,Face: 10
hLvPQkccgfefggqjalqcnn,gLLPQcdcefffhsrelwn,Face: 9
hLALPkbccefgggeikbxdkw,gLLPQcdcefffhsrelwn,Face: 8
hLALPkbccefgggeikbhlrc,gLLPQcdcefffhsrelwn,Face: 7
hLLAAkbdedffggejdgasqw,gLLPQcdcefffhsrelwn,Face: 6
hLLMAkccdfefgglnnpqnpn,gLLPQcdcefffhsrelwn,Face: 5
hLALMkbcbfeggghhwavqsb,gLLPQcdcefffhsrelwn,Face: 3
hLLAAkcedeefggalvuhxxn,gLLPQcdcefffhsrelwn,Face: 2
hLLAAkbdeefeggdwuualhw,gLLPQcdcefffhsrelwn,Face: 1
hLLAAkceedefggllxnxahw,gLAMPbbcdeffdhgxxxk,Face: 12
hLALAkbbceffggldssppnw,gLAMPbbcdeffdhgxxxk,Face: 11
hLAMLkbccdegggdmgdqvcr,gLAMPbbcdeffdhgxxxk,Face: 8
hLALPkbcbefggghhwsalww,gLAMPbbcdeffdhgxxxk,Face: 5
hLAMLkbcbdeggghhwhafow,gLAMPbbcdeffdhgxxxk,Face: 3
hLAMzkaccdefggjgnxxxxn,gLAMPbbcdeffdhgxxxk,Face: 2
hLAMzkaccdefggngbqhhhr,gLAMPbbcdeffdhgxxxk,Face: 1
hLAzAkacceffggjgnktxkr,gLLAQacddfffjkamupl,Face: 12
hLALMkaccfefggngbpbqbj,gLLAQacddfffjkamupl,Face: 11
hLLLQkadefggfgnixgbbcw,gLLAQacddfffjkamupl,Face: 10
hLALAkbbceffggldssppnw,gLLAQacddfffjkamupl,Face: 9
hLLLQkacfeggfgjkgskckw,gLLAQacddfffjkamupl,Face: 8
hLLAMkbcdeegggdfbxdhpx,gLLAQacddfffjkamupl,Face: 7
hLLAPkceedfgggpqioujon,gLLAQacddfffjkamupl,Face: 5
hLLAPkcddeegggacvxnjsn,gLLAQacddfffjkamupl,Face: 4
hLLAAkceedefggalxkxqqj,gLLAQacddfffjkamupl,Face: 3
hLMLPkbbdfefgghearjbqj,gLLAQacddfffjkamupl,Face: 2
hLALAkbbceffggxmnoahsr,gLLAQacddfffjkamupl,Face: 1
hLAwAkcbcdffggpiguowxk,gLALQbbcefffldjndid,Face: 12
hLAwAkbccdffggdmgdgbak,gLALQbbcefffldjndid,Face: 11
hLALPkbccefgggeikbxdkw,gLALQbbcefffldjndid,Face: 10
hLAMLkbccdegggdmgdqvcr,gLALQbbcefffldjndid,Face: 9
hLALPkbccefgggeikbhlrc,gLALQbbcefffldjndid,Face: 8
hLLAMkbcdeegggebbthpdt,gLALQbbcefffldjndid,Face: 7
hLLAMkbcdeegggdfbxdhpx,gLALQbbcefffldjndid,Face: 6
hLALPkbbcfggfgheraqhxn,gLALQbbcefffldjndid,Face: 5
hLAMLkbccdegggapkmhsrj,gLALQbbcefffldjndid,Face: 4
hLALAkbbceffggxmnoulgn,gLALQbbcefffldjndid,Face: 3
hLALAkbbceffggxmnoahsr,gLALQbbcefffldjndid,Face: 2
hLALPkbbcefgggeikgxxcv,gLALQbbcefffldjndid,Face: 1
gLLAQacddfffjkamupl,hLAzAkacceffggjgnktxkr,Edge: 11
gLALQbbcefffldjndid,hLAwAkcbcdffggpiguowxk,Edge: 10
gLAPPbcceeffeikvbiw,fLAMcaccdeensnqhr,Face: 10
gLLQPacdeeffnkdlcpj,fLAMcaccdeensnqhr,Face: 8
gLLAQcceeefflniqmxn,fLAMcaccdeensnqhr,Face: 5
gLLQPacdedffnsxanqj,fLAMcaccdeensnqhr,Face: 1
gLLAQacddfffjkamupl,hLALMkaccfefggngbpbqbj,Edge: 11
