id,oriented,tetrahedra
fLAMcbbcdeedhwqqw,1,5
gLAMPaccdeffjgnqhhj,-1,6
gLALQbcbeeffxxjgbaj,1,6
gLLPQcdcefffhsnelwn,1,6
gLAMPbbcdeffdhgxxxr,-1,6
gLLAQacddfffnkamupl,-1,6
gLALQbbcefffldjneqe,-1,6
hLLAAkacdeefggjkaiwhqn,-1,7
hLAzAkacceffggjgnktxkn,-1,7
hLAwAkcbcdffggpmguowxk,-1,7
hLALPkcbbfggfghhklmmlf,-1,7
hLAPzkbcbeefgghhjjshar,-1,7
hLALPkcbbegffghhkwxarj,-1,7
fLAMcaccdeensnqhn,1,5
hLLAAkaedeefggjaaeknhj,-1,7
hLALMkaccfefggngbpbqbw,-1,7
hLAwAkbccdffggdigdgbak,-1,7
hLALPkbcbffgggxxjatpak,-1,7
hLALAkbcbeefggxxjskqas,-1,7
hLAMzkaccdefggnsnxahhk,-1,7
hLLAAkbcedefggtsafloqn,1,7
hLLAAkccedefggqfifajxr,-1,7
hLLPAkcdcfefgghsnatnhw,1,7
hLvPQkccgfefggqnalqcnn,-1,7
hLALPkcbcegfggudbspmkw,-1,7
hLLAAkbdedffggejdgasqj,-1,7
hLLMAkccdfefgglnnpqnpr,-1,7
hLALMkbcbfeggghhjavqsb,-1,7
hLLAAkcedeefggalvuhxxj,-1,7
hLLAAkbdeefeggdwuualhj,-1,7
hLLAAkceedefggllxnxahj,-1,7
hLALAkbbceffggldssppns,-1,7
hLAMLkbccdegggdigdqvcr,-1,7
hLALPkbcbefggghhjsalww,-1,7
hLAMLkbcbdeggghhjhafow,-1,7
hLAMzkaccdefggjgnxxxxj,-1,7
hLAMzkaccdefggngbqhhhn,-1,7
hLLLQkadefggfgjixgbbcw,-1,7
hLLLQkacfeggfgnkgskckw,-1,7
hLLAMkbcdeegggebblemxl,-1,7
hLLAPkceedfggguqivajgv,-1,7
hLLAPkcddeegggacvxrjsn,-1,7
hLLAAkceedefggalxkxqqn,-1,7
hLMLPkbbdfefgghearjbqk,-1,7
hLALAkbbceffggxmnoahsn,-1,7
hLALPkbbcfggfgheraldxj,-1,7
hLAMLkbccdegggaajhhsrj,-1,7
gLAPPcbceeffudbgsqw,-1,6
gLLQPacdeeffnkdlcpw,1,6
gLLAQcceeefflniqmxj,1,6
gLLQPacdedffnsxanqw,-1,6
hLALPkbccfggfgdigpidev,-1,7
hLALPkbccegffgdignumwr,-1,7
hLLPAkcdeffegglwaddlpk,-1,7
hLALPkaccfgfggnsnaeqtj,-1,7
hLAwAkcbcdffggaakhcsqk,-1,7
hLALAkacceffggnsnsaqon,-1,7
hLLAAkbdedffgglvaguker,-1,7
hLLAMkbdedffgglvdgaker,-1,7
hLLMMkbcdeffggebbhqbis,-1,7
hLLMMkbcdeffggebbptjpn,1,7
hLvQAkaefdefggnhqhbwaj,-1,7
hLLAMkcedefgfgqpvtxwjj,-1,7
hLLAAkacdeefggnkadouxr,-1,7
hLLAMkaedeffggnaaqcwhn,-1,7
hLLPMkaddeffggnaqdfnmw,-1,7
hLLAAkcedcffgghavnusen,-1,7
hLLMMkbceeffggtsaxawnk,-1,7
hLLAMkbdedfgfgdvawxqkw,1,7
hLLPAkbddeefggdwsilwqn,1,7
hLLAAkbddeefggawflpcqn,-1,7
hLLAAkbecdefggamnfisqw,-1,7
hLLAAkcdeefeggtkhdapxj,-1,7
hLLAAkceddefggtavnqcqn,-1,7
hLLLQkaeedffggjlisrrjj,-1,7
hLLAMkbddefgfglvnuaxrr,-1,7
hLLLQkcedffeggthfeengk,-1,7
hLLAMkacdefgfgjsxxahks,-1,7
