target,source,label
gLAMPaccdeffjgnqhxn,fLAMcbbcdeedhwqxk,Face: 10
gLALQbcbeeffhxwgbaj,fLAMcbbcdeedhwqxk,Face: 9
gLLPQcdcefffqsjelwn,fLAMcbbcdeedhwqxk,Face: 8
gLAMPbbcdeffdhgxxqs,fLAMcbbcdeedhwqxk,Face: 7
gLLAQaceefffjktxtql,fLAMcbbcdeedhwqxk,Face: 5
gLALQbbcefffldjnixm,fLAMcbbcdeedhwqxk,Face: 3
hLLAAkacdeefggjkaiwhhr,gLAMPaccdeffjgnqhxn,Face: 12
hLAzAkacceffggjgnktxnj,gLAMPaccdeffjgnqhxn,Face: 11
hLAwAkbccdffggdmguowxk,gLAMPaccdeffjgnqhxn,Face: 8
hLALPkcbbfggfghqjlmmlf,gLAMPaccdeffjgnqhxn,Face: 5
hLAPzkbcbeefgghxwjsxak,gLAMPaccdeffjgnqhxn,Face: 4
hLALPkcbbegffghqjwxarj,gLAMPaccdeffjgnqhxn,Face: 3
fLAMcaccdeensnqqj,gLALQbcbeeffhxwgbaj,Edge: 11
hLLAAkaedeefggjaaeknxn,gLALQbcbeeffhxwgbaj,Face: 12
hLALMkaccfefggngbpbqgk,gLALQbcbeeffhxwgbaj,Face: 11
hLAwAkcbcdffggpigdgbak,gLALQbcbeeffhxwgbaj,Face: 8
hLALPkbcbffggghxwatpak,gLALQbcbeeffhxwgbaj,Face: 5
hLALAkbcbeefgghxwskqas,gLALQbcbeeffhxwgbaj,Face: 2
hLAMzkaccdefggnsnxahqj,gLALQbcbeeffhxwgbaj,Face: 1
hLLAAkbcedefggtsaflohr,gLLPQcdcefffqsjelwn,Face: 12
hLLAAkccedefggqfifajqs,gLLPQcdcefffqsjelwn,Face: 11
hLLPAkcdcfefggqsjatnhw,gLLPQcdcefffqsjelwn,Face: 10
hLvPQkccgfefgghralqcnn,gLLPQcdcefffqsjelwn,Face: 9
hLAvQkbccefggglugcmqjc,gLLPQcdcefffqsjelwn,Face: 8
hLAvQkbccefggglugcuasn,gLLPQcdcefffqsjelwn,Face: 7
hLLAAkbdedffggejdgasak,gLLPQcdcefffqsjelwn,Face: 6
hLLMAkccdfefgglnnpqntj,gLLPQcdcefffqsjelwn,Face: 5
hLALMkbcbfeggghxwabqsk,gLLPQcdcefffqsjelwn,Face: 3
hLLAAkcedeefggalvuhxhw,gLLPQcdcefffqsjelwn,Face: 2
hLLAAkbdeefeggdwuualxn,gLLPQcdcefffqsjelwn,Face: 1
hLLAAkceedefggllxnxaxn,gLAMPbbcdeffdhgxxqs,Face: 12
hLALAkbbceffggldssppck,gLAMPbbcdeffdhgxxqs,Face: 11
hLAMLkbccdegggdmguhjcv,gLAMPbbcdeffdhgxxqs,Face: 8
hLALPkbcbefgggxhnsalww,gLAMPbbcdeffdhgxxqs,Face: 5
hLAMLkbcbdeggghxwxakof,gLAMPbbcdeffdhgxxqs,Face: 3
hLAMzkaccdefggjgnxxxhw,gLAMPbbcdeffdhgxxqs,Face: 2
hLAMzkaccdefggngbqhhqj,gLAMPbbcdeffdhgxxqs,Face: 1
hLAzAkacceffggjgnktxnj,gLLAQaceefffjktxtql,Face: 12
hLALMkaccfefggngbpbqgk,gLLAQaceefffjktxtql,Face: 11
hLLLQkadegfgfgnpxrgrnk,gLLAQaceefffjktxtql,Face: 10
hLALAkbbceffggldssppck,gLLAQaceefffjktxtql,Face: 9
hLLLQkacefggfgjkjckjkr,gLLAQaceefffjktxtql,Face: 8
hLLPMkbddeegggtvgeeahu,gLLAQaceefffjktxtql,Face: 7
hLLAMkcdeeegggpgiambfs,gLLAQaceefffjktxtql,Face: 5
hLLAPkcddeegggacvqsjsn,gLLAQaceefffjktxtql,Face: 4
hLLAAkceedefggalxkxqhr,gLLAQaceefffjktxtql,Face: 3
hLLPMkacedegggnkxscalx,gLLAQaceefffjktxtql,Face: 2
hLALAkbbceffggxmnoahfj,gLLAQaceefffjktxtql,Face: 1
hLAwAkbccdffggdmguowxk,gLALQbbcefffldjnixm,Face: 12
hLAwAkcbcdffggpigdgbak,gLALQbbcefffldjnixm,Face: 11
hLAvQkbccefggglugcmqjc,gLALQbbcefffldjnixm,Face: 10
hLAMLkbccdegggdmguhjcv,gLALQbbcefffldjnixm,Face: 9
hLAvQkbccefggglugcuasn,gLALQbbcefffldjnixm,Face: 8
hLLAMkbcdeeggglbbmtlam,gLALQbbcefffldjnixm,Face: 7
hLLAMkbcdeegggtsbmtlam,gLALQbbcefffldjnixm,Face: 6
hLALAkbbceffggeiknaxvw,gLALQbbcefffldjnixm,Face: 5
hLAMLkbccdegggapkmxjsk,gLALQbbcefffldjnixm,Face: 4
hLALPkbbcegfggherkxxof,gLALQbbcefffldjnixm,Face: 3
hLALPkbbcffgggldjaqhaw,gLALQbbcefffldjnixm,Face: 2
hLALAkbbceffggeiknmxvs,gLALQbbcefffldjnixm,Face: 1
gLLAQaceefffjktxtql,hLAzAkacceffggjgnktxnj,Edge: 11
gLALQbbcefffldjnixm,hLAwAkbccdffggdmguowxk,Edge: 10
gLAPPbcceeffeiksver,fLAMcaccdeensnqqj,Face: 10
gLLAQacedeffjktiklj,fLAMcaccdeensnqqj,Face: 8
gLLAQcceeefflniqmhw,fLAMcaccdeensnqqj,Face: 5
gLLQPacdedffnsxanxk,fLAMcaccdeensnqqj,Face: 1
gLLAQaceefffjktxtql,hLALMkaccfefggngbpbqgk,Edge: 11
gLAPPbcceeffeiksver,hLAwAkcbcdffggpigdgbak,Edge: 13
gLALQbbcefffldjnixm,hLAwAkcbcdffggpigdgbak,Edge: 10
gLLAQcceeefflniqmhw,hLLAAkccedefggqfifajqs,Edge: 9
gLALQbbcefffldjnixm,hLAvQkbccefggglugcmqjc,Edge: 11
gLALQbbcefffldjnixm,hLAvQkbccefggglugcuasn,Edge: 11
gLLAQaceefffjktxtql,hLALAkbbceffggldssppck,Edge: 11
gLALQbbcefffldjnixm,hLAMLkbccdegggdmguhjcv,Edge: 10
hLALPkbccffgggtpkuxlqo,gLAPPbcceeffeiksver,Face: 12
hLALPkbccfggfgdmgeqpus,gLAPPbcceeffeiksver,Face: 11
hLAwAkcbcdffggpigdgbak,gLAPPbcceeffeiksver,Face: 9
hLALPkbccefgfgtpkrmurw,gLAPPbcceeffeiksver,Face: 8
hLLPAkcdeffegguwuxxhus,gLAPPbcceeffeiksver,Face: 7
hLLPAkcdeffeggtwapulmn,gLAPPbcceeffeiksver,Face: 6
hLALMkaccfefggnsnabqrj,gLAPPbcceeffeiksver,Face: 5
hLAwAkcbcdffggaikhwchn,gLAPPbcceeffeiksver,Face: 4
hLALPkaccefgggnsngqqfo,gLAPPbcceeffeiksver,Face: 3
hLAvQkaccfgfggnsnaxqhs,gLAPPbcceeffeiksver,Face: 2
hLALMkaccfefggnsnubqrn,gLAPPbcceeffeiksver,Face: 1
hLLAMkbdedffggtvugafhj,gLLAQacedeffjktiklj,Face: 12
hLLAAkbdedffggtvagmfmw,gLLAQacedeffjktiklj,Face: 10
hLLMMkbcdeffggebbhqbtn,gLLAQacedeffjktiklj,Face: 9
hLLMMkbcdeffggebbptjir,gLLAQacedeffjktiklj,Face: 8
hLvQAkadfeefggjqqxjfxr,gLLAQacedeffjktiklj,Face: 6
hLLAMkcedefgfgqpvtxgjw,gLLAQacedeffjktiklj,Face: 5
hLLAAkacdeefggjkdxniqw,gLLAQacedeffjktiklj,Face: 4
hLLMMkcbeeffgganxqickj,gLLAQacedeffjktiklj,Face: 3
hLLAPkaedeffggjapqnwtj,gLLAQacedeffjktiklj,Face: 2
hLLAAkcedcffgghavrlchk,gLLAQacedeffjktiklj,Face: 1
hLALPkbccffgggtpkuxlqo,gLLAQcceeefflniqmhw,Face: 12
hLALPkbccfggfgdmgeqpus,gLLAQcceeefflniqmhw,Face: 11
hLLMMkbceeffggtsaxawkr,gLLAQcceeefflniqmhw,Face: 10
hLLMMkbcdeffggebbptjir,gLLAQcceeefflniqmhw,Face: 9
hLLAAkccedefggqfifajqs,gLLAQcceeefflniqmhw,Face: 7
hLLAMkbdedfgfgdvawxxkk,gLLAQcceeefflniqmhw,Face: 6
hLLPAkbddeefggdwsilwhr,gLLAQcceeefflniqmhw,Face: 5
hLLAAkbddeefggawflpchr,gLLAQcceeefflniqmhw,Face: 4
hLLAAkbecdefggamnfisxk,gLLAQcceeefflniqmhw,Face: 3
hLLAAkcdeefeggtkhdaphw,gLLAQcceeefflniqmhw,Face: 2
hLLAAkceddefggtavnqchr,gLLAQcceeefflniqmhw,Face: 1
hLALPkbccefgfgtpkrmurw,gLLQPacdedffnsxanxk,Face: 12
hLALPkbccefgfgtpkrmurw,gLLQPacdedffnsxanxk,Face: 11
hLLLQkaeedffggjlisrrsw,gLLQPacdedffnsxanxk,Face: 10
hLLAMkbddefgfglvnuaqrs,gLLQPacdedffnsxanxk,Face: 7
hLLLQkcedffeggtqfeejgk,gLLQPacdedffnsxanxk,Face: 4
hLLAMkacdefgfgjsxxaxkn,gLLQPacdedffnsxanxk,Face: 3
gLLAQcceeefflniqmhw,hLALPkbccffgggtpkuxlqo,Edge: 10
gLLAQcceeefflniqmhw,hLALPkbccfggfgdmgeqpus,Edge: 10
gLLQPacdedffnsxanxk,hLALPkbccefgfgtpkrmurw,Edge: 11
gLLAQcceeefflniqmhw,hLLMMkbcdeffggebbptjir,Edge: 11
