target,source,label
gLAMPaccdeffjgnqhxj,fLAMcbbcdeedhwqxr,Face: 10
gLALQbcbeeffhxjgbaj,fLAMcbbcdeedhwqxr,Face: 9
gLLPQcdcefffqsnelwn,fLAMcbbcdeedhwqxr,Face: 8
gLAMPbbcdeffdhgxxqw,fLAMcbbcdeedhwqxr,Face: 7
gLLAQaceefffnktxtql,fLAMcbbcdeedhwqxr,Face: 5
gLALQbbcefffldjnixe,fLAMcbbcdeedhwqxr,Face: 3
hLLAAkacdeefggjkaiwhhk,gLAMPaccdeffjgnqhxj,Face: 12
hLAzAkacceffggjgnktxnk,gLAMPaccdeffjgnqhxj,Face: 11
hLAwAkbccdffggdiguowxk,gLAMPaccdeffjgnqhxj,Face: 8
hLALPkcbbfggfghqnlmmlf,gLAMPaccdeffjgnqhxj,Face: 5
hLAPzkbcbeefgghxjjsxak,gLAMPaccdeffjgnqhxj,Face: 4
hLALPkcbbegffghqnwxarj,gLAMPaccdeffjgnqhxj,Face: 3
fLAMcaccdeensnqqn,gLALQbcbeeffhxjgbaj,Edge: 11
hLLAAkaedeefggjaaeknxj,gLALQbcbeeffhxjgbaj,Face: 12
hLALMkaccfefggngbpbqgr,gLALQbcbeeffhxjgbaj,Face: 11
hLAwAkcbcdffgglegpvcaj,gLALQbcbeeffhxjgbaj,Face: 8
hLALPkbcbffggghxjatpak,gLALQbcbeeffhxjgbaj,Face: 5
hLALAkbcbeefgghxjskqas,gLALQbcbeeffhxjgbaj,Face: 2
hLAMzkaccdefggnsnxahqn,gLALQbcbeeffhxjgbaj,Face: 1
hLLAAkbcedefggtsaflohn,gLLPQcdcefffqsnelwn,Face: 12
hLLAAkccedefggqfifajqw,gLLPQcdcefffqsnelwn,Face: 11
hLLPAkcdcfefggqsnatnhw,gLLPQcdcefffqsnelwn,Face: 10
hLvPQkccgfefgghnalqcnn,gLLPQcdcefffqsnelwn,Face: 9
hLAvQkbccefgggtugcmqjc,gLLPQcdcefffqsnelwn,Face: 8
hLLAAkbdedffggejdgasaj,gLLPQcdcefffqsnelwn,Face: 6
hLLMAkccdfefgglnnpqntw,gLLPQcdcefffqsnelwn,Face: 5
hLALMkbcbfeggghxjabqsk,gLLPQcdcefffqsnelwn,Face: 3
hLLAAkcedeefggalvuhxhj,gLLPQcdcefffqsnelwn,Face: 2
hLLAAkbdeefeggdwuualxj,gLLPQcdcefffqsnelwn,Face: 1
hLLAAkceedefggllxnxaxj,gLAMPbbcdeffdhgxxqw,Face: 12
hLALAkbbceffggldssppcj,gLAMPbbcdeffdhgxxqw,Face: 11
hLAMLkbccdegggdiguhjcv,gLAMPbbcdeffdhgxxqw,Face: 8
hLALPkbcbefgggxhjsalww,gLAMPbbcdeffdhgxxqw,Face: 5
hLAMLkbcbdeggghxjxakof,gLAMPbbcdeffdhgxxqw,Face: 3
hLAMzkaccdefggjgnxxxhs,gLAMPbbcdeffdhgxxqw,Face: 2
hLAMzkaccdefggngbqhhqn,gLAMPbbcdeffdhgxxqw,Face: 1
hLAzAkacceffggjgnktxnk,gLLAQaceefffnktxtql,Face: 12
hLALMkaccfefggngbpbqgr,gLLAQaceefffnktxtql,Face: 11
hLLLQkadegfgfgjpxrgrnk,gLLAQaceefffnktxtql,Face: 10
hLALAkbbceffggldssppcj,gLLAQaceefffnktxtql,Face: 9
hLLLQkacefggfgnkjckjkr,gLLAQaceefffnktxtql,Face: 8
hLLPMkbddeeggglvgeeahu,gLLAQaceefffnktxtql,Face: 7
hLLAMkcdeeegggpgmambfs,gLLAQaceefffnktxtql,Face: 5
hLLAPkcddeegggacvqwjsn,gLLAQaceefffnktxtql,Face: 4
hLLAAkceedefggalxkxqhn,gLLAQaceefffnktxtql,Face: 3
hLLPMkacedegggjkxscalx,gLLAQaceefffnktxtql,Face: 2
hLALAkbbceffggxmnoahfk,gLLAQaceefffnktxtql,Face: 1
hLAwAkbccdffggdiguowxk,gLALQbbcefffldjnixe,Face: 12
hLAwAkcbcdffgglegpvcaj,gLALQbbcefffldjnixe,Face: 11
hLAvQkbccefgggtugcmqjc,gLALQbbcefffldjnixe,Face: 10
hLAMLkbccdegggdiguhjcv,gLALQbbcefffldjnixe,Face: 9
hLAvQkbccefgggtugcmqjc,gLALQbbcefffldjnixe,Face: 8
hLLAMkbcdeegggtbbmtlam,gLALQbbcefffldjnixe,Face: 7
hLALAkbbceffggeiknaxvs,gLALQbbcefffldjnixe,Face: 5
hLAMLkbccdegggaajhxjsk,gLALQbbcefffldjnixe,Face: 4
hLALPkbbcffgggldjaqpis,gLALQbbcefffldjnixe,Face: 3
gLLAQaceefffnktxtql,hLAzAkacceffggjgnktxnk,Edge: 11
gLALQbbcefffldjnixe,hLAwAkbccdffggdiguowxk,Edge: 10
gLAPPcbceeffudbkgxr,fLAMcaccdeensnqqn,Face: 10
gLLAQacedeffnktiklj,fLAMcaccdeensnqqn,Face: 8
gLLAQcceeefflniqmhj,fLAMcaccdeensnqqn,Face: 5
gLLQPacdedffnsxanxr,fLAMcaccdeensnqqn,Face: 1
