id,oriented,tetrahedra
fLAMcbbcdeedhwqxr,1,5
gLAMPaccdeffjgnqhxj,1,6
gLALQbcbeeffhxjgbaj,1,6
gLLPQcdcefffqsnelwn,1,6
gLAMPbbcdeffdhgxxqw,1,6
gLLAQaceefffnktxtql,-1,6
gLALQbbcefffldjnixe,-1,6
hLLAAkacdeefggjkaiwhhk,1,7
hLAzAkacceffggjgnktxnk,-1,7
hLAwAkbccdffggdiguowxk,-1,7
hLALPkcbbfggfghqnlmmlf,-1,7
hLAPzkbcbeefgghxjjsxak,-1,7
hLALPkcbbegffghqnwxarj,1,7
fLAMcaccdeensnqqn,1,5
hLLAAkaedeefggjaaeknxj,-1,7
hLALMkaccfefggngbpbqgr,-1,7
hLAwAkcbcdffgglegpvcaj,-1,7
hLALPkbcbffggghxjatpak,-1,7
hLALAkbcbeefgghxjskqas,-1,7
hLAMzkaccdefggnsnxahqn,-1,7
hLLAAkbcedefggtsaflohn,1,7
hLLAAkccedefggqfifajqw,-1,7
hLLPAkcdcfefggqsnatnhw,-1,7
hLvPQkccgfefgghnalqcnn,-1,7
hLAvQkbccefgggtugcmqjc,-1,7
hLLAAkbdedffggejdgasaj,-1,7
hLLMAkccdfefgglnnpqntw,-1,7
hLALMkbcbfeggghxjabqsk,-1,7
hLLAAkcedeefggalvuhxhj,-1,7
hLLAAkbdeefeggdwuualxj,-1,7
hLLAAkceedefggllxnxaxj,-1,7
hLALAkbbceffggldssppcj,-1,7
hLAMLkbccdegggdiguhjcv,-1,7
hLALPkbcbefgggxhjsalww,-1,7
hLAMLkbcbdeggghxjxakof,-1,7
hLAMzkaccdefggjgnxxxhs,-1,7
hLAMzkaccdefggngbqhhqn,1,7
hLLLQkadegfgfgjpxrgrnk,-1,7
hLLLQkacefggfgnkjckjkr,-1,7
hLLPMkbddeeggglvgeeahu,-1,7
hLLAMkcdeeegggpgmambfs,-1,7
hLLAPkcddeegggacvqwjsn,-1,7
hLLAAkceedefggalxkxqhn,-1,7
hLLPMkacedegggjkxscalx,-1,7
hLALAkbbceffggxmnoahfk,-1,7
hLLAMkbcdeegggtbbmtlam,-1,7
hLALAkbbceffggeiknaxvs,-1,7
hLAMLkbccdegggaajhxjsk,-1,7
hLALPkbbcffgggldjaqpis,-1,7
gLAPPcbceeffudbkgxr,-1,6
gLLAQacedeffnktiklj,1,6
gLLAQcceeefflniqmhj,1,6
gLLQPacdedffnsxanxr,1,6
hLALPkbccfggfgdigeqpus,-1,7
hLALPkbccegffgdigsmdjj,-1,7
hLLPAkcdeffegglwapulmn,-1,7
hLALMkaccfefggnsnabqrn,-1,7
hLAwAkcbcdffggaakhwchn,-1,7
hLAvQkaccfgfggnsnamqlr,-1,7
hLLAMkbdedffgglvugafhj,1,7
hLLAAkbdedffgglvagmfmw,-1,7
hLLMMkbcdeffggebbhqbtj,-1,7
hLLMMkbcdeffggebbptjik,1,7
hLvQAkadfeefggjxqxvvxw,-1,7
hLLAMkcedefgfgqpvtxgjs,1,7
hLLAAkacdeefggnkdxniqw,-1,7
hLLMMkcbeeffggajxqickj,-1,7
hLLAPkaedeffggnapqnwtj,-1,7
hLLAAkcedcffgghavnlchk,-1,7
hLLMMkbceeffggtsaxawkk,-1,7
hLLAMkbdedfgfgdvawxxkr,-1,7
hLLPAkbddeefggdwsilwhn,1,7
hLLAAkbddeefggawflpchn,-1,7
hLLAAkbecdefggamnfisxr,-1,7
hLLAAkcdeefeggtkhdaphj,-1,7
hLLAAkceddefggtavnqchn,-1,7
hLLLQkaeedffggjlisrrss,1,7
hLLAMkbddefgfglvnuaqrw,1,7
hLLLQkcedffeggtqfeengk,-1,7
hLLAMkacdefgfgjsxxaxkj,-1,7
