target,source,label
gLALQbcbeeffhxwnkqw,fLAMcbbcdeeemkqhr,Face: 10
gLAMPaccdeffjgbqqxk,fLAMcbbcdeeemkqhr,Face: 9
gLLPQcdcefffqsjpqnw,fLAMcbbcdeeemkqhr,Face: 8
gLALQbcbeeffxhncvas,fLAMcbbcdeeemkqhr,Face: 7
gLLAQaceefffjktxemx,fLAMcbbcdeeemkqhr,Face: 5
gLALQbbcefffemknixm,fLAMcbbcdeeemkqhr,Face: 3
hLALAkacceffggjgbslqjk,gLALQbcbeeffhxwnkqw,Face: 12
hLLMAkaddeefggjuadjnhr,gLALQbcbeeffhxwnkqw,Face: 10
hLAwAkcbcdffggpigdsjxr,gLALQbcbeeffhxwnkqw,Face: 8
hLALPkbcbffggghxwduttb,gLALQbcbeeffhxwnkqw,Face: 5
hLALAkbcbeefgghxwgsaak,gLALQbcbeeffhxwnkqw,Face: 4
hLAMzkaccdefggjsnxxqhr,gLALQbcbeeffhxwnkqw,Face: 3
hLAzMkacceffggjgbkppgr,gLAMPaccdeffjgbqqxk,Face: 12
hLLAAkacdeefggjkadjlhw,gLAMPaccdeffjgbqqxk,Face: 10
hLAwAkbccdffggdmgunkhw,gLAMPaccdeffjgbqqxk,Face: 8
hLALPkcbbfggfghqjaihmr,gLAMPaccdeffjgbqqxk,Face: 5
hLAPzkbcbeefgghxwkgqas,gLAMPaccdeffjgbqqxk,Face: 2
hLAMzkaccdefggjsnxhhxn,gLAMPaccdeffjgbqqxk,Face: 1
hLLPAkcdcfefggqsjmiwxk,gLLPQcdcefffqsjpqnw,Face: 12
hLLAAkcedefegglhvaxaqj,gLLPQcdcefffqsjpqnw,Face: 11
hLLAAkbcedefggtsafashw,gLLPQcdcefffqsjpqnw,Face: 10
hLLAAkccedefggqfmfasqj,gLLPQcdcefffqsjpqnw,Face: 9
hLAvQkbccefggglugcmpns,gLLPQcdcefffqsjpqnw,Face: 8
hLLMMkbcdfefgglrsitrmj,gLLPQcdcefffqsjpqnw,Face: 7
hLLAMkbdedffggdwugaoxn,gLLPQcdcefffqsjpqnw,Face: 6
hLAvQkbccefggglugcparj,gLLPQcdcefffqsjpqnw,Face: 5
hLLAAkcedeefggatvuhqhr,gLLPQcdcefffqsjpqnw,Face: 3
hLLAAkcedeefggapvdixhw,gLLPQcdcefffqsjpqnw,Face: 2
hLALMkbcbfeggghxwabpgc,gLLPQcdcefffqsjpqnw,Face: 1
fLAMcaccdeejsnaqj,gLALQbcbeeffxhncvas,Edge: 9
hLALAkaccfefggjgbebpjs,gLALQbcbeeffxhncvas,Face: 12
hLLAAkaedeefggnaaekkxk,gLALQbcbeeffxhncvas,Face: 10
hLAwAkbccdffggeikivcaw,gLALQbcbeeffxhncvas,Face: 8
hLALPkbcbfgfgghxwaelas,gLALQbcbeeffxhncvas,Face: 5
hLALAkbcbeefggxhnrjhak,gLALQbcbeeffxhncvas,Face: 4
