target,source,label
gLALQbcbeeffxxnnkqw,fLAMcbbcdeeemkqqj,Face: 10
gLAMPaccdeffjgbqqqs,fLAMcbbcdeeemkqqj,Face: 9
gLLPQcdcefffhsrpqnw,fLAMcbbcdeeemkqqj,Face: 8
gLALQbcbeeffhhwcvas,fLAMcbbcdeeemkqqj,Face: 7
gLLAQacddfffjkamxup,fLAMcbbcdeeemkqqj,Face: 5
gLALQbbcefffemkndid,fLAMcbbcdeeemkqqj,Face: 3
hLALAkacceffggjgbslqsw,gLALQbcbeeffxxnnkqw,Face: 12
hLLMAkaddeefggjuadjnqj,gLALQbcbeeffxxnnkqw,Face: 10
hLAwAkbccdffggdmgdsjxr,gLALQbcbeeffxxnnkqw,Face: 8
hLALPkbcbffgggxxnduttb,gLALQbcbeeffxxnnkqw,Face: 5
hLALAkbcbeefggxxngsaak,gLALQbcbeeffxxnnkqw,Face: 4
hLAMzkaccdefggjsnxxqqj,gLALQbcbeeffxxnnkqw,Face: 3
hLAzMkacceffggjgbkpprj,gLAMPaccdeffjgbqqqs,Face: 12
hLLAAkacdeefggjkadjlxn,gLAMPaccdeffjgbqqqs,Face: 10
hLAwAkcbcdffggpigunkhw,gLAMPaccdeffjgbqqqs,Face: 8
hLALPkcbbfggfghhraihmr,gLAMPaccdeffjgbqqqs,Face: 5
hLAPzkbcbeefgghhwcrqaj,gLAMPaccdeffjgbqqqs,Face: 2
hLAMzkaccdefggjsnxhhhw,gLAMPaccdeffjgbqqqs,Face: 1
hLLPAkcdcfefgghsrmiwxk,gLLPQcdcefffhsrpqnw,Face: 12
hLLAAkcedefegglhvaxaxk,gLLPQcdcefffhsrpqnw,Face: 11
hLLAAkbcedefggtsafasxn,gLLPQcdcefffhsrpqnw,Face: 10
hLLAAkccedefggqfmfashr,gLLPQcdcefffhsrpqnw,Face: 9
hLALPkbccefgggeikbidjr,gLLPQcdcefffhsrpqnw,Face: 8
hLLMMkbcdfefgglrsitrlr,gLLPQcdcefffhsrpqnw,Face: 7
hLLAMkbdedffggdwugaohw,gLLPQcdcefffhsrpqnw,Face: 6
hLALPkbccefgggeikbhikw,gLLPQcdcefffhsrpqnw,Face: 5
hLLAAkcedeefggatvuhqqj,gLLPQcdcefffhsrpqnw,Face: 3
hLLAAkcedeefggapvdixxn,gLLPQcdcefffhsrpqnw,Face: 2
hLALMkbcbfeggghhwavprj,gLLPQcdcefffhsrpqnw,Face: 1
fLAMcaccdeejsnaxk,gLALQbcbeeffhhwcvas,Edge: 9
hLALAkaccfefggjgbebpfn,gLALQbcbeeffhhwcvas,Face: 12
hLLAAkaedeefggnaaekkqj,gLALQbcbeeffhhwcvas,Face: 10
hLAwAkbccdffggeikefoar,gLALQbcbeeffhhwcvas,Face: 8
hLALPkbcbfgfgghhwaaelj,gLALQbcbeeffhhwcvas,Face: 5
hLALAkbcbeefgghhwrjhak,gLALQbcbeeffhhwcvas,Face: 4
hLAMzkaccdefggjsnxaxxk,gLALQbcbeeffhhwcvas,Face: 3
hLALAkacceffggjgbslqsw,gLLAQacddfffjkamxup,Face: 12
hLAzMkacceffggjgbkpprj,gLLAQacddfffjkamxup,Face: 11
hLLLQkacfeggfgjkgrkfbw,gLLAQacddfffjkamxup,Face: 10
hLALAkaccfefggjgbebpfn,gLLAQacddfffjkamxup,Face: 9
hLLLQkadefggfgnixgkfcr,gLLAQacddfffjkamxup,Face: 8
hLLAMkbcdeegggdfbxdlhp,gLLAQacddfffjkamxup,Face: 6
hLLAPkceedfgggplpoucon,gLLAQacddfffjkamxup,Face: 5
hLLAAkceedefggalpnxhhr,gLLAQacddfffjkamxup,Face: 4
hLALAkbbceffggtdooahsr,gLLAQacddfffjkamxup,Face: 3
hLLAPkcddeegggacvxngnj,gLLAQacddfffjkamxup,Face: 2
hLMvQkbbdegffgtdespbjw,gLLAQacddfffjkamxup,Face: 1
hLAwAkbccdffggdmgdsjxr,gLALQbbcefffemkndid,Face: 12
hLAwAkcbcdffggpigunkhw,gLALQbbcefffemkndid,Face: 11
hLALPkbccefgggeikbidjr,gLALQbbcefffemkndid,Face: 10
hLAwAkbccdffggeikefoar,gLALQbbcefffemkndid,Face: 9
hLALPkbccefgggeikbhikw,gLALQbbcefffemkndid,Face: 8
hLLAMkbcdeegggdfbxdlhp,gLALQbbcefffemkndid,Face: 7
hLLAMkbcdeegggebbthqpd,gLALQbbcefffemkndid,Face: 6
hLALPkbbcfggfgemnaqhxn,gLALQbbcefffemkndid,Face: 5
hLALAkbbceffggtdooahsr,gLALQbbcefffemkndid,Face: 4
hLALPkbbcefgggtdjgxxcv,gLALQbbcefffemkndid,Face: 3
hLALAkbbceffggtdooulgn,gLALQbbcefffemkndid,Face: 2
hLAMLkbccdegggapkmhvsr,gLALQbbcefffemkndid,Face: 1
gLLAQacddfffjkamxup,hLALAkacceffggjgbslqsw,Edge: 11
gLALQbbcefffemkndid,hLAwAkbccdffggdmgdsjxr,Edge: 10
gLLAQacddfffjkamxup,hLAzMkacceffggjgbkpprj,Edge: 11
gLALQbbcefffemkndid,hLAwAkcbcdffggpigunkhw,Edge: 10
gLLAQbceeefftsxpixn,hLLAAkccedefggqfmfashr,Edge: 9
gLALQbbcefffemkndid,hLALPkbccefgggeikbidjr,Edge: 11
gLALQbbcefffemkndid,hLALPkbccefgggeikbhikw,Edge: 11
gLALQaccfeffjsndble,fLAMcaccdeejsnaxk,Face: 10
gLLAQaedeeffnmueffj,fLAMcaccdeejsnaxk,Face: 9
gLLAQbceeefftsxpixn,fLAMcaccdeejsnaxk,Face: 5
