target,source,label
gLALQbcbeeffxhjsjhn,fLAMcbbcdeeemkxhs,Face: 10
gLAMPaccdeffjgbqhxj,fLAMcbbcdeeemkxhs,Face: 9
gLLPQcdcefffqsnalwn,fLAMcbbcdeeemkxhs,Face: 8
gLALQbcbeeffhxjgban,fLAMcbbcdeeemkxhs,Face: 7
gLLAQaceefffnktxtdl,fLAMcbbcdeeemkxhs,Face: 5
gLALQbbceffftdjnixe,fLAMcbbcdeeemkxhs,Face: 3
hLALMkacceffggjgbsddgs,gLALQbcbeeffxhjsjhn,Face: 12
hLLMAkaddeefggjuadjvhs,gLALQbcbeeffxhjsjhn,Face: 10
hLAwAkbccdffggtugesjxr,gLALQbcbeeffxhjsjhn,Face: 8
hLALPkbcbfgfgghxjulxlv,gLALQbcbeeffxhjsjhn,Face: 5
hLALAkbcbeefggxhjcraaj,gLALQbcbeeffxhjsjhn,Face: 4
hLAMzkaccdefggjsnxxxhs,gLALQbcbeeffxhjsjhn,Face: 3
hLAzAkacceffggjgbktxnk,gLAMPaccdeffjgbqhxj,Face: 12
hLLAAkacdeefggjkadjdhk,gLAMPaccdeffjgbqhxj,Face: 10
hLAwAkbccdffggdigurwxk,gLAMPaccdeffjgbqhxj,Face: 8
hLALPkcbbfggfghqnlmmxf,gLAMPaccdeffjgbqhxj,Face: 5
hLAPzkbcbeefgghxjgsxak,gLAMPaccdeffjgbqhxj,Face: 2
hLAMzkaccdefggjsnxhqxr,gLAMPaccdeffjgbqhxj,Face: 1
hLLPAkcdcfefggqsndtnhw,gLLPQcdcefffqsnalwn,Face: 12
hLLAAkcedefegglhvahaqn,gLLPQcdcefffqsnalwn,Face: 11
hLLAAkbcedefggtsafaohn,gLLPQcdcefffqsnalwn,Face: 10
hLLAAkccedefggqfmfajqw,gLLPQcdcefffqsnalwn,Face: 9
hLAvQkbccefgggtugcmtkr,gLLPQcdcefffqsnalwn,Face: 8
hLLAAkbdedffggerdgasaj,gLLPQcdcefffqsnalwn,Face: 7
hLLAAkbddeffggdwgumvir,gLLPQcdcefffqsnalwn,Face: 5
hLLAAkcedeefggatvuhxhj,gLLPQcdcefffqsnalwn,Face: 3
hLLAAkcedeefggapvdiqhn,gLLPQcdcefffqsnalwn,Face: 2
hLALMkbcbfeggghxjabesk,gLLPQcdcefffqsnalwn,Face: 1
fLAMcaccdeejsnqqn,gLALQbcbeeffhxjgban,Edge: 9
hLALMkaccfefggjgbpbqgr,gLALQbcbeeffhxjgban,Face: 12
hLLAAkaedeefggnaaeknxj,gLALQbcbeeffhxjgban,Face: 10
hLAwAkcbcdffgglegpvcaw,gLALQbcbeeffhxjgban,Face: 8
hLALPkbcbffggghxjatuak,gLALQbcbeeffhxjgban,Face: 5
hLALAkbcbeefgghxjskqaw,gLALQbcbeeffhxjgban,Face: 4
hLAMzkaccdefggjsnxahqn,gLALQbcbeeffhxjgban,Face: 3
hLALMkacceffggjgbsddgs,gLLAQaceefffnktxtdl,Face: 12
