id,oriented,tetrahedra
fLAMcbbcdeeemkxxj,1,5
gLALQbcbeeffhhjsjhn,1,6
gLAMPaccdeffjgbqhhj,1,6
gLLPQcdcefffhsnalwn,1,6
gLALQbcbeeffxxjgban,1,6
gLLAQacddfffnkamupx,-1,6
gLALQbbceffftdjneqe,-1,6
hLALMkacceffggjgbsddwj,-1,7
hLLMAkaddeefggjuadjvxj,1,7
hLAwAkcbcdffgglegesjxr,-1,7
hLALPkbcbfgfgghhjuelev,-1,7
hLALAkbcbeefgghhjcraaj,-1,7
hLAMzkaccdefggjsnxxxxj,-1,7
hLAzAkacceffggjgbktxkn,-1,7
hLLAAkacdeefggjkadjdqn,1,7
hLAwAkcbcdffggpmgurwxk,-1,7
hLALPkcbbfggfghhklmmxf,-1,7
hLAPzkbcbeefgghhjjchar,-1,7
hLAMzkaccdefggjsnxhqqw,-1,7
hLLPAkcdcfefgghsndtnhw,-1,7
hLLAAkcedefegglhvahahn,1,7
hLLAAkbcedefggtsafaoqn,1,7
hLLAAkccedefggqfmfajxr,-1,7
hLALPkcbcegfggudbsadnj,-1,7
hLLAAkbdedffggerdgasqj,-1,7
hLLAAkbddeffggdwgumvew,1,7
hLLAAkcedeefggatvuhxxj,-1,7
hLLAAkcedeefggapvdiqqn,-1,7
hLALMkbcbfeggghhjavtco,-1,7
fLAMcaccdeejsnqhn,1,5
hLALMkaccfefggjgbpbqbw,-1,7
hLLAAkaedeefggnaaeknhj,-1,7
hLAwAkbccdffggdigdgbaj,-1,7
hLALPkbcbffgggxxjatuak,-1,7
hLALAkbcbeefggxxjskqaw,-1,7
hLAMzkaccdefggjsnxahhk,-1,7
hLLLQkadefggfgjixgbocw,-1,7
hLLLQkacfeggfgnkgskcsw,-1,7
hLLAPkceedfggguuivajgv,-1,7
hLLAMkbcdeegggebblemxp,-1,7
hLLAPkcddeegggacvxrjgn,-1,7
hLALAkbbceffggemnoahsn,-1,7
hLMLPkbbdegffgemdvlbkn,-1,7
hLLAAkceedefggalpkxqqn,-1,7
hLAMLkbccdegggaajhhsrv,-1,7
hLALPkbbcfggfgemnhhhlg,-1,7
gLLAQcceeefflnmqmxj,1,6
gLAPPcbceeffudbgsqs,-1,6
gLLQPacdeeffjkdlcpw,1,6
gLLQPacdedffjsxanqw,1,6
hLALPkbccfggfgdiguidev,-1,7
hLLMMkbcdeffggdfbltklj,1,7
hLLMMkbceeffggtsdxawnk,1,7
hLLAAkbddeefggasklxcqn,-1,7
hLLAAkbecdefggamrfisqw,-1,7
hLLLQkbdfegggfxvhmdvrk,1,7
hLLPAkbddeefggdwsmlwqn,1,7
hLLAAkceddefggtavnecqn,-1,7
hLLAMkbdedfgfgesdwxxkj,-1,7
hLALPkbccegffgdignumjr,-1,7
hLLPAkcdeffegglwaddlpj,-1,7
hLAwAkcbcdffggaakhcsqj,-1,7
hLALAkacceffggjsnsaqon,-1,7
hLALPkaccfgfggjsnaeqtj,-1,7
hLLAMkbdedffgglvdgakek,-1,7
hLLAAkbdedffgglvaguken,-1,7
hLLMAkbcdeffggdfbtqfur,1,7
hLvQAkaefdefggjhqhbwaj,-1,7
hLLAMkcedefgfgqpvtxwkj,1,7
hLLAAkacdeefggnkadouxk,1,7
hLLPMkaddeffggnaqdfnmj,-1,7
hLLAMkaedeffggnaaqcwhr,-1,7
hLLAAkcedcffgghavnuser,-1,7
hLLLQkaeedffggnlisrrjj,1,7
hLLAMkbddefgfgtvnuaxrr,1,7
hLLLQkcedffeggthfeengr,-1,7
hLLAMkacdefgfgnsxxahks,-1,7
