target,source,label
gLLPQcdcfeffqsneqcs,fLAMcbccdeehhnxhs,Face: 10
gLLAQcceeeffljiadxj,fLAMcbccdeehhnxhs,Face: 8
gLLAQbcdeeffhvbmtwn,fLAMcbccdeehhnxhs,Face: 6
gLALQbcbfeffhhjdvdq,fLAMcbccdeehhnxhs,Face: 5
gLALQbccefffxxgodqm,fLAMcbccdeehhnxhs,Face: 3
hLLMAkbcdfefgglskmqrhr,gLLPQcdcfeffqsneqcs,Face: 12
hLALPkcbbegfgghqnomxgf,gLLPQcdcfeffqsneqcs,Face: 11
hLLAAkccdeefggqgvuqchj,gLLPQcdcfeffqsneqcs,Face: 10
hLLAAkccdeefggifveukhk,gLLPQcdcfeffqsneqcs,Face: 9
hLAvQkbccegfggtugcqpgn,gLLPQcdcfeffqsneqcs,Face: 8
hLLAMkbdedffggdoarxvew,gLLPQcdcfeffqsneqcs,Face: 6
hLLAAkcedeefgghavthxhk,gLLPQcdcfeffqsneqcs,Face: 4
hLLAAkccedefggqfakdnhs,gLLPQcdcfeffqsneqcs,Face: 3
hLLPAkcdceffggqsnpunhj,gLLPQcdcfeffqsneqcs,Face: 2
hLLAAkbcedefggasxfashn,gLLPQcdcfeffqsneqcs,Face: 1
hLLMMkbcdeffgglsbhtrhr,gLLAQcceeeffljiadxj,Face: 12
hLLMAkbdedefggpgafmgqw,gLLAQcceeeffljiadxj,Face: 11
hLLAAkccedefggqgifqsxr,gLLAQcceeeffljiadxj,Face: 10
hLLMMkbcdefgfgebbuuqwn,gLLAQcceeeffljiadxj,Face: 9
hLALPkbccfggfgdigdidqv,gLLAQcceeeffljiadxj,Face: 8
hLLMMkbcdeffggtkbhxkiw,gLLAQcceeeffljiadxj,Face: 6
hLLAAkbcedefggajhfajxr,gLLAQcceeeffljiadxj,Face: 4
hLLAAkceddefggahvklcqn,gLLAQcceeeffljiadxj,Face: 3
hLLLQkbefegggfdaquhxwn,gLLAQcceeeffljiadxj,Face: 2
hLLAMkbddefgfgtvnuhqjw,gLLAQcceeeffljiadxj,Face: 1
hLLMAkbcdfefgglskmqrhr,gLLAQbcdeeffhvbmtwn,Face: 12
hLvAQkaefgefggnhqonfjk,gLLAQbcdeeffhvbmtwn,Face: 11
hLLMMkbcdeffgglsbhtrhr,gLLAQbcdeeffhvbmtwn,Face: 10
hLLLQkacefggfgnkfjkofw,gLLAQbcdeeffhvbmtwn,Face: 9
hLLMMkccdfefggqjvhinpr,gLLAQbcdeeffhvbmtwn,Face: 8
hLvAQkadfeggfgnaqnwbcw,gLLAQbcdeeffhvbmtwn,Face: 7
hLLLQkbdgfegfgtvxxtscb,gLLAQbcdeeffhvbmtwn,Face: 6
hLLAPkbdedgfgglvaggnvk,gLLAQbcdeeffhvbmtwn,Face: 4
hLLAPkaedegfggnaaqqwxh,gLLAQbcdeeffhvbmtwn,Face: 3
hLLLQkbdfefgfgxrahxnkr,gLLAQbcdeeffhvbmtwn,Face: 2
hLLAAkccedefgghfandkqw,gLLAQbcdeeffhvbmtwn,Face: 1
hLALPkbcbefgggxxjneabk,gLALQbcbfeffhhjdvdq,Face: 12
hLALPkbcbefgggxxjvtabk,gLALQbcbfeffhhjdvdq,Face: 10
hLAwMkbccdfgggdigdgddx,gLALQbcbfeffhhjdvdq,Face: 8
hLALAkbccfefggmejejxkk,gLALQbcbfeffhhjdvdq,Face: 7
hLLMAkbedeefggmafdhxhk,gLALQbcbfeffhhjdvdq,Face: 3
hLAMzkbccdefgghhnqahhj,gLALQbcbfeffhhjdvdq,Face: 2
hLAvQkbccegfggtugcqpgn,gLALQbccefffxxgodqm,Face: 12
hLAvQkbccegfggtugcqpgn,gLALQbccefffxxgodqm,Face: 11
hLALPkbccfggfgdigdidqv,gLALQbccefffxxgodqm,Face: 10
hLALPkbccfggfgdigdidqv,gLALQbccefffxxgodqm,Face: 9
hLLLQkcdfgffgghsixlkfw,gLALQbccefffxxgodqm,Face: 8
hLAwMkbccdfgggdigdgddx,gLALQbccefffxxgodqm,Face: 7
hLAwMkbccdfgggaasxrxhq,gLALQbccefffxxgodqm,Face: 5
hLALPkbccfgfgghhnadxmk,gLALQbccefffxxgodqm,Face: 4
hLALAkbcceffgghhnnaxvs,gLALQbccefffxxgodqm,Face: 3
gLLAQbcdeeffhvbmtwn,hLLMAkbcdfefgglskmqrhr,Edge: 11
gLAPPbcbeeffhxjknak,hLALPkcbbegfgghqnomxgf,Edge: 9
gLALQbccefffxxgodqm,hLAvQkbccegfggtugcqpgn,Edge: 10
gLAPPbcbeeffhxjknak,hLLPAkcdceffggqsnpunhj,Edge: 11
gLLAQbcdeeffhvbmtwn,hLLMMkbcdeffgglsbhtrhr,Edge: 11
gLLQPacdedffjsaajxr,hLLMMkbcdefgfgebbuuqwn,Edge: 9
gLALQbccefffxxgodqm,hLALPkbccfggfgdigdidqv,Edge: 10
gLLQPacdedffjsaajxr,hLLAMkbddefgfgtvnuhqjw,Edge: 11
gLALQbccefffxxgodqm,hLAwMkbccdfgggdigdgddx,Edge: 11
hLAwAkbccdffggdigurwar,gLAPPbcbeeffhxjknak,Face: 12
hLLAAkbddcffggevjjgrpj,gLAPPbcbeeffhxjknak,Face: 11
hLLPAkcdceffggqsnpunhj,gLAPPbcbeeffhxjknak,Face: 6
hLAwMkbcbdffggxhjqkbqs,gLAPPbcbeeffhxjknak,Face: 5
hLAPzkbcbeefgghxjgsxxj,gLAPPbcbeeffhxjknak,Face: 4
hLLPAkcdceffggqsnpunhj,gLAPPbcbeeffhxjknak,Face: 3
hLALPkbccegffgdigsmmww,gLLQPacdedffjsaajxr,Face: 12
hLLLQkaeefdfggjtxgjcjj,gLLQPacdedffjsaajxr,Face: 11
hLLAMkbddefgfgtvnuhqjw,gLLQPacdedffjsaajxr,Face: 7
hLLAMkbddefgfgtvnuhqjw,gLLQPacdedffjsaajxr,Face: 6
hLLAMkacdefgfgnsxxxxjj,gLLQPacdedffjsaajxr,Face: 3
