target,source,label
gLLPQcdcfeffhsneqcs,fLAMcbccdeehhnxxj,Face: 10
gLLAQcceeeffljiadhj,fLAMcbccdeehhnxxj,Face: 8
gLLAQbcdeeffhvbmtbn,fLAMcbccdeehhnxxj,Face: 6
gLALQbcbfeffhxjlbma,fLAMcbccdeehhnxxj,Face: 5
gLALQbccefffxxgolxm,fLAMcbccdeehhnxxj,Face: 3
hLLMAkbcdfefgglskmqraw,gLLPQcdcfeffhsneqcs,Face: 12
hLALPkcbbegfgghhkomxgf,gLLPQcdcfeffhsneqcs,Face: 11
hLLAAkccdeefggqgvuqcxj,gLLPQcdcfeffhsneqcs,Face: 10
hLLAAkccdeefggifveukqn,gLLPQcdcfeffhsneqcs,Face: 9
hLALPkcbcefgggudbsqmgs,gLLPQcdcfeffhsneqcs,Face: 8
hLLAMkbdedffggdoarxvir,gLLPQcdcfeffhsneqcs,Face: 6
hLLAAkcedeefgghavthxqn,gLLPQcdcfeffhsneqcs,Face: 4
hLLAAkccedefggqfakdnxj,gLLPQcdcfeffhsneqcs,Face: 3
hLLPAkcdceffgghsnpunhj,gLLPQcdcfeffhsneqcs,Face: 2
hLLAAkbcedefggasxfasqn,gLLPQcdcfeffhsneqcs,Face: 1
hLLMMkbcdeffgglsbhtraw,gLLAQcceeeffljiadhj,Face: 12
hLLMAkbdedefggpgafmgxr,gLLAQcceeeffljiadhj,Face: 11
hLLAAkccedefggqgifqsqw,gLLAQcceeeffljiadhj,Face: 10
hLLMMkbcdefgfgebbuuhwk,gLLAQcceeeffljiadhj,Face: 9
hLALPkbccfggfgdigeixug,gLLAQcceeeffljiadhj,Face: 8
hLLMMkbcdeffggtkbhxker,gLLAQcceeeffljiadhj,Face: 6
hLLAAkbcedefggajhfajqw,gLLAQcceeeffljiadhj,Face: 4
hLLAAkceddefggahvklchn,gLLAQcceeeffljiadhj,Face: 3
hLLLQkbefegggfdahuhxwk,gLLAQcceeeffljiadhj,Face: 2
hLLAMkbddefgfgtvnuhxjr,gLLAQcceeeffljiadhj,Face: 1
