id,oriented,tetrahedra
fLAMcbccdeehhnxxj,1,5
gLLPQcdcfeffhsneqcs,0,6
gLLAQcceeeffljiadhj,0,6
gLLAQbcdeeffhvbmtbn,1,6
gLALQbcbfeffhxjlbma,-1,6
gLALQbccefffxxgolxm,-1,6
hLLMAkbcdfefgglskmqraw,0,7
hLALPkcbbegfgghhkomxgf,0,7
hLLAAkccdeefggqgvuqcxj,-1,7
hLLAAkccdeefggifveukqn,-1,7
hLALPkcbcefgggudbsqmgs,-1,7
hLLAMkbdedffggdoarxvir,-1,7
hLLAAkcedeefgghavthxqn,-1,7
hLLAAkccedefggqfakdnxj,-1,7
hLLPAkcdceffgghsnpunhj,-1,7
hLLAAkbcedefggasxfasqn,0,7
hLLMMkbcdeffgglsbhtraw,0,7
hLLMAkbdedefggpgafmgxr,-1,7
hLLAAkccedefggqgifqsqw,0,7
hLLMMkbcdefgfgebbuuhwk,0,7
hLALPkbccfggfgdigeixug,-1,7
hLLMMkbcdeffggtkbhxker,0,7
hLLAAkbcedefggajhfajqw,0,7
hLLAAkceddefggahvklchn,-1,7
hLLLQkbefegggfdahuhxwk,-1,7
hLLAMkbddefgfgtvnuhxjr,-1,7
hLvAQkaefefgggnhqbvwvw,-1,7
hLLLQkacefggfgnkbrwgks,1,7
hLLMMkccdfefggqjvhintw,1,7
hLvPQkafeegfggnqxjsfkn,-1,7
hLLLQkbdfgefggtvhltvfs,1,7
hLLAPkbdedfggglvagfcrg,-1,7
hLLLQkcefdfgggahhjqnck,-1,7
hLLLQkaeefgfggjaxgwbrn,-1,7
hLLAAkccedefgghfandkxr,-1,7
hLALPkbcbefggghxjneabk,-1,7
hLALPkbcbefggghxjvtabk,-1,7
hLAwMkbccdfgggtugegdua,-1,7
hLALAkbccfefggmejejxnk,-1,7
hLLMAkbedeefggmafdhxqn,-1,7
hLAMzkbccdefgghhnqahxj,-1,7
hLLLQkcdfgfggfhsixlgfn,-1,7
hLAwMkbccdfgggaajhrxhq,-1,7
hLALAkcbceffggqqgoaxsk,-1,7
hLALPkbccfgfggxxgalqun,-1,7
gLAPPbcbeeffhhjwraw,1,6
gLLQPacdedffjsaajqw,1,6
hLAwAkcbcdffggpmgurwar,-1,7
hLLAAkbdcdffggevssgrpj,-1,7
hLAwMkbcbdffgghhjqkbqs,-1,7
hLAPzkbcbeefgghhjjchhj,-1,7
hLALPkbccegffgdignmmjj,-1,7
hLLLQkaeefdfggjtxgjcss,1,7
hLLAMkacdefgfgnsxxxhjs,-1,7
