target,source,label
gLLPQcdcfeffhsndtnf,fLAMcbccdeehhsqqn,Face: 10
gLLAQbceeefflsamixj,fLAMcbccdeehhsqqn,Face: 8
gLLAQacedfffnkemtld,fLAMcbccdeehhsqqn,Face: 6
gLLPQcdcfeffqcnaajs,fLAMcbccdeehhsqqn,Face: 5
gLALQbccefffdignhld,fLAMcbccdeehhsqqn,Face: 3
hLLMAkbddeffggevkxmrej,gLLPQcdcfeffhsndtnf,Face: 12
hLALPkcbbegfgghhkodmkw,gLLPQcdcfeffhsndtnf,Face: 11
hLvPQkccefgfgghnxhxjok,gLLPQcdcfeffhsndtnf,Face: 10
hLLAAkccdeefgghwvlucxj,gLLPQcdcfeffhsndtnf,Face: 9
hLALPkcbcefgggudbselbj,gLLPQcdcfeffhsndtnf,Face: 8
hLLMAkbdedffggdsarxolw,gLLPQcdcfeffhsndtnf,Face: 7
hLLAAkcedeefgghavxhqxj,gLLPQcdcfeffhsndtnf,Face: 4
hLLAAkccedefggqfanqsxr,gLLPQcdcfeffhsndtnf,Face: 3
hLLPAkcdceffgghsnalwxj,gLLPQcdcfeffhsndtnf,Face: 2
hLLAAkbcedefggasxfloxj,gLLPQcdcfeffhsndtnf,Face: 1
hLLLQkbdegeggfevqpdwsj,gLLAQbceeefflsamixj,Face: 12
hLLAAkbcedefggtjhftshn,gLLAQbceeefflsamixj,Face: 11
hLLLQkcegffgeglhdaxlnf,gLLAQbceeefflsamixj,Face: 10
hLLMMkbcdefgfgebbluxjr,gLLAQbceeefflsamixj,Face: 9
hLALPkbccffgggdiguxixs,gLLAQbceeefflsamixj,Face: 8
hLLAPkacedgfggnktxianr,gLLAQbceeefflsamixj,Face: 7
hLLAAkbcedefggajhftohs,gLLAQbceeefflsamixj,Face: 4
hLLAAkceddefggahvkanxr,gLLAQbceeefflsamixj,Face: 3
hLLLQkbefggegftahxhqsk,gLLAQbceeefflsamixj,Face: 2
hLLAMkbddefgfglvnlhhjk,gLLAQbceeefflsamixj,Face: 1
hLLMAkbddeffggevkxmrej,gLLAQacedfffnkemtld,Face: 12
hLLLQkcdffggeglfuaqgjw,gLLAQacedfffnkemtld,Face: 11
hLLLQkbdegeggfevqpdwsj,gLLAQacedfffnkemtld,Face: 10
hLLLQkbdeeffggdwhhdssr,gLLAQacedfffnkemtld,Face: 9
hLLMPkaceeffggnkeskotj,gLLAQacedfffnkemtld,Face: 8
hLLAAkbdedffgghgasesmr,gLLAQacedfffnkemtld,Face: 7
hLLAMkbdedfggglvagxmit,gLLAQacedfffnkemtld,Face: 5
hLLAMkbdedfggglvqgaqxt,gLLAQacedfffnkemtld,Face: 4
hLLAMkcedcfggghavnqixh,gLLAQacedfffnkemtld,Face: 3
hLLLQkaeeffgggjaxgbwrk,gLLAQacedfffnkemtld,Face: 2
hLLMPkbcdfffggxrrqbbws,gLLAQacedfffnkemtld,Face: 1
hLLAAkbcdeefgglsohhshs,gLLPQcdcfeffqcnaajs,Face: 12
hLLAAkbcedefgghvafpvhs,gLLPQcdcfeffqcnaajs,Face: 10
hLAvQkbccegfggtugrttwr,gLLPQcdcfeffqcnaajs,Face: 8
hLLMMkbceeffggxkthabnk,gLLPQcdcfeffqcnaajs,Face: 7
