id,oriented,tetrahedra
fLAMcbccdeehhsqqn,1,5
gLLPQcdcfeffhsndtnf,0,6
gLLAQbceeefflsamixj,0,6
gLLAQacedfffnkemtld,1,6
gLLPQcdcfeffqcnaajs,1,6
gLALQbccefffdignhld,-1,6
hLLMAkbddeffggevkxmrej,0,7
hLALPkcbbegfgghhkodmkw,0,7
hLvPQkccefgfgghnxhxjok,0,7
hLLAAkccdeefgghwvlucxj,-1,7
hLALPkcbcefgggudbselbj,-1,7
hLLMAkbdedffggdsarxolw,-1,7
hLLAAkcedeefgghavxhqxj,-1,7
hLLAAkccedefggqfanqsxr,-1,7
hLLPAkcdceffgghsnalwxj,-1,7
hLLAAkbcedefggasxfloxj,0,7
hLLLQkbdegeggfevqpdwsj,0,7
hLLAAkbcedefggtjhftshn,-1,7
hLLLQkcegffgeglhdaxlnf,0,7
hLLMMkbcdefgfgebbluxjr,0,7
hLALPkbccffgggdiguxixs,-1,7
hLLAPkacedgfggnktxianr,0,7
hLLAAkbcedefggajhftohs,0,7
hLLAAkceddefggahvkanxr,-1,7
hLLLQkbefggegftahxhqsk,-1,7
hLLAMkbddefgfglvnlhhjk,-1,7
hLLLQkcdffggeglfuaqgjw,-1,7
hLLLQkbdeeffggdwhhdssr,1,7
hLLMPkaceeffggnkeskotj,-1,7
hLLAAkbdedffgghgasesmr,-1,7
hLLAMkbdedfggglvagxmit,1,7
hLLAMkbdedfggglvqgaqxt,-1,7
hLLAMkcedcfggghavnqixh,-1,7
hLLLQkaeeffgggjaxgbwrk,-1,7
hLLMPkbcdfffggxrrqbbws,-1,7
hLLAAkbcdeefgglsohhshs,1,7
hLLAAkbcedefgghvafpvhs,1,7
hLAvQkbccegfggtugrttwr,-1,7
hLLMMkbceeffggxkthabnk,-1,7
hLLMAkbeedfeggahxfxqqw,-1,7
hLLLQkcefgfgegaheiptnw,-1,7
hLLLQkcdfefggghsqqlgcc,-1,7
hLALPkbccfgfggxxfqhuho,-1,7
hLALAkbccfefgghhsabqrn,-1,7
hLAwMkbccdfgggxxfhgaqq,-1,7
gLAPPbcbeeffhhjjcaj,1,6
gLLPQcdcfeefqcnhhnr,1,6
gLLAQbcdeeffhvommnw,1,6
hLAwAkcbcdffggpmgunoan,-1,7
hLLAAkbdcdffggevssjkpk,-1,7
hLALPkcbbegffghhkkxhsj,1,7
hLAPzkbcbeefgghhjwrqqw,1,7
hLAvQkbccegffgtugreejn,-1,7
hLLMAkacedffggnktsvbxs,1,7
hLLAMkacdefgfgjsxaxqjw,1,7
hLLLQkbdefegggtvietffs,1,7
hLLMMkbceefgggdfamhcvk,-1,7
hLvAQkaeffgeggneqokobw,1,7
hLLMMkbcdfefgglskmljpn,0,7
hLLLQkacfgegfgnkrvobbw,1,7
hLLMAkbcdeffgglsbhqsmr,0,7
hLvAQkadfeggfgnxqkkkbw,-1,7
hLLLQkbedeffgghhfqpnvw,1,7
hLvAQkbeffegfghahaqxrn,-1,7
