id,oriented,tetrahedra
fLAMcbccdeemejdhn,1,5
gLLQPccddeffdwbkexj,-1,6
gLLPQcdcfeffhkndqkf,1,6
gLALQbcbfeffhxjqbhx,1,6
gLLAQbddeeffmkcdtnw,1,6
gLALQbccefffmlbslqd,-1,6
fLLQcacdeeenkmxsn,1,5
hLLAAkccdeefgghkvaqvxr,-1,7
hLLLQkbdefffggmvdaasnw,-1,7
hLvPQkccgeffgghnadmvfo,-1,7
hLALPkbcbegfgghajoixcj,-1,7
hLALPkbccegfggdiggauwv,-1,7
hLLMMkcddeffggagnmpjqj,-1,7
hLLAAkcedeefggiavhtihn,-1,7
hLLAAkbcedefggabmfuwqw,-1,7
hLLAAkccedefggdwavdkxr,-1,7
hLLAAkccedefggdwxkdfhk,-1,7
hLLAAkbcdeefggpjgplgqw,1,7
hLLAAkbddeefggxrrxqghj,0,7
hLvPQkccegffgghnmhmvfo,-1,7
hLLLQkbdefffggmkdqasnw,1,7
hLLAAkbddeffggpcnploxj,1,7
hLALPkbccefgggtugwqebj,-1,7
hLLAAkbcedefggabtfqjqn,-1,7
hLLAAkccedefggdwakufhk,-1,7
hLLAAkccedefggdwxvdnxr,1,7
hLLMAkbceeefggagtexxhk,-1,7
hLALPkbcbegfggxhjsatnf,0,7
hLALPkbcbfgfgghxjdlpav,0,7
hLALAkbccfefggxxgpgxbr,-1,7
hLAwMkbccdfggghhnqwmlh,-1,7
hLLAAkbedefeggxarimuxr,-1,7
hLAMzkbccdefggmejmaqhk,-1,7
hLvAQkaefefgggnuqbfwnw,1,7
hLLMMkbcefefggagtdxkws,-1,7
hLvPQkafeefgggjqxkckcc,-1,7
hLLMMkccdfefggabvlifmw,-1,7
hLLLQkbdfeggfgmvmpmswo,1,7
hLLAPkbdedfggglvagfgbj,-1,7
hLLLQkaeefgfggjaxoowrn,-1,7
hLLLQkcefdfgggaihjqrkk,-1,7
hLLPMkcdeffgggdvaipvgg,-1,7
hLAwMkbccdfgggaajhrdal,-1,7
hLALPkbccffgggmlbaxuln,-1,7
hLALAkbcceffggmejvadcj,-1,7
gLLMQbcdefffebbmasw,1,6
gLLMQbcdefffebbmecr,-1,6
gLLAQbcedeffhgmfugw,1,6
gLLAQbcedeffhnqkhvr,-1,6
gLLAQbddeeffmvndtnw,1,6
gLvQQaefdfefniqlcrb,-1,6
gLLAQadedfffneuisjn,1,6
hLLMMkbceefgggebdxasgb,1,7
hvLAQkcdegfgfgbrchiaib,-1,7
hLLLQkbdfgefggtvtmtwfj,1,7
hLvMQkbefefgggtadtdxos,-1,7
hLLLQkbdgeffggtvpthfcb,1,7
hLvAQkbefegfggmxlhhmgn,-1,7
hLLAMkbdedfgggevdsleuh,-1,7
hLLAAkbcdeffggmkfxarin,-1,7
hLLLQkbddfggfgarfpskko,-1,7
hLLLQkbdfeggfgxvtmpvsj,-1,7
hLLAPkccdegfggakvhcgkb,-1,7
hvLAQkcdegfgfgbrcaieio,-1,7
hLLMMkbceefgggebdxhsfs,-1,7
hLLAPkbdedgfgglvxgwfbj,-1,7
hLLLQkbcfgegfgebpdekog,-1,7
hLLLQkcdefgfgguomuunjg,-1,7
hLLAMkbdedfgggevdsllme,-1,7
hLLAAkbcdeffggpnfpawer,-1,7
hLLLQkbdfeggfgxvumpvcs,-1,7
hLLLQkbddfggfgarfpgnkg,-1,7
hLLAAkbcedffggpgafanpn,-1,7
hLvAQkadffegggjtqncjjw,-1,7
hLLAAkbdedffggevtfanps,1,7
hLLAMkbeedffggxalkafnk,-1,7
hLLAAkbcdeefgghgrxxwqs,-1,7
hLLMMkbceefgggebdxaoso,-1,7
hLLLQkbdeegggfevlldbsn,-1,7
hLLAAkbddeffggevnmablj,-1,7
hLLLQkacefggfgjkwrvjrf,-1,7
hLvAQkaefgefggjuqfcbjw,-1,7
hLLAMkbeedffgghhekawnk,-1,7
hLLAAkbcdeefggxsrttfqs,-1,7
hLLLQkbedeffggaxfmxgss,-1,7
hLLAAkbcedffggmrdfavis,-1,7
hLLPPkcdfefgfgakpmmbkj,-1,7
hLvAQkbeffgefgmexahxsw,1,7
hLvAQkaefgfeggnuqgfrnw,-1,7
hLLMAkbcdfefggmrwxpcis,-1,7
hLvPQkafeefgggjqxkvkcv,1,7
hLLMAkccdfefggabvdqctr,-1,7
hLLLQkbdefffggmkdqqjnw,-1,7
hLLLQkbdefffggmvdqajnw,1,7
hLLMMkbceeffggagtppcrk,-1,7
hLLLQkaedfggfgnalnjkob,-1,7
hLvPQkafeegfggnqxsjsoj,-1,7
hLLLQkacfgegfgjvgwfjvb,-1,7
hLLAMkcedeffggiavhafnk,-1,7
hLLAMkcdeefgggirepljsw,1,7
hLLMMkcbeefgggdjtqmvor,1,7
hLLMMkcbefegggdjtdxvor,1,7
hLLLQkadegfgfgneqgswog,-1,7
hLLAMkbdeeffggmvehannk,1,7
hLLAMkbdeeffggmvueangw,1,7
hLLAPkceddffggdavgkowj,-1,7
hLLLQkbedeggfgaefxesjj,-1,7
hLLLQkaedfggfgnaerrkvo,-1,7
gLLMQbeefffehhadxma,-1,6
hLLAMkbeedfggghhaktbnr,-1,7
hLLAMkbeedfggghhacebnr,-1,7
