target,source,label
gLLAQbdedffftvqgxgr,fLLQcacedeejkeusf,Face: 9
gLLAQbcedeffmsxfmsj,fLLQcacedeejkeusf,Face: 7
gLLAQcedcfffhqvrqjs,fLLQcacedeejkeusf,Face: 6
gLvQQadfeeffjaqmksv,fLLQcacedeejkeusf,Face: 5
gLLPQacefeffjkqjbkw,fLLQcacedeejkeusf,Face: 2
gLLAQbddeeffevnmhvj,fLLQcacedeejkeusf,Face: 1
hLLAPkceddgfggdhvjjcvr,gLLAQbdedffftvqgxgr,Face: 12
hLLLQkcdegfgfghsilebko,gLLAQbdedffftvqgxgr,Face: 11
hLLLQkbcfeggfgdfpxxofv,gLLAQbdedffftvqgxgr,Face: 10
hLLLQkbdfeggfgxviumbbk,gLLAQbdedffftvqgxgr,Face: 9
hLLLQkbdefeggglvmltkko,gLLAQbdedffftvqgxgr,Face: 8
hvLAQkcdegfgfgfjnamdmf,gLLAQbdedffftvqgxgr,Face: 7
hLLLQkbdfgegfglvmmtksk,gLLAQbdedffftvqgxgr,Face: 6
hLvMQkbeffeggglatqexos,gLLAQbdedffftvqgxgr,Face: 5
hLLAPkccdefgggawvhorsf,gLLAQbdedffftvqgxgr,Face: 4
hLLLQkbddfggfgajfpsows,gLLAQbdedffftvqgxgr,Face: 3
hLLAAkbcedffgghohsavuk,gLLAQbdedffftvqgxgr,Face: 2
hLLAPkbddegfggxvrxnfvk,gLLAQbdedffftvqgxgr,Face: 1
hLLAPkceddgfggdhvjjcvr,gLLAQbcedeffmsxfmsj,Face: 11
hLLMMkbceefgggdftmagsk,gLLAQbcedeffmsxfmsj,Face: 10
hLLMAkbdedffggpcavprhn,gLLAQbcedeffmsxfmsj,Face: 9
hLvAQkafdefgggnqqcvjbn,gLLAQbcedeffmsxfmsj,Face: 8
hLLMAkbcdeffggmsntafdn,gLLAQbcedeffmsxfmsj,Face: 7
hLLAAkbddeffggmkcdafun,gLLAQbcedeffmsxfmsj,Face: 6
hLLAAkbddeffggmvndafun,gLLAQbcedeffmsxfmsj,Face: 5
hLLLQkacefggfgnrwbrjbo,gLLAQbcedeffmsxfmsj,Face: 4
hLLLQkbedeffggalfmpwsw,gLLAQbcedeffmsxfmsj,Face: 3
hLLLQkcdffgeggavqadnwn,gLLAQbcedeffmsxfmsj,Face: 2
hLLAAkbcedffgghohfavmk,gLLAQbcedeffmsxfmsj,Face: 1
hLALMkbccefgggdmgghxfs,gLLAQcedcfffhqvrqjs,Face: 11
hLLPAkbddeefggevsaevqj,gLLAQcedcfffhqvrqjs,Face: 9
hLLLQkcedfgegghqcahjcs,gLLAQcedcfffhqvrqjs,Face: 8
hLLAAkbdeefeggevtiaehw,gLLAQcedcfffhqvrqjs,Face: 7
hLLAAkbcedefgglsajlsqj,gLLAQcedcfffhqvrqjs,Face: 6
hLLAMkacedfgggjkemaxfs,gLLAQcedcfffhqvrqjs,Face: 3
hLALPkbcbefggghawotdwb,gLLAQcedcfffhqvrqjs,Face: 1
hLLLQkbcfeggfgdfpxxofv,gLvQQadfeeffjaqmksv,Face: 11
hLLLQkbcfgegfgdfpxdgcv,gLvQQadfeeffjaqmksv,Face: 10
hLLLQkacfeggfgjkgckccr,gLvQQadfeeffjaqmksv,Face: 9
hLvAQkafefegggnidocbjb,gLvQQadfeeffjaqmksv,Face: 8
hLLAMkcedeffgghqvtpkws,gLvQQadfeeffjaqmksv,Face: 7
hLwLQkacfegfggjgbvwkwb,gLvQQadfeeffjaqmksv,Face: 6
hLvAQkaefegfggjeqsosjb,gLvQQadfeeffjaqmksv,Face: 5
hLvMQkbefefgfgpamtmpck,gLvQQadfeeffjaqmksv,Face: 4
hLLLQkcdffgeggashaasrk,gLvQQadfeeffjaqmksv,Face: 3
hLLAMkcedeffgghavtpcgj,gLvQQadfeeffjaqmksv,Face: 2
hLLwQkaedgffggjaaojkjw,gLvQQadfeeffjaqmksv,Face: 1
hLLLQkbdefeggglvmltkko,gLLPQacefeffjkqjbkw,Face: 11
hLLLQkbdefeggglvmltkko,gLLPQacefeffjkqjbkw,Face: 10
hLLPAkcdfeefgguoiiixen,gLLPQacefeffjkqjbkw,Face: 9
hLLPAkbddeefggevsaevqj,gLLPQacefeffjkqjbkw,Face: 8
hLLPMkcdefffggdvalarbs,gLLPQacefeffjkqjbkw,Face: 7
hLLMMkbceeffggasxaawnj,gLLPQacefeffjkqjbkw,Face: 4
hLLLQkcdfgeeggacplhrwb,gLLPQacefeffjkqjbkw,Face: 3
hLLzQkacefefggjkqjvkxk,gLLPQacefeffjkqjbkw,Face: 2
hLLLQkbdfgegfglvmmtksk,gLLAQbddeeffevnmhvj,Face: 11
hLLLQkbdfgegfglvmmtksk,gLLAQbddeeffevnmhvj,Face: 10
hLvAQkaefegfggjeqsofog,gLLAQbddeeffevnmhvj,Face: 9
hLLAAkbcedefgglsajlsqj,gLLAQbddeeffevnmhvj,Face: 8
